"Id","IsDeleted","Name","LLC_BI__Product_Type__c","LLC_BI__Product_Feature__c","LLC_BI__RealEstate_Type__c","LLC_BI__RealEstate__c","LLC_BI__lookupKey__c","LLC_BI__Classification__c","LLC_BI__Description__c","LLC_BI__Learn_More__c","LLC_BI__Order__c","LLC_BI__Enabled_Experiences__c","LLC_BI__Product_Display_Name__c","nPortal__Can_Pledge_Multiple_Collateral__c","nPortal__External_Name__c","nPortal__OA_Approval_Next_Steps__c","nPortal__OA_Auto_Decision_Enabled__c","LLC_BI__Product_Line_Name__c","LLC_BI__Product_Type_Name__c","LLC_BI__Default_App__c","LLC_BI__Screen_Section__c","LLC_BI__Deposit_Rate_Structure__c","LLC_BI__Maintenance_App__c","nPortal__OA_Collapsed_Offer_Card_Summary__c","nPortal__OA_Collateral_Required__c","nPortal__OA_Deposit_Funding_Failure_Next_Steps__c","nPortal__OA_Deposit_Funding_Next_Steps__c","nPortal__OA_Expanded_Offer_Summary_Card__c","nPortal__OA_Is_Hidden__c","nPortal__OA_Not_Approved_Next_Steps__c","LLC_BI__Maximum_Funding_Amount__c","LLC_BI__Minimum_Funding_Amount__c","nPortal__OA_Offers_Accepted_Next_Steps__c","nPortal__OA_Offers_Enabled__c","nPortal__OA_Product_Image__c","LLC_BI__Disable_Id_Document_Save__c","LLC_BI__Other_Disclosures_Description__c","LLC_BI__Other_Disclosures_Received__c","nPortal__Online_Application_AS_Screen__c","nPortal__Online_Application_Enabled__c","nPortal__Online_Application_Group__c","nPortal__Online_Application_Header_Text__c","LLC_BI__Maintenance_Screen_Section__c","nPortal__Online_Application_Subheader_Text__c","nPortal__Online_Application_Topbar_Fieldset__c","nPortal__Online_Application_Topbar_Text__c","nPortal__Online_Application_Type__c","nPortal__Online_Application_Your_Account_Fieldset__c","nPortal__Product_Marketing__c","nPortal__Suggested_Collateral_Enabled__c","nPortal__Your_Products_Component_Field_Set__c","cm_Days_to_Close__c","cm_Gross_Annual_Micro_Bus_Revenue_Cap__c","cm_Gross_Annual_Small_Bus_Revenue_Cap__c","cm_Maximum_Micro_Business_Loan_Amount__c","cm_Maximum_Small_Business_Loan_Amount__c","cm_Product_Validation__c","cm_Static_Name__c","cm_Display_Account_Options_Online__c"
"a0ubn000004s5erAAA","false","Gold Savings","a0tbn000008f3QOAAY","a0nbn000003YMF5AAO","","false","PR-GoldSav0505797","","","","","","","false","Gold Savings","","false","Consumer Deposits","Savings","","a2Fbn000000Dtt9EAC","a3ybn0000002k0gAAA","","","false","We weren&#39;t able to begin the account funding process online. Please contact Customer Service at xxx.xxx.xxxx for assistance. ","","","false","","500.0","1.0","","false","","false","","false","","true","","Your Gold Savings Account","","This application should only take 5 minutes.","ODAO_Topbar_Fieldset","Your Gold Savings Application","Online Deposit Application","ODAO_YourAccountFieldset","<p>Add a savings account and earn a $50 bonus when you deposit $5000 upon opening.  0.3% APY and no maintenance fees.</p>","false","nPortal__Your_Products_Deposit","","","","","","","Gold Savings","true"
"a0ubn000004dcxdAAA","false","Guidance Line - Revolving","a0tbn000007pcYfAAI","a0nbn0000034pzCAAQ","","false","PR-Guidanc0124886","","","","","","","false","","","false","Commercial","Real Estate","","","","","","false","","","","false","","","","","false","","false","","false","","false","","","","","","","","","","false","","","","","","","","","false"
"a0ubn000004s5fBAAQ","false","HELOC","a0tbn000008f3QWAAY","a0nbn000003YMFKAA4","Single Family Home","true","PR-HELOC033947603","","","","","","","false","HELOC","","false","Consumer","Consumer - Real Estate Line of Credit","","","","","","false","","","","false","","","","","false","","false","","false","","false","","","","","","","Online Loan Application","","","false","","","","","","","","HELOC","false"
"a0ubn000004dcxaAAA","false","HELOC","a0tbn000007pcYgAAI","","","false","PR-HELOC035644312","","","","","","","false","","","false","Consumer","Consumer Real Estate","","","","","","false","","","","false","","","","","false","","false","","false","","false","","","","","","","","","","false","","","","","","","","","false"
"a0ubn000004dcxjAAA","false","HELOC","a0tbn000007pcYfAAI","a0nbn0000034pzJAAQ","","false","PR-HELOC055071492","","","","","","","false","","","false","Commercial","Real Estate","","","","","","false","","","","false","","","","","false","","false","","false","","false","","","","","","","","","","false","","","","","","","","","false"
"a0ubn000004s5fCAAQ","false","Home Equity Term","a0tbn000008f3QXAAY","a0nbn000003YMFPAA4","Single Family Home","true","PR-HomeEqu0224723","","","","","","","false","","","false","Consumer","Consumer - Real Estate Installment","","","","","","false","","","","false","","","","","false","","false","","false","","false","","","","","","","","","","false","","","","","","","","Home Equity Term","false"
"a0ubn000004dcxwAAA","false","Land Development","a0tbn000007pcYnAAI","a0nbn0000034pzUAAQ","","false","PR-LandDev0266805","","","","","","","false","","","false","Commercial","Construction","","","","","","false","","","","false","","","","","false","","false","","false","","false","","","","","","","","","","false","","","","","","","","","false"
"a0ubn000004dcxsAAA","false","Letter of Credit","a0tbn000007pcYmAAI","a0nbn0000034pzQAAQ","","false","PR-Lettero0901344","","","","","","","false","","","false","Commercial","Unsecured","","","","","","false","","","","false","","","","","false","","false","","false","","false","","","","","","","","","","false","","","","","","","","","false"
"a0ubn000004dcxeAAA","false","Limit","a0tbn000007pcYfAAI","a0nbn0000034pzDAAQ","","false","PR-Limit059126767","","","","","","","false","","","false","Commercial","Real Estate","","","","","","false","","","","false","","","","","false","","false","","false","","false","","","","","","","","","","false","","","","","","","","","false"
"a0ubn000004dcxiAAA","false","Line Of Credit","a0tbn000007pcYfAAI","a0nbn0000034pzIAAQ","","false","PR-LineOfC0084258","","","","","","","false","","","false","Commercial","Real Estate","","","","","","false","","","","false","","","","","false","","false","","false","","false","","","","","","","","","","false","","","","","","","","","false"
"a0ubn000004dcxbAAA","false","Line Of Credit","a0tbn000007pcYhAAI","a0nbn0000034pzHAAQ","","false","PR-LineOfC0288435","","","","","","","false","","","false","Commercial","Non-Real Estate","","","","","","false","","","","false","","","","","false","","false","","false","","false","","","","","","","","","","false","","","","","","","","","false"
"a0ubn000004dcxxAAA","false","Line of Credit","a0tbn000007pcYnAAI","a0nbn0000034pzVAAQ","","false","PR-LineofC0572243","","","","","","","false","","","false","Commercial","Construction","","","","","","false","","","","false","","","","","false","","false","","false","","false","","","","","","","","","","false","","","","","","","","","false"
"a0ubn000004dcxqAAA","false","Line of Credit","a0tbn000007pcYmAAI","a0nbn0000034pzOAAQ","","false","PR-LineofC0754012","","","","","","","false","","","false","Commercial","Unsecured","","","","","","false","","","","false","","","","","false","","false","","false","","false","","","","","","","","","","false","","","","","","","","","false"
"a0ubn000004s5ewAAA","false","Money Market","a0tbn000008f3QLAAY","a0nbn000003YMFOAA4","","false","PR-MoneyMa0685324","","","","","","","false","Money Market Savings","","false","Consumer Deposits","Checking","","a2Fbn000000Dtt9EAC","a3ybn0000002k0jAAA","","","false","","","","false","","","","","false","","false","","false","","true","","Your Money Market Savings Account","","","ODAO_Topbar_Fieldset","Your Money Market Savings Account","Online Deposit Application","ODAO_YourAccountFieldset","","false","nPortal__Your_Products_Deposit","","","","","","","Money Market","true"
"a0ubn000004s5f6AAA","false","Motorcycle, 4 Wheeler, Jet Ski","a0tbn000008f3QTAAY","a0nbn000003YMFHAA4","","false","PR-Motorcy0911931","","","","","","","false","Motorcycle, 4 Wheeler, Jet Ski","","false","Consumer","Consumer - Non-Real Estate Installment","","","","","","false","","","","false","","","","","false","","false","","false","","false","","","","","","","Online Loan Application","","","false","","","","","","","","Motorcycle, 4 Wheeler, Jet Ski","false"
"a0ubn000004s5f9AAA","false","ODP","a0tbn000008f3QUAAY","a0nbn000003YMFLAA4","","false","PR-ODP08577629713","","","","","","","false","ODP","","false","Consumer","Consumer - Non-Real Estate Line of Credit","","","","","","false","","","","false","","","","","false","","false","","false","","false","","","","","","","Online Loan Application","","","false","","","","","","","","ODP","false"
"a0ubn000004s5fAAAQ","false","Credit Card","a0tbn000008f3QVAAY","a0nbn000003YMFMAA4","","false","PR-Platinu0204672","","","","","","","false","Credit Card","","false","Consumer","Consumer - Credit Card","","","","","cm_OA_Credit_Card_Collapsed","false","","","","false","","","","<p><span style=""color: rgb(62, 62, 60);"">You&#39;ll receive and sign documents electronically, then receive your funds.</span></p>","true","","false","","false","","true","","Let's Get Started!","","The application typically takes about 10-15 minutes.","","Your Credit Card Application","Online Loan Application","","","false","","","","","","","","Credit Card","false"
"a0ubn000004s5epAAA","false","Platinum Checking","a0tbn000008f3QLAAY","a0nbn000003YMF3AAO","","false","PR-Platinu0586222","","","","","","","false","Platinum Checking","","false","Consumer Deposits","Checking","","a2Fbn000000Dtt7EAC","","","","false","We weren&#39;t able to begin the account funding process online. Please contact Customer Service at xxx.xxx.xxxx for assistance. ","","","false","","500.0","1.0","","false","","false","","false","","true","","Your Platinum Checking Account","","This application should only take 5 minutes.","ODAO_Topbar_Fieldset","Your Platinum Checking Application","Online Deposit Application","ODAO_YourAccountFieldset","","false","nPortal__Your_Products_Deposit","","","","","","","Platinum Checking","true"
"a0ubn000004dcxkAAA","false","Purchase","a0tbn000007pcYfAAI","","","false","PR-Purchas0945231","","","","","","","false","","","false","Commercial","Real Estate","","","","","","false","","","","false","","","","","false","","false","","false","","false","","","","","","","","","","false","","","","","","","","","false"
"a0ubn000004s5f3AAA","false","Recreational Vehicle/Travel Trailer","a0tbn000008f3QTAAY","a0nbn000003YMFEAA4","","false","PR-Recreat0379881","","","","","","","false","Recreational Vehicle/Travel Trailer","","false","Consumer","Consumer - Non-Real Estate Installment","","","","","","false","","","","false","","","","","false","","false","","false","","false","","","","","","","Online Loan Application","","","false","","","","","","","","Recreational Vehicle/Travel Trailer","false"
