"Id","IsDeleted","Name","LLC_BI__Product_Type__c","LLC_BI__Product_Feature__c","LLC_BI__RealEstate_Type__c","LLC_BI__RealEstate__c","LLC_BI__lookupKey__c","LLC_BI__Classification__c","LLC_BI__Description__c","LLC_BI__Learn_More__c","LLC_BI__Order__c","LLC_BI__Enabled_Experiences__c","LLC_BI__Product_Display_Name__c","nPortal__Can_Pledge_Multiple_Collateral__c","nPortal__External_Name__c","nPortal__OA_Approval_Next_Steps__c","nPortal__OA_Auto_Decision_Enabled__c","LLC_BI__Product_Line_Name__c","LLC_BI__Product_Type_Name__c","LLC_BI__Default_App__c","LLC_BI__Screen_Section__c","LLC_BI__Deposit_Rate_Structure__c","LLC_BI__Maintenance_App__c","nPortal__OA_Collapsed_Offer_Card_Summary__c","nPortal__OA_Collateral_Required__c","nPortal__OA_Deposit_Funding_Failure_Next_Steps__c","nPortal__OA_Deposit_Funding_Next_Steps__c","nPortal__OA_Expanded_Offer_Summary_Card__c","nPortal__OA_Is_Hidden__c","nPortal__OA_Not_Approved_Next_Steps__c","LLC_BI__Maximum_Funding_Amount__c","LLC_BI__Minimum_Funding_Amount__c","nPortal__OA_Offers_Accepted_Next_Steps__c","nPortal__OA_Offers_Enabled__c","nPortal__OA_Product_Image__c","LLC_BI__Disable_Id_Document_Save__c","LLC_BI__Other_Disclosures_Description__c","LLC_BI__Other_Disclosures_Received__c","nPortal__Online_Application_AS_Screen__c","nPortal__Online_Application_Enabled__c","nPortal__Online_Application_Group__c","nPortal__Online_Application_Header_Text__c","LLC_BI__Maintenance_Screen_Section__c","nPortal__Online_Application_Subheader_Text__c","nPortal__Online_Application_Topbar_Fieldset__c","nPortal__Online_Application_Topbar_Text__c","nPortal__Online_Application_Type__c","nPortal__Online_Application_Your_Account_Fieldset__c","nPortal__Product_Marketing__c","nPortal__Suggested_Collateral_Enabled__c","nPortal__Your_Products_Component_Field_Set__c","cm_Days_to_Close__c","cm_Gross_Annual_Micro_Bus_Revenue_Cap__c","cm_Gross_Annual_Small_Bus_Revenue_Cap__c","cm_Maximum_Micro_Business_Loan_Amount__c","cm_Maximum_Small_Business_Loan_Amount__c","cm_Product_Validation__c","cm_Static_Name__c","cm_Display_Account_Options_Online__c"
"a0ubn000004dcxuAAA","false","Residential","a0tbn000007pcYnAAI","a0nbn0000034pzSAAQ","","false","PR-Residen0153775","","","","","","","false","","","false","Commercial","Construction","","","","","","false","","","","false","","","","","false","","false","","false","","false","","","","","","","","","","false","","","","","","","","","false"
"a0ubn000004ktIaAAI","false","Revolving Line of Credit","a0tbn000008H0TdAAK","a0nbn000003Jb3nAAC","","false","PR-Revolvi0271389","","","","","","","true","Unsecured - Revolving LOC","<ul><li><code>We&#39;ll email you when it&#39;s time to <strong>upload documents</strong>, such as tax returns. After you&#39;ve uploaded, we can generate an official offer.</code></li><li><code>When your offer is ready, we&#39;ll send you an email. After you tell us you&#39;d like to move forward, you&#39;ll <strong>sign some closing documents</strong> to make it official.</code></li></ul>","true","Small Business","Small Business Unsecured","","","","","nPortal__OA_Collapsed_Offer_Card_Summary","false","","","SBL_OA_Expanded_Offer_Card","false","","","","Congratulations! Now that you have accepted an offer, let&#39;s talk about the next steps.","true","","false","","false","","true","a2Bbn000000KMCWEA4","","","","","","Online Loan Application","","","true","nPortal__Your_Products_Loan","","1000000.0","1000000.0","25000.0","50000.0","Small BusinessUnsecuredRevolving Line of Credit","Revolving Line of Credit","false"
"a0ubn000004ktIeAAI","false","Revolving Line of Credit","a0tbn000008H0TeAAK","a0nbn000003JaHZAA0","","false","PR-Revolvi0293397","","","","","","","true","Non Real Estate - Revolving LOC","<ul><li><code>We&#39;ll email you when it&#39;s time to <strong>upload documents</strong>, such as tax returns. After you&#39;ve uploaded, we can generate an official offer.</code></li><li><code>When your offer is ready, we&#39;ll send you an email. After you tell us you&#39;d like to move forward, you&#39;ll <strong>sign some closing documents</strong> to make it official.</code></li></ul>","true","Small Business","Small Business Non-Real Estate","","","","","nPortal__OA_Collapsed_Offer_Card_Summary","false","","","SBL_OA_Expanded_Offer_Card","false","","","","Congratulations! Now that you have accepted an offer, let&#39;s talk about the next steps.","true","","false","","false","","true","a2Bbn000000KMCWEA4","","","","","","Online Loan Application","","","false","nPortal__Your_Products_Loan","","1000000.0","1000000.0","50000.0","100000.0","Small BusinessNon Real EstateRevolving Line of Credit","Revolving Line of Credit","false"
"a0ubn000004dcy0AAA","false","Revolving Line of Credit","a0tbn000007pcYfAAI","a0nbn0000034pzYAAQ","","false","PR-Revolvi0301484","","","","","","","false","","","false","Commercial","Real Estate","","","","","","false","","","","false","","","","","false","","false","","false","","false","","","","","","","","","","false","","","","","","","","","false"
"a0ubn000004dcxpAAA","false","Revolving Line of Credit","a0tbn000007pcYlAAI","a0nbn0000034pzNAAQ","","false","PR-Revolvi0406946","","","","","","","false","","","false","Commercial","Agriculture","","","","","","false","","","","false","","","","","false","","false","","false","","false","","","","","","","","","","false","","","","","","","","","false"
"a0ubn000004dcxnAAA","false","Revolving Line of Credit","a0tbn000007pcYhAAI","a0nbn0000034pzKAAQ","","false","PR-Revolvi0456513","","","","","","","false","","","false","Commercial","Non-Real Estate","","","","","","false","","","","false","","","","","false","","false","","false","","false","","","","","","","","","","false","","","","","","","","","false"
"a0ubn000004dcxrAAA","false","Revolving Line of Credit","a0tbn000007pcYmAAI","a0nbn0000034pzPAAQ","","false","PR-Revolvi0502232","","","","","","","false","","","false","Commercial","Unsecured","","","","","","false","","","","false","","","","","false","","false","","false","","false","","","","","","","","","","false","","","","","","","","","false"
"a0ubn000004ktIcAAI","false","Revolving Line of Credit","a0tbn000008H0TfAAK","a0nbn000003JaHaAAK","","false","PR-Revolvi0973827","","","","","","","true","Real Estate - Revolving LOC","<ul><li><code>We&#39;ll email you when it&#39;s time to <strong>upload documents</strong>, such as tax returns. After you&#39;ve uploaded, we can generate an official offer.</code></li><li><code>When your offer is ready, we&#39;ll send you an email. After you tell us you&#39;d like to move forward, you&#39;ll <strong>sign some closing documents</strong> to make it official.</code></li></ul>","true","Small Business","Small Business Real Estate","","","","","nPortal__OA_Collapsed_Offer_Card_Summary","false","","","SBL_OA_Expanded_Offer_Card","false","","","","Congratulations! Now that you have accepted an offer, let&#39;s talk about the next steps.","true","","false","","false","","true","a2Bbn000000KMCWEA4","","","","","","Online Loan Application","","","true","nPortal__Your_Products_Loan","","1000000.0","1000000.0","0.0","250000.0","Small BusinessReal EstateRevolving Line of Credit","Revolving Line of Credit","false"
"a0ubn000004s5ezAAA","false","Roth Fixed IRA","a0tbn000008f3QSAAY","a0nbn000003YMFOAA4","","false","PR-RothFix0899240","","","","","","","false","","","false","Consumer Deposits","IRA","","a2Fbn000000DttEEAS","a3ybn0000002k0lAAA","","","false","","","","false","","","","","false","","false","","false","","false","","","","","","","","","","false","","","","","","","","Roth Fixed IRA","true"
"a0ubn000004s5euAAA","false","Fundamental Checking","a0tbn000008f3QPAAY","a0nbn000003YMF8AAO","","false","PR-SBDDA014035799","","","","","","","false","Business Fundamental Checking","","false","Business Deposits","Checking","","a2Fbn000000DttBEAS","","","","false","","","","false","","","","","false","","false","","false","","true","","Open a Business Fundamental Checking Account Today!","","","ODAO_Topbar_Fieldset","Your Business Fundamental Checking Account","Online Deposit Application","ODAO_YourAccountFieldset","","false","nPortal__Your_Products_Deposit","","","","","","","Fundamental Checking","false"
