"Id","IsDeleted","Name","LLC_BI__Product_Type__c","LLC_BI__Is_Booked__c","LLC_BI__Stage__c","LLC_BI__Stage_and_Status__c","LLC_BI__Status__c","LLC_BI__lookupKey__c","LLC_BI__Is_Closed__c","LLC_BI__External_Stage_Order__c","LLC_BI__External_Stage__c","LLC_BI__Is_Excluded_From_Stage_Duration__c","LLC_BI__Is_Ready_To_Transmit__c","LLC_BI__Activate__c","LLC_BI__Is_Covenant__c"
"a1Vbn000008kKnlEAE","false","P-0000001451","a0tbn000008f3QTAAY","false","Complete","Complete|Paid Out","Paid Out","42005864846853469","false","5.0","Complete","false","false","false","false"
"a1Vbn000008Iqk0EAC","false","P-0000001431","a0tbn000008H0TfAAK","false","Final Review","Final Review|Open","Open","42008822828734137","false","1.0","Underwriting","false","false","false","false"
"a1Vbn000008Iqk8EAC","false","P-0000001439","a0tbn000008H0TfAAK","true","Complete","Complete|Paid Out","Paid Out","42018266336386207","true","4.0","Complete","false","false","false","false"
"a1Vbn000008Iqk3EAC","false","P-0000001434","a0tbn000008H0TfAAK","false","Doc Prep","Doc Prep|Open","Open","42018722935640308","false","2.0","Processing","false","false","false","false"
"a1Vbn000007ly3DEAQ","false","P-0000001398","a0tbn000007pcYlAAI","true","Complete","Complete|Charge-Off","Charge-Off","42049215571710581","true","","","false","false","false","false"
"a1Vbn000008Iqk1EAC","false","P-0000001432","a0tbn000008H0TfAAK","false","Approval / Loan Committee","Approval / Loan Committee|Open","Open","42055478632658391","false","1.0","Underwriting","false","false","false","false"
"a1Vbn000008kKoAEAU","false","P-0000001476","a0tbn000008f3QUAAY","false","Complete","Complete|Paid Out","Paid Out","42069639220067540","false","5.0","Complete","false","false","false","false"
"a1Vbn000008Iqk2EAC","false","P-0000001433","a0tbn000008H0TfAAK","false","Processing","Processing|Open","Open","42070066773037515","false","2.0","Processing","false","false","false","false"
"a1Vbn000008kKnmEAE","false","P-0000001452","a0tbn000008f3QVAAY","false","Qualification","Qualification|Open","Open","42070523236473312","false","1.0","Application","false","false","false","false"
"a1Vbn000008Iqk4EAC","false","P-0000001435","a0tbn000008H0TfAAK","false","Closing","Closing|Open","Open","42092020650221473","true","3.0","Closing","false","false","false","false"
"a1Vbn000008IqjpEAC","false","P-0000001420","a0tbn000008H0TdAAK","false","Doc Prep","Doc Prep|Open","Open","42121367641846030","false","2.0","Processing","false","false","false","false"
"a1Vbn000008IqjkEAC","false","P-0000001415","a0tbn000008H0TdAAK","false","Proposal","Proposal|Open","Open","42123682987924727","false","0.0","Application","false","false","false","false"
"a1Vbn000007lxzhEAA","false","P-0000001380","a0tbn000007pcYmAAI","false","Boarding","Boarding|Open","Open","42137579483405148","true","","","false","false","false","false"
"a1Vbn000008kKo1EAE","false","P-0000001467","a0tbn000008f3QTAAY","false","Complete","Complete|Withdrawn","Withdrawn","42143118856682717","false","5.0","Complete","false","false","false","false"
"a1Vbn000007ly3CEAQ","false","P-0000001397","a0tbn000007pcYlAAI","true","Complete","Complete|Withdrawn","Withdrawn","42163610529506463","true","","","false","false","false","false"
"a1Vbn000008kKnyEAE","false","P-0000001464","a0tbn000008f3QUAAY","false","Processing","Processing|Open","Open","42168668858673561","false","4.0","Processing","false","false","false","false"
"a1Vbn000008kKo5EAE","false","P-0000001471","a0tbn000008f3QUAAY","false","Booked","Booked|Open","Open","42176110339756687","false","5.0","Complete","false","false","false","false"
"a1Vbn000007lxzmEAA","false","P-0000001385","a0tbn000007pcYmAAI","true","Complete","Complete|Charge-Off","Charge-Off","42176270736625653","true","","","false","false","false","false"
"a1Vbn000008kKo9EAE","false","P-0000001475","a0tbn000008f3QUAAY","false","Closing","Closing|Open","Open","42206427720272091","false","4.0","Processing","false","false","false","false"
"a1Vbn000008kKo4EAE","false","P-0000001470","a0tbn000008f3QUAAY","false","Credit Underwriting","Credit Underwriting|Open","Open","42222223668205573","false","2.0","Underwriting","false","false","false","false"
"a1Vbn000008IqjbEAC","false","P-0000001406","a0tbn000008H0TeAAK","false","Doc Prep","Doc Prep|Open","Open","42247285589334626","false","2.0","Processing","false","false","false","false"
"a1Vbn000007lxzsEAA","false","P-0000001391","a0tbn000007pcYnAAI","true","Complete","Complete|Withdrawn","Withdrawn","42254186496941479","true","","","false","false","false","false"
"a1Vbn000008IqjVEAS","false","P-0000001400","a0tbn000008H0TeAAK","false","Qualification","Qualification|Open","Open","42260204552843784","false","0.0","Application","false","false","false","false"
"a1Vbn000008kKnxEAE","false","P-0000001463","a0tbn000008f3QUAAY","false","Approval/Loan Committee","Approval/Loan Committee|Open","Open","42260302185624709","false","3.0","Approval","false","false","false","false"
"a1Vbn000007ly39EAA","false","P-0000001394","a0tbn000007pcYfAAI","true","Complete","Complete|Withdrawn","Withdrawn","42274675648552420","true","","","false","false","false","false"
"a1Vbn000007lxznEAA","false","P-0000001386","a0tbn000007pcYmAAI","true","Complete","Complete|Paid Out","Paid Out","42288345429392701","true","","","false","false","false","false"
"a1Vbn000008IqjnEAC","false","P-0000001418","a0tbn000008H0TdAAK","false","Approval / Loan Committee","Approval / Loan Committee|Open","Open","42289368612454748","false","1.0","Underwriting","false","false","false","false"
"a1Vbn000008kKnhEAE","false","P-0000001447","a0tbn000008f3QTAAY","false","Processing","Processing|Open","Open","42307285382504822","false","4.0","Processing","false","false","false","false"
"a1Vbn000008kKneEAE","false","P-0000001444","a0tbn000008f3QTAAY","false","Credit Underwriting","Credit Underwriting|Open","Open","42307838036208184","false","2.0","Underwriting","false","false","false","false"
"a1Vbn000008IqjYEAS","false","P-0000001403","a0tbn000008H0TeAAK","false","Final Review","Final Review|Open","Open","42311920148400908","false","1.0","Underwriting","false","false","false","false"
"a1Vbn000008kKnfEAE","false","P-0000001445","a0tbn000008f3QTAAY","false","Final Review","Final Review|Open","Open","42321896685659483","false","2.0","Underwriting","false","false","false","false"
"a1Vbn000008kKnkEAE","false","P-0000001450","a0tbn000008f3QTAAY","true","Booked","Booked|Open","Open","42326302881235000","true","5.0","Complete","false","false","false","false"
"a1Vbn000008IqjzEAC","false","P-0000001430","a0tbn000008H0TfAAK","false","Credit Underwriting","Credit Underwriting|Open","Open","42328201126475064","false","1.0","Underwriting","false","false","false","false"
"a1Vbn000008IqjfEAC","false","P-0000001410","a0tbn000008H0TeAAK","true","Complete","Complete|Paid Off","Paid Off","42333311739061630","true","4.0","Complete","false","false","false","false"
"a1Vbn000008IqjyEAC","false","P-0000001429","a0tbn000008H0TfAAK","false","Proposal","Proposal|Open","Open","42346690216886193","false","0.0","Application","false","false","false","false"
"a1Vbn000008kKnpEAE","false","P-0000001455","a0tbn000008f3QVAAY","false","Final Review","Final Review|Open","Open","42347769698202500","false","2.0","Underwriting","false","false","false","false"
"a1Vbn000008kKnuEAE","false","P-0000001460","a0tbn000008f3QVAAY","false","Closing","Closing|Open","Open","42349065783046134","false","4.0","Processing","false","false","false","false"
"a1Vbn000007ly38EAA","false","P-0000001393","a0tbn000007pcYnAAI","true","Complete","Complete|Superseded","Superseded","42360125116925121","true","","","false","false","false","false"
"a1Vbn000008kKnvEAE","false","P-0000001461","a0tbn000008f3QVAAY","false","Booked","Booked|Open","Open","42360955069231332","false","5.0","Complete","false","false","false","false"
"a1Vbn000007lxzpEAA","false","P-0000001388","a0tbn000007pcYhAAI","true","Complete","Complete|Withdrawn","Withdrawn","42387736653082924","true","","","false","false","false","false"
"a1Vbn000007lxzqEAA","false","P-0000001389","a0tbn000007pcYnAAI","true","Complete","Complete|Charge-Off","Charge-Off","42392758309550288","true","","","false","false","false","false"
"a1Vbn000008IqjlEAC","false","P-0000001416","a0tbn000008H0TdAAK","false","Credit Underwriting","Credit Underwriting|Open","Open","42405001107757427","false","1.0","Underwriting","false","false","false","false"
"a1Vbn000008IqjcEAC","false","P-0000001407","a0tbn000008H0TeAAK","false","Closing","Closing|Open","Open","42413067997295242","true","3.0","Closing","false","false","false","false"
"a1Vbn000008Iqk9EAC","false","P-0000001440","a0tbn000008H0TfAAK","true","Complete","Complete|Charge-Off","Charge-Off","42423877773246567","true","4.0","Complete","false","false","false","false"
"a1Vbn000008Iqk7EAC","false","P-0000001438","a0tbn000008H0TfAAK","true","Complete","Complete|Paid Off","Paid Off","42437189036814996","true","4.0","Complete","false","false","false","false"
"a1Vbn000008Iqk5EAC","false","P-0000001436","a0tbn000008H0TfAAK","false","Boarding","Boarding|Open","Open","42441629150054946","true","3.0","Closing","false","false","false","false"
"a1Vbn000008IqkAEAS","false","P-0000001441","a0tbn000008H0TfAAK","true","Complete","Complete|Superseded","Superseded","42445240949195175","true","4.0","Complete","false","false","false","false"
"a1Vbn000008IqjgEAC","false","P-0000001411","a0tbn000008H0TeAAK","true","Complete","Complete|Paid Out","Paid Out","42451596888552537","true","4.0","Complete","false","false","false","false"
"a1Vbn000008IqjZEAS","false","P-0000001404","a0tbn000008H0TeAAK","false","Approval / Loan Committee","Approval / Loan Committee|Open","Open","42455430877190057","false","1.0","Underwriting","false","false","false","false"
"a1Vbn000008kKo7EAE","false","P-0000001473","a0tbn000008f3QUAAY","false","Complete","Complete|Declined","Declined","42482251374158444","false","5.0","Complete","false","false","false","false"
"a1Vbn000008IqjoEAC","false","P-0000001419","a0tbn000008H0TdAAK","false","Processing","Processing|Open","Open","42498710742688966","false","2.0","Processing","false","false","false","false"
"a1Vbn000008IqjhEAC","false","P-0000001412","a0tbn000008H0TeAAK","true","Complete","Complete|Charge-Off","Charge-Off","42498849953667734","true","4.0","Complete","false","false","false","false"
