"Id","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastViewedDate","LastReferencedDate","LLC_BI__Product_Type__c","LLC_BI__Activate__c","LLC_BI__External_Stage_Order__c","LLC_BI__External_Stage__c","LLC_BI__Is_Booked__c","LLC_BI__Is_Closed__c","LLC_BI__Is_Covenant__c","LLC_BI__Is_Excluded_From_Stage_Duration__c","LLC_BI__Is_Ready_To_Transmit__c","LLC_BI__Stage__c","LLC_BI__Status__c","LLC_BI__lookupKey__c","LLC_BI__Stage_and_Status__c"
"a45WD000001GBeaYAG","false","P-0000003017","2026-07-20T14:12:09.000Z","005al00000RVcKvAAL","2026-08-06T11:32:39.000Z","005al00000RVcKvAAL","2026-08-06T11:32:39.000Z","","","a47WD000000QQv1YAG","false","4.0","Processing","false","false","false","false","false","Closing","Open","42623867158312222","Closing|Open"
"a45WD000001Cw7vYAC","false","P-0000002536","2026-04-07T19:18:49.000Z","005al00000RVcKvAAL","2026-08-06T11:32:39.000Z","005al00000RVcKvAAL","2026-08-06T11:32:39.000Z","","","a47WD000000E4lyYAC","false","4.0","Complete","true","true","true","false","false","Complete","Paid Out","42624875027303633","Complete|Paid Out"
"a45WD000001Cw7wYAC","false","P-0000002537","2026-04-07T19:18:49.000Z","005al00000RVcKvAAL","2026-08-06T11:32:39.000Z","005al00000RVcKvAAL","2026-08-06T11:32:39.000Z","","","a47WD000000E4lnYAC","false","2.0","Processing","false","false","false","false","false","Processing","Open","42625903541620254","Processing|Open"
"a45WD000001GBejYAG","false","P-0000003026","2026-07-20T14:12:09.000Z","005al00000RVcKvAAL","2026-08-06T11:32:39.000Z","005al00000RVcKvAAL","2026-08-06T11:32:39.000Z","","","a47WD000000QQv3YAG","false","4.0","Processing","false","false","false","false","false","Processing","Open","42630074661238464","Processing|Open"
"a45WD000001GBdsYAG","false","P-0000002973","2026-07-20T14:12:09.000Z","005al00000RVcKvAAL","2026-08-06T11:32:39.000Z","005al00000RVcKvAAL","2026-08-06T11:32:39.000Z","","","a47WD000000QQuzYAG","false","2.0","Processing","false","false","false","false","false","Processing","Open","42632565977887193","Processing|Open"
"a45WD000001Cw7xYAC","false","P-0000002538","2026-04-07T19:18:49.000Z","005al00000RVcKvAAL","2026-08-06T11:32:39.000Z","005al00000RVcKvAAL","2026-08-06T11:32:39.000Z","","","a47WD000000E4lrYAC","false","1.0","Underwriting","false","false","false","false","false","Final Review","Open","42635444204920432","Final Review|Open"
"a45WD000001Cw7yYAC","false","P-0000002539","2026-04-07T19:18:49.000Z","005al00000RVcKvAAL","2026-08-06T11:32:39.000Z","005al00000RVcKvAAL","2026-08-06T11:32:39.000Z","","","a47WD000000E4laYAC","false","4.0","Complete","true","true","true","false","false","Complete","Superseded","42637706225027487","Complete|Superseded"
"a45WD000001Cw7zYAC","false","P-0000002540","2026-04-07T19:18:49.000Z","005al00000RVcKvAAL","2026-08-06T11:32:39.000Z","005al00000RVcKvAAL","2026-08-06T11:32:39.000Z","","","a47WD000000E4lmYAC","false","3.0","Closing","false","true","false","false","false","Closing","Open","4263960815516904","Closing|Open"
"a45WD000001Cw80YAC","false","P-0000002541","2026-04-07T19:18:49.000Z","005al00000RVcKvAAL","2026-08-06T11:32:39.000Z","005al00000RVcKvAAL","2026-08-06T11:32:39.000Z","","","a47WD000000E4lWYAS","false","0.0","Application","false","false","false","false","false","Qualification","Open","42640061347179397","Qualification|Open"
"a45WD000001Cw81YAC","false","P-0000002542","2026-04-07T19:18:49.000Z","005al00000RVcKvAAL","2026-08-06T11:32:39.000Z","005al00000RVcKvAAL","2026-08-06T11:32:39.000Z","","","a47WD000000E4lgYAC","false","1.0","Underwriting","false","false","false","false","false","Final Review","Open","42644976788583337","Final Review|Open"
"a45WD000001GBenYAG","false","P-0000003030","2026-07-20T14:12:09.000Z","005al00000RVcKvAAL","2026-08-06T11:32:39.000Z","005al00000RVcKvAAL","2026-08-06T11:32:39.000Z","","","a47WD000000QQv3YAG","false","5.0","Complete","false","false","false","false","false","Complete","Paid Out","42645873328937911","Complete|Paid Out"
"a45WD000001Cw82YAC","false","P-0000002543","2026-04-07T19:18:49.000Z","005al00000RVcKvAAL","2026-08-06T11:32:39.000Z","005al00000RVcKvAAL","2026-08-06T11:32:39.000Z","","","a47WD000000E4lnYAC","false","1.0","Underwriting","false","false","false","false","false","Approval / Loan Committee","Open","42646377992908162","Approval / Loan Committee|Open"
"a45WD000001GBetYAG","false","P-0000003036","2026-07-20T14:12:09.000Z","005al00000RVcKvAAL","2026-08-06T11:32:39.000Z","005al00000RVcKvAAL","2026-08-06T11:32:39.000Z","","","a47WD000000QQv2YAG","false","1.0","Application","false","false","false","false","false","Qualification","Open","42647237968139926","Qualification|Open"
"a45WD000001GBeBYAW","false","P-0000002992","2026-07-20T14:12:09.000Z","005al00000RVcKvAAL","2026-08-06T11:32:39.000Z","005al00000RVcKvAAL","2026-08-06T11:32:39.000Z","","","a47WD000000QQuyYAG","false","4.0","Complete","true","true","false","false","false","Complete","Paid Off","42648536619989446","Complete|Paid Off"
"a45WD000001Cw83YAC","false","P-0000002544","2026-04-07T19:18:49.000Z","005al00000RVcKvAAL","2026-08-06T11:32:39.000Z","005al00000RVcKvAAL","2026-08-06T11:32:39.000Z","","","a47WD000000E4lyYAC","false","4.0","Complete","true","true","true","false","false","Complete","Superseded","42649444030459550","Complete|Superseded"
"a45WD000001GBeuYAG","false","P-0000003037","2026-07-20T14:12:09.000Z","005al00000RVcKvAAL","2026-08-06T11:32:39.000Z","005al00000RVcKvAAL","2026-08-06T11:32:39.000Z","","","a47WD000000QQv2YAG","false","2.0","Underwriting","false","false","false","false","false","Final Review","Open","42654148242738856","Final Review|Open"
"a45WD000001Cw84YAC","false","P-0000002545","2026-04-07T19:18:49.000Z","005al00000RVcKvAAL","2026-08-06T11:32:39.000Z","005al00000RVcKvAAL","2026-08-06T11:32:39.000Z","","","a47WD000000E4lRYAS","false","1.0","Underwriting","false","false","false","false","false","Approval / Loan Committee","Open","42658536363748327","Approval / Loan Committee|Open"
"a45WD000001GBdjYAG","false","P-0000002964","2026-07-20T14:12:09.000Z","005al00000RVcKvAAL","2026-08-06T11:32:39.000Z","005al00000RVcKvAAL","2026-08-06T11:32:39.000Z","","","a47WD000000QQuxYAG","true","","","true","true","true","false","false","Booked","Open","42661069912691303","Booked|Open"
"a45WD000001Cw85YAC","false","P-0000002546","2026-04-07T19:18:49.000Z","005al00000RVcKvAAL","2026-08-06T11:32:39.000Z","005al00000RVcKvAAL","2026-08-06T11:32:39.000Z","","","a47WD000000E4leYAC","false","4.0","Complete","true","true","true","false","false","Complete","Paid Out","42661342596940857","Complete|Paid Out"
"a45WD000001Cw86YAC","false","P-0000002547","2026-04-07T19:18:49.000Z","005al00000RVcKvAAL","2026-08-06T11:32:39.000Z","005al00000RVcKvAAL","2026-08-06T11:32:39.000Z","","","a47WD000000E4lTYAS","false","1.0","Underwriting","false","false","false","false","false","Final Review","Open","42663208144641426","Final Review|Open"
"a45WD000001GBe4YAG","false","P-0000002985","2026-07-20T14:12:09.000Z","005al00000RVcKvAAL","2026-08-06T11:32:39.000Z","005al00000RVcKvAAL","2026-08-06T11:32:39.000Z","","","a47WD000000QQuyYAG","false","1.0","Underwriting","false","false","false","false","false","Final Review","Open","42670197237948406","Final Review|Open"
"a45WD000001Cw87YAC","false","P-0000002548","2026-04-07T19:18:49.000Z","005al00000RVcKvAAL","2026-08-06T11:32:39.000Z","005al00000RVcKvAAL","2026-08-06T11:32:39.000Z","","","a47WD000000E4lxYAC","false","4.0","Complete","true","true","true","false","false","Complete","Superseded","42670413460781775","Complete|Superseded"
"a45WD000001Cw88YAC","false","P-0000002549","2026-04-07T19:18:49.000Z","005al00000RVcKvAAL","2026-08-06T11:32:39.000Z","005al00000RVcKvAAL","2026-08-06T11:32:39.000Z","","","a47WD000000E4lWYAS","false","1.0","Underwriting","false","false","false","false","false","Credit Underwriting","Open","42674148696666166","Credit Underwriting|Open"
"a45WD000001GBe1YAG","false","P-0000002982","2026-07-20T14:12:09.000Z","005al00000RVcKvAAL","2026-08-06T11:32:39.000Z","005al00000RVcKvAAL","2026-08-06T11:32:39.000Z","","","a47WD000000QQuyYAG","false","0.0","Application","false","false","false","false","false","Qualification","Open","42675642923758743","Qualification|Open"
"a45WD000001Cw89YAC","false","P-0000002550","2026-04-07T19:18:49.000Z","005al00000RVcKvAAL","2026-08-06T11:32:39.000Z","005al00000RVcKvAAL","2026-08-06T11:32:39.000Z","","","a47WD000000E4lRYAS","false","2.0","Processing","false","false","false","false","false","Doc Prep","Open","42681535294486734","Doc Prep|Open"
"a45WD000001Cw8AYAS","false","P-0000002551","2026-04-07T19:18:49.000Z","005al00000RVcKvAAL","2026-08-06T11:32:39.000Z","005al00000RVcKvAAL","2026-08-06T11:32:39.000Z","","","a47WD000000E4lkYAC","false","2.0","Processing","false","false","false","false","false","Doc Prep","Open","42681563253894382","Doc Prep|Open"
"a45WD000001Cw8BYAS","false","P-0000002552","2026-04-07T19:18:49.000Z","005al00000RVcKvAAL","2026-08-06T11:32:39.000Z","005al00000RVcKvAAL","2026-08-06T11:32:39.000Z","","","a47WD000000E4laYAC","false","0.0","Application","false","false","false","false","false","Proposal","Open","42682593539916257","Proposal|Open"
"a45WD000001Cw8CYAS","false","P-0000002553","2026-04-07T19:18:49.000Z","005al00000RVcKvAAL","2026-08-06T11:32:39.000Z","005al00000RVcKvAAL","2026-08-06T11:32:39.000Z","","","a47WD000000E4lmYAC","false","4.0","Complete","true","true","true","false","false","Complete","Superseded","42683344723618385","Complete|Superseded"
"a45WD000001Cw8DYAS","false","P-0000002554","2026-04-07T19:18:49.000Z","005al00000RVcKvAAL","2026-08-06T11:32:39.000Z","005al00000RVcKvAAL","2026-08-06T11:32:39.000Z","","","a47WD000000E4lWYAS","false","2.0","Processing","false","false","false","false","false","Doc Prep","Open","42692184155140963","Doc Prep|Open"
"a45WD000001Cw8EYAS","false","P-0000002555","2026-04-07T19:18:49.000Z","005al00000RVcKvAAL","2026-08-06T11:32:39.000Z","005al00000RVcKvAAL","2026-08-06T11:32:39.000Z","","","a47WD000000E4lpYAC","false","4.0","Complete","true","true","true","false","false","Complete","Charge-Off","42700765282447153","Complete|Charge-Off"
"a45WD000001Cw8FYAS","false","P-0000002556","2026-04-07T19:18:49.000Z","005al00000RVcKvAAL","2026-08-06T11:32:39.000Z","005al00000RVcKvAAL","2026-08-06T11:32:39.000Z","","","a47WD000000E4lWYAS","false","1.0","Underwriting","false","false","false","false","false","Approval / Loan Committee","Open","42701977770602704","Approval / Loan Committee|Open"
"a45WD000001Cw8GYAS","false","P-0000002557","2026-04-07T19:18:49.000Z","005al00000RVcKvAAL","2026-08-06T11:32:39.000Z","005al00000RVcKvAAL","2026-08-06T11:32:39.000Z","","","a47WD000000E4lyYAC","false","3.0","Closing","false","true","false","false","false","Boarding","Open","42702335466520222","Boarding|Open"
"a45WD000001Cw8HYAS","false","P-0000002558","2026-04-07T19:18:49.000Z","005al00000RVcKvAAL","2026-08-06T11:32:39.000Z","005al00000RVcKvAAL","2026-08-06T11:32:39.000Z","","","a47WD000000E4lpYAC","false","1.0","Underwriting","false","false","false","false","false","Approval / Loan Committee","Open","42707100238544426","Approval / Loan Committee|Open"
"a45WD000001Cw8IYAS","false","P-0000002559","2026-04-07T19:18:49.000Z","005al00000RVcKvAAL","2026-08-06T11:32:39.000Z","005al00000RVcKvAAL","2026-08-06T11:32:39.000Z","","","a47WD000000E4lSYAS","false","1.0","Underwriting","false","false","false","false","false","Approval / Loan Committee","Open","42708001834470300","Approval / Loan Committee|Open"
"a45WD000001Cw8JYAS","false","P-0000002560","2026-04-07T19:18:49.000Z","005al00000RVcKvAAL","2026-08-06T11:32:39.000Z","005al00000RVcKvAAL","2026-08-06T11:32:39.000Z","","","a47WD000000E4lmYAC","false","4.0","Complete","true","true","true","false","false","Complete","Charge-Off","42710981270855980","Complete|Charge-Off"
"a45WD000001Cw8KYAS","false","P-0000002561","2026-04-07T19:18:49.000Z","005al00000RVcKvAAL","2026-08-06T11:32:39.000Z","005al00000RVcKvAAL","2026-08-06T11:32:39.000Z","","","a47WD000000E4lqYAC","true","4.0","Complete","true","true","true","false","false","Booked","Open","42717016104973198","Booked|Open"
