"Id","OwnerId","IsDeleted","Name","nFORCE__App__c","nFORCE__Body_Type__c","nFORCE__Body__c","nFORCE__Description__c","nFORCE__Group__c","nFORCE__Icon_Class__c","nFORCE__Is_Hidden__c","nFORCE__Navigation__c","nFORCE__Order__c","nFORCE__Parameters__c","nFORCE__Parent_App__c","nFORCE__Screen__c","nFORCE__Sub_Navigation__c","nFORCE__Taxonomy_Id__c","nFORCE__Toolbar__c","nFORCE__Topbar__c","nFORCE__lookupKey__c"
"a0mWD000003RDy7YAG","005al00000RVcKvAAL","false","Overview","relationship-overview-business","Lightning Web Component","nforce__ncdatagrid","","","n-icon-entity","false","nforce__inline_navigation","","","","a0sWD00000Xo7aQYAR","nforce__sub_navigation","relationship-overview-business","","nforce__topbar","42139978074017000"
"a0mWD000003RDTlYAO","005al00000RVcKvAAL","false","Add a New Scanner","tmmcr-remotedeposit(AddaNewScanner)-00","","","","","","false","","","","","a0sWD00000Xo7YoYAJ","","","","","42158739190059035"
"a0mWD000003RDy9YAG","005al00000RVcKvAAL","false","Loan Team","loan-team-m","Lightning Web Component","nforce__ncrelatedlist","","","n-icon-team","false","nforce__navigation","","","","a0sWD00000Xo7l1YAB","nforce__sub_navigation","loan-team-m","","nforce__topbar","42160814162644600"
"a0mWD000003RDkbYAG","005al00000RVcKvAAL","false","Rental Expense","secured-retail-loan-online-application-rent-other-involved","Visualforce Page","nPORTAL__MultiRecordForm","","","","false","NPORTAL__ApplicationNavigation","","","","a0sWD00000Xo7cVYAR","","secured-retail-loan-online-application-rent-other-involved","","NPORTAL__LoanTopbar","42169091026311878"
"a0mWD000003RDkdYAG","005al00000RVcKvAAL","false","Personal Info","secured-retail-loan-online-application--individual-other-involved--personal-info","Visualforce Page","NPORTAL__PortalForm","","","","false","NPORTAL__ApplicationNavigation","20.0","","","a0sWD00000Xo7bkYAB","","secured-retail-loan-online-application--individual-other-involved--personal-info","","NPORTAL__LoanTopbar","42171602603021066"
"a0mWD000003RDToYAO","005al00000RVcKvAAL","false","Narrative","loan-narrative-booked","","nforce__ncdatagrid","","","n-icon-loan","false","nforce__navigation","","","","a0sWD00000XnoK9YAJ","nforce__sub_navigation","loan-narrative-booked","","nforce__topbar","42174053163080200"
"a0mWD000003RDnmYAG","005al00000RVcKvAAL","false","Loan Information","loe-post-loan-information-sba","","nforce__ncdatagrid","","","n-icon-loan","false","nforce__navigation","","","","a0sWD00000Xo7dzYAB","nforce__sub_navigation","","","nforce__topbar","42174529732654836"
"a0mWD000003RDTpYAO","005al00000RVcKvAAL","false","Ongoing Servicing","relationship-ongoing-servicing","","nforce__ncrelatedlist","","","n-icon-analyze","false","nforce__inline_navigation","","","","a0sWD00000Xo7aLYAR","nforce__sub_navigation","relationship-ongoing-servicing","","nforce__topbar","42175424850611300"
"a0mWD000003RDyFYAW","005al00000RVcKvAAL","false","Add Sub-Loan","dmw-list-view-booked-loans.dmw-row-action-add-sub-loan","","llc_bi:dealManagementWorkspace","","","","false","","","","","a0sWD00000Xo7jmYAB","","","","","42178289300485199"
"a0mWD000003RDTrYAO","005al00000RVcKvAAL","false","Use of Proceeds","sba-la-use-of-proceeds","","nforce__korelatedlistchild","","","n-icon-entity","false","nforce__navigation","","","","a0sWD00000Xo7VtYAJ","nforce__sub_navigation","","","nforce__topbar","42178294095460311"
