"Id","IsDeleted","Name","LastViewedDate","LastReferencedDate","nFORCE__Rule_Engine_Context__c","nFORCE__Description__c","nFORCE__lookupKey__c"
"a0nWE000004iRgkYAE","false","Retrieve Pricing Options Retail Pricing","","","a0oWE00000C5wOBYAZ","Create the pricing option(s) based on information in the Loan specific to Retail Pricing.","42124860362386702"
"a0nWE000004iRgnYAE","false","Retrieve Pricing Options","","","a0oWE00000C5wOIYAZ","Create the pricing option(s) based on information in the Loan.","Asdc6498yn"
"a0nWE000004iRgmYAE","false","DuplicateContentVersion","","","a0oWE00000C5wOHYAZ","","asdadsfdfsfdsfds1"
"a0nWE000004iRgoYAE","false","CLA Inspection PlaceHolder Creation","","","a0oWE00000C5wOJYAZ","The CLA Inspection PlaceHolder Creation rule runs when a new Valuation object is created in order to create one or more Document Manager placeholders.","asdtr134"
"a0nWE000004iRgpYAE","false","Loan Auto-Decision","","","a0oWE00000C5wOKYAZ","The Loan Auto-Decision Rule context runs when the Auto-Decision Action item is selected from a loan","ashg5y5432"
"a0nWE000004iRgqYAE","false","Credit Request Preprocessing","","","a0oWE00000C5wOLYAZ","This is run before creating a credit request to determine the parameters for the request","cfvasdf1435234"
"a0nWE000004iRgrYAE","false","Filter Pricing Options by DTI","","","a0oWE00000C5wOMYAZ","Filters the pricing options based on the current max DTI","fffffff3341"
"a0nWE000004iRgsYAE","false","Proposed Pricing Option","","","a0oWE00000C5wONYAZ","Create the proposed pricing option based on information in the loan.","jj76u67j"
"a0nWE000004iRgtYAE","false","Loan Auto-Policy Exception","","","a0oWE00000C5wOOYAZ","The Loan Auto-Policy Exception context runs when the Auto-Policy Exception Action item is selected from a loan","vhdchd635"
