"Id","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","nFORCE__Screen__c","nFORCE__Are_Columns_Sortable__c","nFORCE__Auto_Save__c","nFORCE__Break_Page_After__c","nFORCE__Break_Page_Before__c","nFORCE__Conditional_Display_Criteria__c","nFORCE__Default_Editable__c","nFORCE__Default_Rendered__c","nFORCE__Disable_Print__c","nFORCE__Disable_Read_Only_View__c","nFORCE__Display_Input_Address_Component__c","nFORCE__Display_Order__c","nFORCE__Display_Toggle_Effect__c","nFORCE__Display_Toggle_Header__c","nFORCE__Display_Toggle_Link__c","nFORCE__Headless__c","nFORCE__Inactive__c","nFORCE__Instructions_Text__c","nFORCE__Is_Editable__c","nFORCE__Number_of_Columns__c","nFORCE__Optional_Configuration__c","nFORCE__Parent_Screen_Section__c","nFORCE__Section_Resource__c","nFORCE__Validation_Service__c","nFORCE__lookupKey__c","nFORCE__sObject_Type__c","Custom_Code_in_Screen_Section__c"
"a0qWD00000GSmi6YAD","false","Collateral Valuation","2026-04-07T19:06:31.000Z","005al00000RVcKvAAL","2026-08-12T11:34:01.000Z","005al00000RVvFOAA1","2026-08-12T11:34:01.000Z","a0sWD00000XnsdxYAB","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42176098733769439","LLC_BI__Collateral__c",""
"a0qWD00000GSmi7YAD","false","Bulk Pledge Details","2026-04-07T19:06:31.000Z","005al00000RVcKvAAL","2026-08-12T11:34:01.000Z","005al00000RVvFOAA1","2026-08-12T11:34:01.000Z","a0sWD00000Xnse2YAB","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","CustomSObjectListScreenResource","","42192074896987113","LLC_BI__Loan_Collateral2__c",""
"a0qWD00000GSmi8YAD","false","Bulk Pledge Details","2026-04-07T19:06:31.000Z","005al00000RVcKvAAL","2026-08-12T11:34:01.000Z","005al00000RVvFOAA1","2026-08-12T11:34:01.000Z","a0sWD00000Xnse5YAB","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","CustomSObjectListScreenResource","","42195570243048674","LLC_BI__Loan_Collateral2__c",""
"a0qWD00000GTAKaYAP","false","Bulk Pledge Details","2026-04-07T19:27:41.000Z","005al00000RVcKvAAL","2026-08-12T11:34:01.000Z","005al00000RVvFOAA1","2026-08-12T11:34:01.000Z","a0sWD00000XoBoMYAV","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","CustomSObjectListScreenResource","","42211688042367551","LLC_BI__Loan_Collateral2__c",""
"a0qWD00000GSmi9YAD","false","Bulk Pledge Details","2026-04-07T19:06:31.000Z","005al00000RVcKvAAL","2026-08-12T11:34:01.000Z","005al00000RVvFOAA1","2026-08-12T11:34:01.000Z","a0sWD00000Xnse6YAB","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","CustomSObjectListScreenResource","","42214592204420924","LLC_BI__Loan_Collateral2__c",""
"a0qWD00000GSmiAYAT","false","Collateral Valuation","2026-04-07T19:06:31.000Z","005al00000RVcKvAAL","2026-08-12T11:34:01.000Z","005al00000RVvFOAA1","2026-08-12T11:34:01.000Z","a0sWD00000Xnse7YAB","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42237191330811213","LLC_BI__Collateral__c",""
"a0qWD00000GSmiBYAT","false","Collateral Valuation","2026-04-07T19:06:31.000Z","005al00000RVcKvAAL","2026-08-12T11:34:01.000Z","005al00000RVvFOAA1","2026-08-12T11:34:01.000Z","a0sWD00000Xnse8YAB","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42256671778578968","LLC_BI__Collateral__c",""
"a0qWD00000GSmiCYAT","false","Collateral Valuation","2026-04-07T19:06:31.000Z","005al00000RVcKvAAL","2026-08-12T11:34:01.000Z","005al00000RVvFOAA1","2026-08-12T11:34:01.000Z","a0sWD00000Xnse4YAB","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42257152410399482","LLC_BI__Collateral__c",""
"a0qWD00000GSmiDYAT","false","Collateral Valuation","2026-04-07T19:06:31.000Z","005al00000RVcKvAAL","2026-08-12T11:34:01.000Z","005al00000RVvFOAA1","2026-08-12T11:34:01.000Z","a0sWD00000Xnse9YAB","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42263686687538568","LLC_BI__Collateral__c",""
"a0qWD00000GSmiEYAT","false","Collateral Search Results","2026-04-07T19:06:31.000Z","005al00000RVcKvAAL","2026-08-12T11:34:01.000Z","005al00000RVvFOAA1","2026-08-12T11:34:01.000Z","a0sWD00000XnsdtYAB","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42265414594135939","LLC_BI__Collateral__c",""
"a0qWD00000GSmiFYAT","false","Collateral Search Results","2026-04-07T19:06:31.000Z","005al00000RVcKvAAL","2026-08-12T11:34:01.000Z","005al00000RVvFOAA1","2026-08-12T11:34:01.000Z","a0sWD00000XnseAYAR","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42275749942731791","LLC_BI__Collateral__c",""
"a0qWD00000GTAMBYA5","false","Collateral Search Results","2026-04-07T19:27:41.000Z","005al00000RVcKvAAL","2026-08-12T11:34:01.000Z","005al00000RVvFOAA1","2026-08-12T11:34:01.000Z","a0sWD00000XoBtAYAV","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42276574753049427","LLC_BI__Collateral__c",""
"a0qWD00000GSmiGYAT","false","Bulk Pledge Details","2026-04-07T19:06:31.000Z","005al00000RVcKvAAL","2026-08-12T11:34:01.000Z","005al00000RVvFOAA1","2026-08-12T11:34:01.000Z","a0sWD00000Xnse9YAB","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","CustomSObjectListScreenResource","","42278275281163285","LLC_BI__Loan_Collateral2__c",""
"a0qWD00000GSmiHYAT","false","Collateral Valuation","2026-04-07T19:06:31.000Z","005al00000RVcKvAAL","2026-08-12T11:34:01.000Z","005al00000RVvFOAA1","2026-08-12T11:34:01.000Z","a0sWD00000XnseBYAR","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42301426787635379","LLC_BI__Collateral__c",""
"a0qWD00000GSmiIYAT","false","Bulk Pledge Details","2026-04-07T19:06:31.000Z","005al00000RVcKvAAL","2026-08-12T11:34:01.000Z","005al00000RVvFOAA1","2026-08-12T11:34:01.000Z","a0sWD00000XnseCYAR","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","CustomSObjectListScreenResource","","42302197961286282","LLC_BI__Loan_Collateral2__c",""
"a0qWD00000GTANOYA5","false","Collateral Valuation","2026-04-07T19:27:41.000Z","005al00000RVcKvAAL","2026-08-12T11:34:01.000Z","005al00000RVvFOAA1","2026-08-12T11:34:01.000Z","a0sWD00000XoBp1YAF","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42321335984014317","LLC_BI__Collateral__c",""
"a0qWD00000GSmiJYAT","false","Collateral Search Results","2026-04-07T19:06:31.000Z","005al00000RVcKvAAL","2026-08-12T11:34:01.000Z","005al00000RVvFOAA1","2026-08-12T11:34:01.000Z","a0sWD00000Xnse6YAB","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42324251124134576","LLC_BI__Collateral__c",""
"a0qWD00000GSmiKYAT","false","Bulk Pledge Details","2026-04-07T19:06:31.000Z","005al00000RVcKvAAL","2026-08-12T11:34:01.000Z","005al00000RVvFOAA1","2026-08-12T11:34:01.000Z","a0sWD00000XnsdwYAB","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","CustomSObjectListScreenResource","","42324850389840785","LLC_BI__Loan_Collateral2__c",""
"a0qWD00000GT9ZWYA1","false","Collateral Search Results","2026-04-07T19:27:36.000Z","005al00000RVcKvAAL","2026-08-12T11:34:01.000Z","005al00000RVvFOAA1","2026-08-12T11:34:01.000Z","a0sWD00000XoCL3YAN","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42341236978633924","LLC_BI__Collateral__c",""
"a0qWD00000GSmiLYAT","false","Collateral Valuation","2026-04-07T19:06:31.000Z","005al00000RVcKvAAL","2026-08-12T11:34:01.000Z","005al00000RVvFOAA1","2026-08-12T11:34:01.000Z","a0sWD00000Xnse1YAB","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42349998591038546","LLC_BI__Collateral__c",""
"a0qWD00000GSmiMYAT","false","Collateral Search Results","2026-04-07T19:06:31.000Z","005al00000RVcKvAAL","2026-08-12T11:34:01.000Z","005al00000RVvFOAA1","2026-08-12T11:34:01.000Z","a0sWD00000XnseDYAR","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42355584328676920","LLC_BI__Collateral__c",""
"a0qWD00000GSmiNYAT","false","Collateral Search Results","2026-04-07T19:06:31.000Z","005al00000RVcKvAAL","2026-08-12T11:34:01.000Z","005al00000RVvFOAA1","2026-08-12T11:34:01.000Z","a0sWD00000Xnse5YAB","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42372503340940549","LLC_BI__Collateral__c",""
"a0qWD00000GTAOwYAP","false","Collateral Search Results","2026-04-07T19:27:41.000Z","005al00000RVcKvAAL","2026-08-12T11:34:01.000Z","005al00000RVvFOAA1","2026-08-12T11:34:01.000Z","a0sWD00000XoBs3YAF","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42384811655248690","LLC_BI__Collateral__c",""
"a0qWD00000GSmiOYAT","false","Collateral Search Results","2026-04-07T19:06:31.000Z","005al00000RVcKvAAL","2026-08-12T11:34:01.000Z","005al00000RVvFOAA1","2026-08-12T11:34:01.000Z","a0sWD00000XnseCYAR","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42400804380149719","LLC_BI__Collateral__c",""
"a0qWD00000GSmiPYAT","false","Collateral Search Results","2026-04-07T19:06:31.000Z","005al00000RVcKvAAL","2026-08-12T11:34:01.000Z","005al00000RVvFOAA1","2026-08-12T11:34:01.000Z","a0sWD00000XnsdxYAB","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42407198864532806","LLC_BI__Collateral__c",""
"a0qWD00000GSLXTYA5","false","Collateral Details","2026-04-07T19:27:30.000Z","005al00000RVcKvAAL","2026-08-12T11:34:01.000Z","005al00000RVvFOAA1","2026-08-12T11:34:01.000Z","a0sWD00000XoCL3YAN","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","true","","true","","","","MappedSObjectScreenResource","","42408547330158687","LLC_BI__Loan_Collateral2__c",""
"a0qWD00000GSmiQYAT","false","Collateral Valuation","2026-04-07T19:06:31.000Z","005al00000RVcKvAAL","2026-08-12T11:34:01.000Z","005al00000RVvFOAA1","2026-08-12T11:34:01.000Z","a0sWD00000Xnse6YAB","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42424425548316676","LLC_BI__Collateral__c",""
"a0qWD00000GTAQAYA5","false","Collateral Search Results","2026-04-07T19:27:41.000Z","005al00000RVcKvAAL","2026-08-12T11:34:01.000Z","005al00000RVvFOAA1","2026-08-12T11:34:01.000Z","a0sWD00000XoBp1YAF","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42432403086099581","LLC_BI__Collateral__c",""
"a0qWD00000GSmiRYAT","false","Collateral Valuation","2026-04-07T19:06:31.000Z","005al00000RVcKvAAL","2026-08-12T11:34:01.000Z","005al00000RVvFOAA1","2026-08-12T11:34:01.000Z","a0sWD00000XnseEYAR","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42438109294881857","LLC_BI__Collateral__c",""
"a0qWD00000GSmiSYAT","false","Collateral Search Results","2026-04-07T19:06:31.000Z","005al00000RVcKvAAL","2026-08-12T11:34:01.000Z","005al00000RVvFOAA1","2026-08-12T11:34:01.000Z","a0sWD00000XnsdsYAB","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42445991943016780","LLC_BI__Collateral__c",""
"a0qWD00000GSmiTYAT","false","Bulk Pledge Details","2026-04-07T19:06:31.000Z","005al00000RVcKvAAL","2026-08-12T11:34:01.000Z","005al00000RVvFOAA1","2026-08-12T11:34:01.000Z","a0sWD00000XnseFYAR","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","CustomSObjectListScreenResource","","42452419303364976","LLC_BI__Loan_Collateral2__c",""
"a0qWD00000GTAQlYAP","false","Bulk Pledge Details","2026-04-07T19:27:41.000Z","005al00000RVcKvAAL","2026-08-12T11:34:01.000Z","005al00000RVvFOAA1","2026-08-12T11:34:01.000Z","a0sWD00000XoBp1YAF","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","CustomSObjectListScreenResource","","42457559416603645","LLC_BI__Loan_Collateral2__c",""
"a0qWD00000GSmiUYAT","false","Bulk Pledge Details","2026-04-07T19:06:31.000Z","005al00000RVcKvAAL","2026-08-12T11:34:01.000Z","005al00000RVvFOAA1","2026-08-12T11:34:01.000Z","a0sWD00000XnsdtYAB","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","CustomSObjectListScreenResource","","42495836968262912","LLC_BI__Loan_Collateral2__c",""
"a0qWD00000GTAU8YAP","false","Collateral Search Results","2026-04-07T19:27:42.000Z","005al00000RVcKvAAL","2026-08-12T11:34:01.000Z","005al00000RVvFOAA1","2026-08-12T11:34:01.000Z","a0sWD00000XoBstYAF","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42522946735389811","LLC_BI__Collateral__c",""
"a0qWD00000GSmiVYAT","false","Collateral Valuation","2026-04-07T19:06:31.000Z","005al00000RVcKvAAL","2026-08-12T11:34:01.000Z","005al00000RVvFOAA1","2026-08-12T11:34:01.000Z","a0sWD00000Xnse0YAB","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42556818826445827","LLC_BI__Collateral__c",""
"a0qWD00000GSc2UYAT","false","Pledge Details","2026-04-07T19:06:31.000Z","005al00000RVcKvAAL","2026-08-12T11:34:01.000Z","005al00000RVvFOAA1","2026-08-12T11:34:01.000Z","a0sWD00000XnseAYAR","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","true","","true","","","","MappedSObjectScreenResource","","42560036649135156","LLC_BI__Loan_Collateral2__c",""
"a0qWD00000GSmiWYAT","false","Collateral Valuation","2026-04-07T19:06:31.000Z","005al00000RVcKvAAL","2026-08-12T11:34:01.000Z","005al00000RVvFOAA1","2026-08-12T11:34:01.000Z","a0sWD00000XnsdsYAB","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42590166131955019","LLC_BI__Collateral__c",""
"a0qWD00000GTAWTYA5","false","Collateral Details","2026-04-07T19:27:42.000Z","005al00000RVcKvAAL","2026-08-12T11:34:01.000Z","005al00000RVvFOAA1","2026-08-12T11:34:01.000Z","a0sWD00000XoBs3YAF","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","true","","true","","","","MappedSObjectScreenResource","","42607265308893146","LLC_BI__Loan_Collateral2__c",""
"a0qWD00000GSmiXYAT","false","Bulk Pledge Details","2026-04-07T19:06:31.000Z","005al00000RVcKvAAL","2026-08-12T11:34:01.000Z","005al00000RVvFOAA1","2026-08-12T11:34:01.000Z","a0sWD00000Xnse3YAB","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","CustomSObjectListScreenResource","","42611864134409575","LLC_BI__Loan_Collateral2__c",""
