"Id","OwnerId","IsDeleted","Name","nFORCE__Conditional_Display_Criteria_Context__c","nFORCE__Conditional_Display_Criteria__c","nFORCE__Group__c","nFORCE__Has_Visibility_Criteria__c","nFORCE__Is_Default_Context_Child__c","nFORCE__Is_Forward_Navigation_Disabled__c","nFORCE__Is_Hidden__c","nFORCE__Order__c","nFORCE__Parent_Route__c","nFORCE__Primary_Button_Text__c","nFORCE__Question_Group__c","nFORCE__Route__c","nFORCE__Visibility_Criteria__c","nFORCE__lookupKey__c","Route_App_Name__c","Route_Screen__c","nPortal__Is_Portal_Enabled__c","nPortal__OA_Auto_Decision_Required__c","nPortal__OA_Business_Credit_Pull_Required__c","nPortal__OA_Credit_Pull_Required__c"
"a0jWE00000I6vIiYAJ","005al00000RVvFOAA1","false","21216","","{{IF=""A""}}{{COND=""A"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Approval / Loan Committee""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""B""}}{{COND=""B"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Processing""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""C""}}{{COND=""C"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Doc Prep""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""D""}}{{COND=""D"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Closing""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""E""}}{{COND=""E"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Post Closing Review""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""F""}}{{COND=""F"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Booked""}}{{SHOW_ROUTE}}{{ENDIF}}","a0XWE000002gDQW2A2","false","false","false","false","16020.0","a0mWE000003FCwiYAG","","","a0mWE000003FCwiYAG","","a2Dbn000005LhOtEAK","memos","<a href=""/a0sWE000002YqPi"" target=""_blank"">Memos</a>","","","",""
"a0jWE00000I6vIjYAJ","005al00000RVvFOAA1","false","21217","","{{IF=""A""}}{{COND=""A"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Approval / Loan Committee""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""B""}}{{COND=""B"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Processing""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""C""}}{{COND=""C"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Doc Prep""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""D""}}{{COND=""D"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Closing""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""E""}}{{COND=""E"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Post Closing Review""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""F""}}{{COND=""F"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Booked""}}{{SHOW_ROUTE}}{{ENDIF}}","a0XWE000002gDQh2AM","false","false","false","false","16020.0","a0mWE000003FCwiYAG","","","a0mWE000003FCwiYAG","","a2Dbn000005LhOuEAK","memos","<a href=""/a0sWE000002YqPi"" target=""_blank"">Memos</a>","","","",""
"a0jWE00000I6vIkYAJ","005al00000RVvFOAA1","false","21218","","{{IF=""A""}}{{COND=""A"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Approval / Loan Committee""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""B""}}{{COND=""B"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Processing""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""C""}}{{COND=""C"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Doc Prep""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""D""}}{{COND=""D"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Closing""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""E""}}{{COND=""E"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Post Closing Review""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""F""}}{{COND=""F"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Booked""}}{{SHOW_ROUTE}}{{ENDIF}}","a0XWE000002gDQW2A2","false","false","false","false","16000.0","","","","a0mWE000003FCwiYAG","","a2Dbn000005LhOwEAK","memos","<a href=""/a0sWE000002YqPi"" target=""_blank"">Memos</a>","","","",""
"a0jWE00000I6vIlYAJ","005al00000RVvFOAA1","false","21219","","{{IF=""A""}}{{COND=""A"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Approval / Loan Committee""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""B""}}{{COND=""B"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Processing""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""C""}}{{COND=""C"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Doc Prep""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""D""}}{{COND=""D"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Closing""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""E""}}{{COND=""E"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Post Closing Review""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""F""}}{{COND=""F"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Booked""}}{{SHOW_ROUTE}}{{ENDIF}}","a0XWE000002gDQh2AM","false","false","false","false","16000.0","","","","a0mWE000003FCwiYAG","","a2Dbn000005LhOxEAK","memos","<a href=""/a0sWE000002YqPi"" target=""_blank"">Memos</a>","","","",""
"a0jWE00000I6vImYAJ","005al00000RVvFOAA1","false","21220","","","a0XWE000002gDQo2AM","false","false","false","false","1180.0","a0mWE000003FDLoYAO","","","a0mWE000003FCyMYAW","","a2Dbn000005LhOyEAK","loan-narrative","<a href=""/a0sWE000002YqWS"" target=""_blank"">Narrative</a>","","","",""
"a0jWE00000I6vInYAJ","005al00000RVvFOAA1","false","21221","","","a0XWE000002gDQW2A2","false","false","false","false","1180.0","a0mWE000003FDLoYAO","","","a0mWE000003FCyMYAW","","a2Dbn000005LhP0EAK","loan-narrative","<a href=""/a0sWE000002YqWS"" target=""_blank"">Narrative</a>","","","",""
"a0jWE00000I6vIoYAJ","005al00000RVvFOAA1","false","21222","","","a0XWE000002gDQH2A2","false","false","false","true","1.0","a0mWE000003FDO0YAO","","","a0mWE000003FDKQYA4","","a2Dbn000005LhP1EAK","relationship-new-deposit","<a href=""/"" target=""_blank""> </a>","","","",""
"a0jWE00000I6vIpYAJ","005al00000RVvFOAA1","false","21223","","","a0XWE000002gDPr2AM","false","false","false","true","1.0","a0mWE000003FDO0YAO","","","a0mWE000003FDKQYA4","","a2Dbn000005LhP2EAK","relationship-new-deposit","<a href=""/"" target=""_blank""> </a>","","","",""
"a0jWE00000I6vIqYAJ","005al00000RVvFOAA1","false","21224","","","a0XWE000002gDQo2AM","false","false","false","false","9500100.0","","","","a0mWE000003FCxkYAG","","a2Dbn000005LhP3EAK","action-limit-sublimit-takedown","<a href=""/"" target=""_blank""> </a>","","","",""
"a0jWE00000I6vIrYAJ","005al00000RVvFOAA1","false","21225","","","a0XWE000002gDQW2A2","false","false","false","false","9000060.0","","","","a0mWE000003FCxkYAG","","a2Dbn000005LhP5EAK","action-limit-sublimit-takedown","<a href=""/"" target=""_blank""> </a>","","","",""
