"Id","OwnerId","IsDeleted","Name","nFORCE__Answer_Context__c","nFORCE__App__c","nFORCE__Category__c","nFORCE__Default_Collapse_Parent_Navigation__c","nFORCE__Description__c","nFORCE__Is_Archived__c","nFORCE__Is_Questionnaire__c","nFORCE__Layout__c","nFORCE__Parent_Group__c","nFORCE__Screen__c","nFORCE__Taxonomy_Id__c","nFORCE__lookupKey__c","Description_Custom__c","nPortal__Context_Type__c","nPortal__Is_Portal_Enabled__c","ChexSystems_route__c"
"a0XWE000002gDS62AM","005al00000RVcKvAAL","false","Unsecured Retail Loan Online Application (Individual Other Involved)","Loan","unsecured-retail-loan-online-application--individual-other-involved","Online Application","false","","false","false","a0bWE000001bBqMYAU","a0XWE000002gDS82AM","","unsecured-retail-loan-online-application--individual-other-involved","51611603130192527","","","",""
"a0XWE000002gDS72AM","005al00000RVcKvAAL","false","Secured Retail Loan Online Application (Individual Other Involved)","Loan","secured-retail-loan-online-application--individual-other-involved","Online Application","false","","false","false","a0bWE000001bBqMYAU","a0XWE000002gDSJ2A2","","secured-retail-loan-online-application--individual-other-involved","56841602603006905","","","",""
"a0XWE000002gDS82AM","005al00000RVcKvAAL","false","Unsecured Retail Loan Online Application","Loan","unsecured-retail-loan-online-application","Online Application","false","","false","false","a0bWE000001bBqMYAU","","","unsecured-retail-loan-online-application","60411603129896006","","","",""
"a0XWE000002gDTA2A2","005al00000RVcKvAAL","false","MASTER Loan Post Approval","","m-loan-post-approval","","false","","false","false","","","","m-loan-post-approval","66341619447512452","Used in the Loan object's Commercial Workspace flexipage. Displays during Loan Stages during and after Approval.","","",""
"a0XWE000002gDSX2A2","005al00000RVcKvAAL","false","Deposit Account Origination - Baseline","","deposit-account-origination---baseline","","false","","false","false","","","","deposit-account-origination_2023R1","73581701790660761","","","",""
"a0XWE000002gDSE2A2","005al00000RVcKvAAL","false","MASTER-Loan - Retail","","m-retail","","false","","false","false","","","","m-retail","80561560278865441","","","",""
"a0XWE000002gDSF2A2","005al00000RVcKvAAL","false","Small Business Loan Post Approval UI","","small-business-loan-post-approval-ui","","false","The productized route group includes the retail route templates required for a faster configuration and implementation  experience. Users must clone this group as needed for each loan product type as this specific route group is template-only.","false","false","","","","retail-loan-ui","88091663700612060","","","",""
"a0XWE000002gDSG2A2","005al00000RVcKvAAL","false","Retail Loan- Post Approval UI","","retail-loan--post-approval-ui","","false","The productized route group includes the retail route templates required for a faster configuration and implementation  experience. Users must clone this group as needed for each loan product type as this specific route group is template-only.","false","false","","","","retail-loan--post-approval-ui","89621602764612697","","","",""
"a0XWE000002gDSJ2A2","005al00000RVcKvAAL","false","Secured Retail Loan Online Application","Loan","secured-retail-loan-online-application","Online Application","false","","false","false","a0bWE000001bBqMYAU","","","secured-retail-loan-online-application","95231602078250452","","","",""
"a0XWE000002gDTB2A2","005al00000RVcKvAAL","false","MASTER-Treasury Services","","master-treasury-services","","false","","false","false","","","","master-treasury-services","95821567002558847","","","",""
"a0XWE000002gDSK2A2","005al00000RVcKvAAL","false","Retail Loan UI","","retail-loan-ui","","false","The productized route group includes the retail route templates required for a faster configuration and implementation  experience. Users must clone this group as needed for each loan product type as this specific route group is template-only.","false","false","","","","retail-loan-ui","96991600720267323","","","",""
"a0XWE000002gDTG2A2","005al00000RVcKvAAL","false","Session (MASTER) - HELOC Loan","","heloc-loan-grp","","false","","false","false","","","","heloc-loan-grp","NotHelocSpecific-UseforAllRetail","Packaged - This is 1 of 4 packaged Groups used for Retail.  As a Gold Standard, this is the baseline to clone and begin configuration.  The other 3 Session Groups are not maintained at this time (Summer 19)","","",""
"a2Bbn000000KMCUEA4","005bn000003k2JdAAI","","Small Business Loan UI","","","","","","","","","small-business-loan-ui","","false","The productized route group includes the retail route templates required for a faster configuration and implementation  experience. Users must clone this group as needed for each loan product type as this specific route group is template-only.","false","false","","","","retail-loan-ui","58141640791244050","","","false",""
"a0XWE000002gDTC2A2","005al00000RVcKvAAL","false","Deal Management Workspace: Loan","","dmw-group-loan","","false","","false","false","","","","","dmwui-42926525468","","","",""
"a0XWE000002gDTD2A2","005al00000RVcKvAAL","false","Deal Management Workspace: Treasury","","dmw-group-treasury","","false","","false","false","","","","","dmwui-42947458925","","","",""
"a0XWE000002gDTF2A2","005al00000RVcKvAAL","false","New Relationship","","new-relationship","","false","","false","false","","","","new-relationship","new-relationship","","","",""
"a0XWE000002gDTH2A2","005al00000RVcKvAAL","false","Relationship Loans Treegrid","","relationship-loans-treegrid","","false","","false","false","","","","relationship-loans-treegrid","rcaui-42318683902","","","",""
"a0XWE000002gDSU2A2","005al00000RVvFOAA1","false","Small Business Loan - Business - KYC","Loan","small-business-loan-bus-kyc","Online Application","false","","false","true","","","","","small-business-loan-bus-kyc","","","",""
"a0XWE000002gDSV2A2","005al00000RVcKvAAL","false","Small Business Loan Application (Individual Other Involved)","","small-business-loan-individual-online-application-other-involved","Online Application","false","","false","false","","a0XWE000002gDRo2AM","","portal-sbl-ind-other","small-business-loan-individual-online-application-other-involved","","","",""
