"Id","OwnerId","IsDeleted","Name","nFORCE__Address_Part__c","nFORCE__Alternate_Label__c","nFORCE__Autocomplete_Attribute_Value__c","nFORCE__Conditional_Display_Criteria__c","nFORCE__Default_Value__c","nFORCE__Defined_Picklist_Values__c","nFORCE__Field_Hint__c","nFORCE__Field_Name__c","nFORCE__Filter_Criteria__c","nFORCE__Filter_Display_Name__c","nFORCE__Format_Description__c","nFORCE__Format_Enabled__c","nFORCE__Format_Expression__c","nFORCE__Format_Message__c","nFORCE__Is_Active__c","nFORCE__Is_Conditional_Lookup__c","nFORCE__Is_Editable__c","nFORCE__Is_Filter_Active__c","nFORCE__Is_Header__c","nFORCE__Is_Hidden__c","nFORCE__Is_Important__c","nFORCE__Is_Read_Only__c","nFORCE__Is_Required__c","nFORCE__Output_Expression__c","nFORCE__Route__c","nFORCE__SLDS_Column_Size__c","nFORCE__Screen_Section__c","nFORCE__Tooltip_Contents__c","nFORCE__Tooltip_Enabled__c","nFORCE__Tooltip_Text__c","nFORCE__lookupKey__c","nFORCE__sObject_Name__c","nPortal__Picklist_Buttons_Enabled__c"
"a0SWE000003CHEu2AO","005al00000RVvFOAA1","false","FC-002127","","","","","","","","Funding_Amount__c","","","","false","","","false","false","false","false","false","true","false","false","true","","a0mWE000003FDAwYAO","","","","false","","42463935261314287","LLC_BI__Funding_Method__c",""
"a0SWE000003Cgtf2AC","005al00000RVvFOAA1","false","FC-002542","","","","","","","","cm_Is_Existing_Customer__c","","","","false","","","false","false","false","false","false","true","false","false","false","","","","","","false","","42471941799949685","Contact",""
"a0SWE000003CHEv2AO","005al00000RVvFOAA1","false","FC-002128","","Employer Identification Number (EIN)","","","","","","LLC_BI__Tax_Identification_Number__c","","","","false","","","false","false","false","false","false","false","false","false","false","","a0mWE000003FDAaYAO","1.0","","","false","","42472564272756073","Account",""
"a0SWE000003CHEw2AO","005al00000RVcKvAAL","false","FC-002129","","","","","","","","cm_Is_Existing_Customer__c","","","","false","","","false","false","false","false","false","true","false","false","false","","a0mWE000003FDCHYA4","","","","false","","42481523342647172","Contact",""
"a0SWE000003CHEy2AO","005al00000RVcKvAAL","false","FC-002131","","","","","","","","cm_Passport_Number__c","","","","false","","","false","false","false","false","false","false","false","false","false","","a0mWE000003FD9pYAG","2.0","","","false","","42489099032261627","Contact",""
"a0SWE000003CHEz2AO","005al00000RVcKvAAL","false","FC-002132","","What industry is your business? (ie: Photography)","","","","","","Naics_lookup_cm__c","","","","false","","","false","false","false","false","false","false","false","false","false","","a0mWE000003FDBIYA4","","","","false","","42495671498959677","Account",""
"a0SWE000003CHF02AO","005al00000RVvFOAA1","false","FC-002133","","","","","","","","cm_Is_Existing_Customer__c","","","","false","","","false","false","false","false","false","true","false","false","false","","a0mWE000003FDAfYAO","","","","false","","42497079715605269","Contact",""
"a0SWE000003CHF12AO","005al00000RVcKvAAL","false","FC-002134","","Number of employees","","","","","","NumberOfEmployees","","","","false","","","false","false","false","false","false","false","false","false","false","","a0mWE000003FDBIYA4","","","","false","","42504945345575070","Account",""
"a0SWE000003CHF22AO","005al00000RVcKvAAL","false","FC-002135","","","","","","","","cs_Personal_or_Business_Account_ACH_Int__c","","","","false","","","false","false","false","false","false","false","false","false","false","","a0mWE000003FD9vYAG","2.0","","","false","","42505016652479823","LLC_BI__Deposit__c",""
"a0SWE000003Cgsz2AC","005al00000RVcKvAAL","false","FC-002500","","","","","","","","LLC_BI__Participation_Amount__c","Test Field Exclusion F1------ second","","","false","","","false","false","false","false","false","false","false","true","false","","","","a0qWE00000USgnFYAT","Test Field Exclusion F1 ----second","false","","42514233700262164","LLC_BI__Participation__c",""
