"Id","IsDeleted","Name","nFORCE__Screen_Section__c","nFORCE__Display_Order__c","nFORCE__Field_Set_Key__c","nFORCE__Filter_Criteria__c","nFORCE__Layout__c","nFORCE__Limit__c","nFORCE__Offset_By_Limit__c","nFORCE__Parent_Configuration__c","nFORCE__Parent_Relationship_Name__c","nFORCE__Section_Header__c","nFORCE__Sort_Criteria__c","nFORCE__Unique__c","nFORCE__lookupKey__c","nFORCE__sObject_Type__c"
"a0vWE00000FWt4cYAD","false","SC-000022159","a0qWE00000USiWLYA1","1.01","SBL_Approver_2_Details","","a0bWE000001bbINYAY","0.0","false","","","","","false","04111640791248845","LLC_BI__Loan__c"
"a0vWE00000FSMDgYAP","false","SC-000020167","a0qWE00000UNVj8YAH","0.0","nRetail__Underwriting_Overview","","","","false","","","Underwriting_Overview","","false","04461663700626418","LLC_BI__Loan__c"
"a0vWE00000FSMW7YAP","false","SC-000021310","a0qWE00000UNVzjYAH","1.01","","","","","false","","","Risk Rating","","false","04551619447516057","LLC_BI__Loan__c"
"a0vWE00000FSMDhYAP","false","SC-000020168","a0qWE00000UNVlrYAH","1.01","nPortal__SBL_Others_Involved_Multi_Record","","","","false","","","","","false","04571666029078196","Contact"
"a0vWE00000FWt4UYAT","false","SC-000022151","a0qWE00000USgnlYAD","0.0","LLC_BI__Add_Income","","","","false","","","Add Income","","false","05061640791248842","LLC_BI__Income__c"
"a0vWE00000FS1qIYAT","false","SC-000021337","a0qWE00000UNVemYAH","2.0","LLC_BI__UI_HMDA_Demographic_Questions","","","","false","a0vWE00000FSMD1YAP","LLC_BI__Legal_Entities__r","HMDA","","false","05841620937672802","LLC_BI__Legal_Entities__c"
"a0vWE00000FSMDjYAP","false","SC-000020170","a0qWE00000UNVjJYAX","1.01","SBL_Eligibility_Loan","","","","false","","","","","false","05921666029078200","LLC_BI__Loan__c"
"a0vWE00000FWswwYAD","false","SC-000022277","a0qWE00000UNW3YYAX","3.01","LLC_BI__UI_HMDA_Entity_Compliance_2018","","","","false","a0vWE00000FSN3OYAX","LLC_BI__Entity_Compliances__r","Entity Compliance","","false","06051619447516050","LLC_BI__Entity_Compliance__c"
"a0vWE00000FWt4bYAD","false","SC-000022158","a0qWE00000USiWKYA1","1.01","SBL_Exposure_Details","","a0bWE000001bbILYAY","0.0","false","","","","","false","06461640791248844","LLC_BI__Loan__c"
"a0vWE00000FSMH4YAP","false","SC-000020377","a0qWE00000UNVnWYAX","1.01","","","a0bWE000001bbKKYAY","0.0","false","","","","","false","07901701790671951","LLC_BI__Deposit__c"
