"Id","IsDeleted","Name","nFORCE__Screen__c","nFORCE__Break_Page_After__c","nFORCE__Break_Page_Before__c","nFORCE__Default_Editable__c","nFORCE__Default_Rendered__c","nFORCE__Disable_Print__c","nFORCE__Display_Order__c","nFORCE__Display_Toggle_Effect__c","nFORCE__Display_Toggle_Header__c","nFORCE__Display_Toggle_Link__c","nFORCE__Headless__c","nFORCE__Inactive__c","nFORCE__Instructions_Text__c","nFORCE__Is_Editable__c","nFORCE__Layout__c","nFORCE__Screen_View__c","nFORCE__Section_Resource__c","nFORCE__Widget__c","nFORCE__lookupKey__c","nFORCE__sObject_Type__c","nFORCE__Disable_Read_Only_View__c","nFORCE__Display_Input_Address_Component__c","nFORCE__Conditional_Display_Criteria__c","nFORCE__Parent_Screen_Section__c","nFORCE__Number_of_Columns__c","Custom_Code_in_Screen_Section__c","nFORCE__Are_Columns_Sortable__c","nFORCE__Auto_Save__c","nFORCE__Validation_Service__c","nFORCE__Optional_Configuration__c","nPortal__Portal_Header_Text__c","nPortal__Portal_Subheader_Text__c","LastViewedDate","LastReferencedDate"
"a2Fbn000000C3jOEAS","","Booked Information","a2Gbn000000hcgFEAQ","false","false","false","true","false","4.0","slide","true","false","false","false","","false","","","MappedSObjectScreenResource","","04981619447515175","LLC_BI__Loan__c","false","false","","","","","false","false","","","","","",""
"a2Fbn000000C3jWEAS","","HMDA","a2Gbn000000hcgJEAQ","false","false","false","true","false","0.0","slide","true","false","false","false","","true","","","MappedSObjectHierarchyScreenResource","","05221619447515178","LLC_BI__Loan__c","false","false","","","","","false","false","","","","","",""
"a2Fbn000000CzGdEAK","","Enhanced Fee Loan Aggregate Summary","a2Gbn000000kG3eEAE","false","false","true","true","false","20.0","slide","true","false","false","false","","true","","","MappedSObjectScreenResource","","05391663700625419","LLC_BI__Fee_Loan_Aggregate__c","false","false","","","","","false","false","","","","","",""
"a2Fbn000000CzGrEAK","","Adverse Actions/Counter Offers","a2Gbn000000kG3mEAE","false","false","true","false","false","5.0","slide","true","false","false","false","","true","","a2Ibn000000NRBIEA4","MappedSObjectHierarchyScreenResource","","07031663700625425","LLC_BI__Loan__c","false","false","","","","","false","false","","","","","",""
"a2Fbn000000C3kEEAS","","Tasks","a2Gbn000000hcgrEAA","false","false","false","true","false","1.0","slide","true","false","false","true","","true","","","MappedSObjectHierarchyScreenResource","","07461620937672167","LLC_BI__Loan__c","false","false","","","","","false","false","","","","","",""
"a2Fbn000000C3jMEAS","","Loan Team Members","a2Gbn000000hcgDEAQ","false","false","false","true","false","0.0","slide","true","false","false","false","","false","","","MappedSObjectHierarchyScreenResource","","08131619447515174","LLC_BI__Loan__c","false","false","","","","","false","false","","","","","",""
"a2Fbn000000C3WvEAK","","Add Debt","a2Gbn000000hcdNEAQ","false","false","true","true","false","3.0","slide","true","false","false","false","","true","","","MappedSObjectScreenResource","","08171560278867254","LLC_BI__Debt__c","false","false","","","","","false","false","","","","","",""
"a2Fbn000000C3hxEAC","","Structure Info","a2Gbn000000hcflEAA","false","false","true","true","false","3.0","slide","true","false","false","false","","true","","a2Ibn000000M697EAC","MappedSObjectScreenResource","","08301585604341048","LLC_BI__Loan__c","false","false","","","","","false","false","","","","","",""
"a2Fbn000000CzH4EAK","","SBL Eligibility Loan","a2Gbn000000kG3pEAE","false","false","false","false","false","0.0","slide","true","false","false","false","","true","","","MappedSObjectListScreenResource","","08711666029075344","LLC_BI__Loan__c","false","false","","","","","false","false","","","","","",""
"a2Fbn000000C3ciEAC","","HMDA","a2Gbn000000hcfVEAQ","false","false","true","true","false","4.0","slide","true","false","false","false","","true","","","MappedSObjectHierarchyScreenResource","","09161585604341050","LLC_BI__Loan__c","false","false","","","","","false","false","","","","","",""
"a2Fbn000000C3X7EAK","","Borrowing Structure","a2Gbn000000hcdLEAQ","false","false","false","true","false","0.0","slide","true","false","false","false","","false","","","MappedSObjectHierarchyScreenResource","","09601560278867311","LLC_BI__Loan__c","false","false","","","","","false","false","","","","","",""
