"Id","OwnerId","IsDeleted","Name","LLC_BI__Description__c","LLC_BI__End_Date__c","LLC_BI__Has_Period_Grouping__c","LLC_BI__Is_Consolidation__c","LLC_BI__Is_Disabled__c","LLC_BI__Is_Template__c","LLC_BI__Migration_Target__c","LLC_BI__Object_API_Name__c","LLC_BI__Selected_Scale__c","LLC_BI__Show_Footnotes__c","LLC_BI__Source_Template__c","LLC_BI__Start_Date__c","LLC_BI__Version__c","LLC_BI__lookupKey__c"
"a5VWD000000HAeH2AW","005al00000RVcKvAAL","false","a5VWD000000HAeH","","","false","false","false","true","","","m","true","","","","4.718685302280700"
"a5VWD000000HBCp2AO","005al00000RVcKvAAL","false","a5VWD000000HBCp","","","false","false","false","true","","","m","true","","","","42001357847970269"
"a5VWD000000HAej2AG","005al00000RVcKvAAL","false","a5VWD000000HAej","","","false","false","false","true","","","mm","false","","","","42001525073458579"
"a5VWD000000HAYP2A4","005al00000RVcKvAAL","false","a5VWD000000HAYP","","","false","false","false","true","","","mm","false","","","","42001525242174807"
"a5VWD000000HB5a2AG","005al00000RVcKvAAL","false","a5VWD000000HB5a","","","false","false","false","true","","","m","false","","","","42001786124510752"
"a5VWD000000HAYg2AO","005al00000RVcKvAAL","false","a5VWD000000HAYg","","","false","false","false","true","","","m","false","","","","42001909727574854"
"a5VWD000000HAwu2AG","005al00000RVcKvAAL","false","a5VWD000000HAwu","","","false","false","false","true","","","$","true","","","","42001962773954971"
"a5VWD000000HB9L2AW","005al00000RVcKvAAL","false","a5VWD000000HB9L","","","false","false","false","true","","","mm","true","","","","42002000896602068"
"a5VWD000000HAYc2AO","005al00000RVcKvAAL","false","a5VWD000000HAYc","","","false","false","false","true","","","mm","true","","","","42002552184485034"
"a5VWD000000HBGm2AO","005al00000RVcKvAAL","false","a5VWD000000HBGm","","","false","false","false","true","","","$","false","","","","42002680411025930"
"a5VWD000000HAq72AG","005al00000RVcKvAAL","false","a5VWD000000HAq7","","","false","false","false","true","","","mm","false","","","","42002808493032982"
"a5VWD000000HAjr2AG","005al00000RVcKvAAL","false","a5VWD000000HAjr","","","false","false","false","true","","","m","false","","","","42003387848554530"
"a5VWD000000HBJO2A4","005al00000RVcKvAAL","false","a5VWD000000HBJO","","","false","false","false","true","","","mm","true","","","","42003461336903359"
"a5VWD000000HAY02AO","005al00000RVcKvAAL","false","a5VWD000000HAY0","","","false","false","false","true","","","$","false","","","","42003566867669205"
"a5VWD000000HAoZ2AW","005al00000RVcKvAAL","false","a5VWD000000HAoZ","","","false","false","false","true","","","$","true","","","","42005492098498955"
"a5VWD000000HAlJ2AW","005al00000RVcKvAAL","false","a5VWD000000HAlJ","","","false","false","false","true","","","$","false","","","","42005522755177242"
"a5VWD000000HBDk2AO","005al00000RVcKvAAL","false","a5VWD000000HBDk","","","false","false","false","true","","","$","true","","","","42005738623608284"
"a5VWD000000HBGf2AO","005al00000RVcKvAAL","false","a5VWD000000HBGf","","","false","false","false","true","","","$","false","","","","42006149514111357"
"a5VWD000000HBG72AO","005al00000RVcKvAAL","false","a5VWD000000HBG7","","","false","false","false","true","","","$","true","","","","42006404752347597"
"a5VWD000000HB5B2AW","005al00000RVcKvAAL","false","a5VWD000000HB5B","","","false","false","false","true","","","$","false","","","","42007175017437763"
"a5VWD000000HB682AG","005al00000RVcKvAAL","false","a5VWD000000HB68","","","false","false","false","true","","","mm","true","","","","42007899496420797"
"a5VWD000000HB2I2AW","005al00000RVcKvAAL","false","a5VWD000000HB2I","","","false","false","false","true","","","m","false","","","","42008087905196271"
"a5VWD000000HBCu2AO","005al00000RVcKvAAL","false","a5VWD000000HBCu","","","false","false","false","true","","","m","true","","","","42008220904435188"
