"Id","OwnerId","IsDeleted","Name","nFORCE__Address_Part__c","nFORCE__Alternate_Label__c","nFORCE__Autocomplete_Attribute_Value__c","nFORCE__Conditional_Display_Criteria__c","nFORCE__Default_Value__c","nFORCE__Defined_Picklist_Values__c","nFORCE__Field_Hint__c","nFORCE__Field_Name__c","nFORCE__Filter_Criteria__c","nFORCE__Filter_Display_Name__c","nFORCE__Format_Description__c","nFORCE__Format_Enabled__c","nFORCE__Format_Expression__c","nFORCE__Format_Message__c","nFORCE__Is_Active__c","nFORCE__Is_Conditional_Lookup__c","nFORCE__Is_Editable__c","nFORCE__Is_Filter_Active__c","nFORCE__Is_Header__c","nFORCE__Is_Hidden__c","nFORCE__Is_Important__c","nFORCE__Is_Read_Only__c","nFORCE__Is_Required__c","nFORCE__Output_Expression__c","nFORCE__SLDS_Column_Size__c","nFORCE__Screen_Section__c","nFORCE__Tooltip_Contents__c","nFORCE__Tooltip_Enabled__c","nFORCE__Tooltip_Text__c","nFORCE__lookupKey__c","nFORCE__sObject_Name__c"
"a0SWD000002KEyk2AG","005al00000RVcKvAAL","false","FC-002538","","","","","","","","Name","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000JuTDYYA3","","false","","23331575852542652","Daily_Limit_Change__c"
"a0SWD000002KEyl2AG","005al00000RVcKvAAL","false","FC-002539","","","","","","","","Status__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000JuTe5YAF","","false","","23671575852928274","Daily_Limit_Change__c"
"a0SWD000002KEnG2AW","005al00000RVcKvAAL","false","FC-002503","","","","","","","","Name","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000JHOQlYAP","","false","","239625719236459201","LLC_BI__Loan__r"
"a0SWD000002KEym2AG","005al00000RVcKvAAL","false","FC-002540","","","","","","","","Name","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000JuTe5YAF","","false","","28101575852928274","Daily_Limit_Change__c"
"a0SWD000002KEyn2AG","005al00000RVcKvAAL","false","FC-002541","","","","","","","","Current_Previous_Daily_Limit__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000JuTELYA3","","false","","28201576590314418","Daily_Limit_Change__c"
"a0SWD000002KEyo2AG","005al00000RVcKvAAL","false","FC-002542","","","","","","","","Name","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000JuTELYA3","","false","","28731576590314417","Daily_Limit_Change__c"
"a0SWD000002KF4z2AG","005al00000RVcKvAAL","false","FC-002649","","","","","","","","Referral_Company__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000JHNAlYAP","","false","","3.47623E+13","LLC_BI__Loan__c"
"a0SWD000002KEyp2AG","005al00000RVcKvAAL","false","FC-002543","","","","","","","","Status__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000JuTcLYAV","","false","","30971575852395874","Daily_Limit_Change__c"
"a0SWD000002Fmjz2AC","005al00000RVcKvAAL","false","FC-002366","","","","","","","","Referral_Company__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000JHNAlYAP","","false","","34762306576239","LLC_BI__Loan__c"
"a0SWD000002FmWD2A0","005al00000RVcKvAAL","false","FC-001512","","SourceLabel","","SourceCDC","","","SourceFieldHint","nFORCE__Field_Name__c","","","","false","","SourceFormatMessage","false","false","false","false","false","true","false","false","false","","","a0qWD00000JHNMfYAP","","false","","368ac54f-72bd-5c87-41c9-43d0c2c04e31","nFORCE__Field_Configuration__c"
"a0SWD000002Fmk02AC","005al00000RVcKvAAL","false","FC-002367","","","","","","","","cm_Referring_Vertical__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000JHNDsYAP","","false","","42005809039309821","LLC_BI__Loan__c"
