"Id","IsDeleted","Name","nFORCE__Rule_Engine_Context__c","nFORCE__Description__c","nFORCE__lookupKey__c"
"a0Vam00000Q5Rl0EAF","false","WK Esign","a0Wam000003bbtPEAQ","Used to Generate WK Docs under the context of another user","42053228319029560"
"a0Vam00000Q5RkzEAF","false","Retrieve Pricing Options Retail Pricing","a0Wam000003bbtKEAQ","Create the pricing option(s) based on information in the Loan specific to Retail Pricing.","42141213278332970"
"a0Vam00000Q5Rl1EAF","false","Application Eligibility","a0Wam000003bbtQEAQ","","42707121808597513"
"a0Vam00000Q5RkrEAF","false","Credit Card Online Application","a0Wam000003bbtJEAQ","","a0Vam00000Q5RkrEAF"
"a0Vam00000Q5RksEAF","false","Retrieve Pricing Options","a0Wam000003bbtKEAQ","Create the pricing option(s) based on information in the Loan.","a0Vam00000Q5RksEAF"
"a0Vam00000Q5RktEAF","false","Loan Auto-Decision","a0Wam000003bbtLEAQ","The Loan Auto-Decision Rule context runs when the Auto-Decision Action item is selected from a loan","a0Vam00000Q5RktEAF"
"a0Vam00000Q5RkuEAF","false","Loan Auto-Policy Exception","a0Wam000003bbtMEAQ","The Loan Auto-Policy Exception context runs when the Auto-Policy Exception Action item is selected from a loan","a0Vam00000Q5RkuEAF"
"a0Vam00000Q5RkvEAF","false","CLA Inspection PlaceHolder Creation","a0Wam000003bbtNEAQ","The CLA Inspection PlaceHolder Creation rule runs when a new Valuation object is created in order to create one or more Document Manager placeholders.","a0Vam00000Q5RkvEAF"
"a0Vam00000Q5RkwEAF","false","Filter Pricing Options by DTI","a0Wam000003bbtKEAQ","Filters the pricing options based on the current max DTI","a0Vam00000Q5RkwEAF"
"a0Vam00000Q5RkxEAF","false","Proposed Pricing Option","a0Wam000003bbtKEAQ","Create the proposed pricing option based on information in the loan.","a0Vam00000Q5RkxEAF"
"a0Vam00000Q5RkyEAF","false","Credit Request Preprocessing","a0Wam000003bbtOEAQ","This is run before creating a credit request to determine the parameters for the request","a0Vam00000Q5RkyEAF"
