"Id","IsDeleted","Name","LLC_BI__Classification__c","LLC_BI__Spread_Statement_Total_Group__c","LLC_BI__lookupKey__c"
"a3gbn000000K8rbAAC","","a3gbn000000K8wC","a3Ybn0000004xMxEAI","a16bn00000108JCAAY","bd6e404c-68c7-424b-8b45-d569815b4e37"
"a3gbn000000K8mEAAS","","a3gbn000000K8vm","a3Ybn0000004xKaEAI","a16bn00000108IgAAI","e1a7ac1b-ec15-44b8-93f8-ad58cceeaf80"
"a3gbn000000K8taAAC","","farmincome","a3Ybn0000004xMAEAY","a16bn00000108cVAAQ","farmincomelk"
"a3gbn000000K8tWAAS","","grossprofitschc","a3Ybn0000004xM3EAI","a16bn00000108cMAAQ","grossprofitschclk"
"a3gbn000000K8tRAAS","","netcashflow","a3Ybn0000004xFHEAY","a16bn00000108cBAAQ","netcashflowlk"
"a3gbn000000K8tZAAS","","netincomesche","a3Ybn0000004xM9EAI","a16bn00000108cRAAQ","netincomeschelk"
"a3gbn000000K8tKAAS","","pfsadjustednetworth","a3Ybn0000004xLxEAI","a16bn00000108c2AAA","pfsadjustednetworthlk"
"a3gbn000000K8tLAAS","","pfsstatednetworth","a3Ybn0000004xLvEAI","a16bn00000108c3AAA","pfsstatednetworthlk"
"a3gbn000000K8tHAAS","","totalassets","a3Ybn0000004xKmEAI","a16bn00000108c1AAA","pfstotalassets"
"a3gbn000000K8tVAAS","","schccashflow","a3Ybn0000004xM2EAI","a16bn00000108cLAAQ","schccashflowlk"
"a3gbn000000K8tTAAS","","schcgrossincome","a3Ybn0000004xM4EAI","a16bn00000108cIAAQ","schcgrossincomelk"
"a3gbn000000K8tQAAS","","schcnetincome","a3Ybn0000004xM6EAI","a16bn00000108cJAAQ","schcnetincomelk"
"a3gbn000000K8tUAAS","","schctotalexp","a3Ybn0000004xM5EAI","a16bn00000108cKAAQ","schctotalexplk"
"a3gbn000000K8tMAAS","","schecf","a3Ybn0000004xLyEAI","a16bn00000108c7AAA","schecflk"
"a3gbn000000K8tYAAS","","schetotalexpenses","a3Ybn0000004xM8EAI","a16bn00000108cQAAQ","schetotalexpenseslk"
"a3gbn000000K8tXAAS","","schetotalincome","a3Ybn0000004xM7EAI","a16bn00000108cPAAQ","schetotalincomelk"
"a3gbn000000K8tOAAS","","schfcashflow","a3Ybn0000004xLzEAI","a16bn00000108c9AAA","schfcashflowlk"
"a3gbn000000K8tbAAC","","schfnetincome","a3Ybn0000004xMCEAY","a16bn00000108cWAAQ","schfnetincomelk"
"a3gbn000000K8tcAAC","","schftotalexp","a3Ybn0000004xMBEAY","a16bn00000108cXAAQ","schftotalexplk"
"a3gbn000000K8tPAAS","","tcfgrosscf","a3Ybn0000004xM0EAI","a16bn00000108cAAAQ","tcfgrosscflk"
"a3gbn000000K8tNAAS","","totalds","a3Ybn0000004xM1EAI","a16bn00000108c8AAA","totaldslk"
"a3gbn000000K8tSAAS","","totalschccashflow","a3Ybn0000004xLwEAI","a16bn00000108cCAAQ","totalschccashflowlk"
