"Id","OwnerId","IsDeleted","Name","LastViewedDate","LastReferencedDate","LLC_BI__Category__c","LLC_BI__lookupKey__c"
"a1fWE000002UdOAYA0","005al00000RVvFOAA1","false","Ending Value - Calculated - Real Estate","","","Accounting Grid (AG Owner Operator)","EndingValue_Calculated_RealEstate_ACCTGRD"
"a1fWE000002UdOBYA0","005al00000RVvFOAA1","false","Ending Value - Reported - Breeding Livestock","","","Accounting Grid (AG Owner Operator)","EndingValue_Reported_BreedingLivestock_ACCTGRD"
"a1fWE000002UdOCYA0","005al00000RVvFOAA1","false","Ending Value - Reported - Machinery","","","Accounting Grid (AG Owner Operator)","EndingValue_Reported_Machinery_ACCTGRD"
"a1fWE000002UdODYA0","005al00000RVvFOAA1","false","Ending Value - Reported - Other Capital Assets","","","Accounting Grid (AG Owner Operator)","EndingValue_Reported_OtherCapitalAssets_ACCTGRD"
"a1fWE000002UdOEYA0","005al00000RVvFOAA1","false","Ending Value - Reported - Real Estate","","","Accounting Grid (AG Owner Operator)","EndingValue_Reported_RealEstate_ACCTGRD"
"a1fWE000002Sqy5YAC","005al00000RVvFOAA1","false","Estimated Tax Penalty","","","Accounting Grid (Income Statement)","Estimated_Tax_Penalty_ACCTGRD"
"a1fWE000002Sqy6YAC","005al00000RVvFOAA1","false","Extraordinary Gain","","","Accounting Grid (Income Statement)","Extraordinary_Gain_ACCTGRD"
"a1fWE000002Sqy7YAC","005al00000RVvFOAA1","false","Extraordinary Loss","","","Accounting Grid (Income Statement)","Extraordinary_Loss_ACCTGRD"
"a1fWE000002Sqy9YAC","005al00000RVvFOAA1","false","Farm Size - Acres","","","Accounting Grid (AG Owner Operator)","Farm_Size_Acres_ACCTGRD"
"a1fWE000002SqyAYAS","005al00000RVvFOAA1","false","Feed Expenses","","","Accounting Grid (AG Other)","Feed_Expenses_ACCTGRD"
"a1fWE000002SqyBYAS","005al00000RVvFOAA1","false","Finished Goods","","","Accounting Grid (Balance Sheet)","Finished_Goods_ACCTGRD"
"a1fWE000002SqyCYAS","005al00000RVvFOAA1","false","Fixed Charge Coverage","","","Accounting Grid (Ratios/Stats)","Fixed_Charge_Coverage_ACCTGRD"
"a1fWE000002SqyEYAS","005al00000RVvFOAA1","false","Furniture & Fixtures","","","Accounting Grid (Balance Sheet)","Furniture_Fixtures_ACCTGRD"
"a1fWE000002SqyFYAS","005al00000RVvFOAA1","false","Gain on Asset Sale","","","Accounting Grid (Income Statement)","Gain_on_Asset_Sale_ACCTGRD"
"a1fWE000002SqyGYAS","005al00000RVvFOAA1","false","General & Admin Expense","","","Accounting Grid (Income Statement)","General_Admin_Expense_ACCTGRD"
"a1fWE000002SqyHYAS","005al00000RVvFOAA1","false","General And Administrative","","","NOI Statement","General_And_Administrative"
"a1fWE000002UdOFYA0","005al00000RVvFOAA1","false","Gifts, Inheritance, or Foregiveness of Debt","","","Accounting Grid (AG Owner Operator)","Gifts_Inheritance_ForegivenessofDebt_ACCTGRD"
"a1fWE000002SqyIYAS","005al00000RVvFOAA1","false","Government Payments","","","Accounting Grid (Cash Accounting)","Government_Payments_ACCTGRD"
"a1fWE000002SqyJYAS","005al00000RVvFOAA1","false","Grain Inventory","","","Accounting Grid (AG Owner Operator)","Grain_Inventory_ACCTGRD"
"a1fWE000002SqyKYAS","005al00000RVvFOAA1","false","Grain Inventory Manual Adjust","","","Accounting Grid (AG Owner Operator)","Grain_Inventory_Manual_Adjust_ACCTGRD"
"a1fWE000002LEfgYAG","005al00000RVvFOAA1","false","Grain Inventory Total Adjust","","","Accounting Grid (AG Owner Operator)","Grain_Inventory_Total_Adjust_ACCTGRD"
"a1fWE000002LEfhYAG","005al00000RVvFOAA1","false","Gross Fixed Assets","","","Accounting Grid (Balance Sheet)","Gross_Fixed_Assets_ACCTGRD"
"a1fWE000002SqyLYAS","005al00000RVvFOAA1","false","Gross Margin","","","Accounting Grid (Ratios/Stats)","Gross_Margin_ACCTGRD"
"a1fWE000002LEesYAG","005al00000RVvFOAA1","false","Gross Profit","","","Accounting Grid (Income Statement)","Gross_Profit_ACCTGRD"
