"Id","IsDeleted","Name","nFORCE__Screen_Section__c","nFORCE__Display_Order__c","nFORCE__Field_Set_Key__c","nFORCE__Filter_Criteria__c","nFORCE__Layout__c","nFORCE__Limit__c","nFORCE__Offset_By_Limit__c","nFORCE__Parent_Configuration__c","nFORCE__Parent_Relationship_Name__c","nFORCE__Section_Header__c","nFORCE__Sort_Criteria__c","nFORCE__Unique__c","nFORCE__lookupKey__c","nFORCE__sObject_Type__c"
"a0vWD00000CzRT8YAN","false","SC-000022122","a0qWD00000JHNRcYAP","3.01","LLC_BI__UI_HMDA_Entity_Compliance_2018","","","","false","a0vWD00000CzV0tYAF","LLC_BI__Entity_Compliances__r","Entity Compliance","","false","06051619447516050","LLC_BI__Entity_Compliance__c"
"a0vWD00000CzUbGYAV","false","SC-000020219","a0qWD00000JHN9VYAX","0.0","LLC_BI__Add_Income","","","","false","","","Add Income","","false","06621600720268231","LLC_BI__Income__c"
"a0vWD00000CzUbHYAV","false","SC-000020220","a0qWD00000JHNC5YAP","1.01","","","","","false","","","Loan Relationship","","false","07361585311472189","LLC_BI__Loan__c"
"a0vWD00000CzUfdYAF","false","SC-000020490","a0qWD00000JHNEbYAP","1.01","","","a0bWD000001HHCZYA4","0.0","false","","","","","false","07691B0A7C6F4D2BA75D060F435A6C7D","LLC_BI__Loan__c"
"a0vWD00000CzUeaYAF","false","SC-000020425","a0qWD00000JHNDCYA5","1.01","","","a0bWD000001HG0FYAW","0.0","false","","","","","false","07901701790671951","LLC_BI__Deposit__c"
"a0vWD00000CzUbIYAV","false","SC-000020221","a0qWD00000JHNBeYAP","1.01","RequiredLoanFieldsToCreateRateOrPayment","","","0.0","false","","","","","false","08241585311472167","LLC_BI__Loan__c"
"a0vWD00000CzUu5YAF","false","SC-000021386","a0qWD00000JHNRZYA5","0.0","LLC_BI__Payment_Component_Extended_Fields","","","","false","","","","","false","08271619447516047","LLC_BI__Pricing_Payment_Component__c"
"a0vWD00000CzUbJYAV","false","SC-000020222","a0qWD00000JHNBmYAP","0.0","LLC_BI__UI_CRA_Property_Location","","","","false","","","Property Location","","false","08661585311472160","LLC_BI__Loan__c"
"a0vWD00000CzUbKYAV","false","SC-000020223","a0qWD00000JHNB5YAP","1.01","SBL_Approver_2_Details","","a0bWD000001HFzvYAG","0.0","false","","","","","false","08911663700626421","LLC_BI__Loan__c"
"a0vWD00000CzUTjYAN","false","SC-000019752","a0qWD00000JHN5VYAX","1.0","","","","","false","","","Change Memo","","false","08981560278867804","LLC_BI__Loan__c"
"a0vWD00000CzUodYAF","false","SC-000021048","a0qWD00000JHNMkYAP","1.01","","","","","false","","","Loan Compliance","","false","09111619447516050","LLC_BI__Loan__c"
"a0vWD00000CzUu6YAF","false","SC-000021387","a0qWD00000JHNMaYAP","1.01","UI_Loan_Compliance_Certifications","","a0bWD000001HG0QYAW","0.0","false","","","","","false","09371619447516043","LLC_BI__Loan__c"
"a0vWD00000CzV0WYAV","false","SC-000021755","a0qWD00000JHNMzYAP","2.0","LLC_BI__UI_HMDA_Demographic_Questions","","","","false","a0vWD00000CzUpOYAV","LLC_BI__Legal_Entities__r","HMDA","","false","09401615577847196","LLC_BI__Legal_Entities__c"
"a0vWD00000CzUbLYAV","false","SC-000020224","a0qWD00000JHN8qYAH","0.0","nRetail__Asset_Schedule","","","","false","","","Asset Schedule","","false","09511602764632531","nRetail__Asset__c"
"a0vWD00000CzUz9YAF","false","SC-000021670","a0qWD00000JHNEbYAP","2.01","UI_Fees","","a0bWD000001HHF7YAO","0.0","false","a0vWD00000CzUfdYAF","LLC_BI__Fees__r","","","false","09522E18763640678C21721310133B59","LLC_BI__Fee__c"
"a0vWD00000CzUfeYAF","false","SC-000020491","a0qWD00000JHNEcYAP","1.01","","","a0bWD000001HHCdYAO","0.0","false","","","","","false","0B2C68057F294E5D8C504E6D19467035","LLC_BI__Loan__c"
"a0vWD00000CzUubYAF","false","SC-000021418","a0qWD00000JHNRyYAP","1.01","","","","","false","","","","","false","1","1"
"a0vWD00000CzUoeYAF","false","SC-000021049","a0qWD00000JHNMlYAP","1.01","","","a0bWD000001HGGxYAO","","false","","","","","false","1002","Account"
"a0vWD00000CzUffYAF","false","SC-000020492","a0qWD00000JHNDNYA5","1.01","nSBA__SBA_Form_601","","","","false","","","SBA Form 601","","false","100E412176434B0BA97A0B494B374D39","LLC_BI__Loan__c"
"a0vWD00000CzUofYAF","false","SC-000021050","a0qWD00000JHNMSYA5","1.01","","","a0bWD000001HG7MYAW","0.0","false","","","","","false","1010","LLC_BI__Treasury_Service__c"
"a0vWD00000CzV0XYAV","false","SC-000021756","a0qWD00000JHNMSYA5","2.01","","","a0bWD000001HG7NYAW","0.0","false","a0vWD00000CzUofYAF","LLC_BI__Product_Package__r","","","false","1011","LLC_BI__Product_Package__c"
"a0vWD00000CzRSyYAN","false","SC-000022112","a0qWD00000JHNMSYA5","3.01","LLC_BI__UI_Product_Summary","","a0bWD000001HG7OYAW","0.0","false","a0vWD00000CzV0XYAV","LLC_BI__Treasury_Services__r","","","false","1012","LLC_BI__Treasury_Service__c"
"a0vWD00000CzV26YAF","false","SC-000021853","a0qWD00000JHNNqYAP","2.01","UI_Loan_Loan_Team_Members","","","","false","a0vWD00000CzUq7YAF","LLC_BI__Loan_Teams__r","","","false","10221619447516055","LLC_BI__LoanTeam__c"
"a0vWD00000CzUbMYAV","false","SC-000020225","a0qWD00000JHN9EYAX","1.01","SBL_OA_Credit_Check","","a0bWD000001HGJ0YAO","0.0","false","","","","","false","10271666029078212","LLC_BI__Loan__c"
"a0vWD00000CzUu7YAF","false","SC-000021388","a0qWD00000JHNRdYAP","1.01","UI_Loan_Details","","a0bWD000001HGJaYAO","0.0","false","","","","","false","10291619447516064","LLC_BI__Loan__c"
"a0vWD00000CzUogYAF","false","SC-000021051","a0qWD00000JHNN7YAP","1.01","","","","","false","","","Loan Relationship","","false","1104","LLC_BI__Loan__c"
