"Id","IsDeleted","Name","LastViewedDate","LastReferencedDate","nFORCE__Screen__c","nFORCE__Are_Columns_Sortable__c","nFORCE__Auto_Save__c","nFORCE__Break_Page_After__c","nFORCE__Break_Page_Before__c","nFORCE__Conditional_Display_Criteria__c","nFORCE__Default_Editable__c","nFORCE__Default_Rendered__c","nFORCE__Disable_Print__c","nFORCE__Disable_Read_Only_View__c","nFORCE__Display_Input_Address_Component__c","nFORCE__Display_Order__c","nFORCE__Display_Toggle_Effect__c","nFORCE__Display_Toggle_Header__c","nFORCE__Display_Toggle_Link__c","nFORCE__Headless__c","nFORCE__Inactive__c","nFORCE__Instructions_Text__c","nFORCE__Is_Editable__c","nFORCE__Layout__c","nFORCE__Number_of_Columns__c","nFORCE__Optional_Configuration__c","nFORCE__Parent_Screen_Section__c","nFORCE__Screen_View__c","nFORCE__Section_Resource__c","nFORCE__Validation_Service__c","nFORCE__Widget__c","nFORCE__lookupKey__c","nFORCE__sObject_Type__c","Custom_Code_in_Screen_Section__c"
"a0qWD00000GSgVNYA1","false","Primary Account","","","a0sWD00000Xo7eUYAR","false","false","false","false","","false","true","false","false","false","7.0","slide","true","false","false","false","","true","","","","","","MappedSObjectScreenResource","","","0358135F5A014D30B81F5A4F20404C2C","LLC_BI__Loan__c",""
"a0qWD00000GSgQuYAL","false","Loan Team Members","","","a0sWD00000Xo7dEYAR","false","false","false","false","","false","true","false","false","false","0.0","slide","true","false","false","false","","false","","","","","","MappedSObjectHierarchyScreenResource","","","03811585311470663","LLC_BI__Loan__c",""
"a0qWD00000GSghTYAT","false","Risk Rating","","","a0sWD00000Xo7lmYAB","false","false","false","false","","false","true","false","false","false","0.0","slide","true","false","false","false","","false","","","","","","MappedSObjectHierarchyScreenResource","","","04231619447515170","LLC_BI__Loan__c",""
"a0qWD00000GSghUYAT","false","Rate Structure Details Fixed","","","a0sWD00000Xo7kXYAR","false","false","false","false","","false","false","false","false","false","10.0","slide","true","false","false","false","","false","","","","","","MappedSObjectScreenResource","","","04401619447515165","LLC_BI__Pricing_Rate_Component__c",""
"a0qWD00000GSgQvYAL","false","Next Steps","","","a0sWD00000Xo7cSYAR","false","false","false","false","","true","false","false","false","false","10.0","slide","true","false","false","false","","true","","","","","a16WD000005UID3YAO","MappedSObjectScreenResource","","","04911602764631672","LLC_BI__Loan__c",""
"a0qWD00000GSghVYAT","false","Booked Information","","","a0sWD00000Xo7lnYAB","false","false","false","false","","false","true","false","false","false","4.0","slide","true","false","false","false","","false","","","","","","MappedSObjectScreenResource","","","04981619447515175","LLC_BI__Loan__c",""
"a0qWD00000GSgQwYAL","false","Enhanced Fees Management","","","a0sWD00000Xo7d9YAB","false","false","false","false","","true","true","false","false","false","0.0","slide","true","false","false","false","","true","","","","","","MappedSObjectHierarchyScreenResource","","","05171602764631666","LLC_BI__Loan__c",""
"a0qWD00000GSgfxYAD","false","HMDA","","","a0sWD00000Xo7kLYAR","false","false","false","false","","false","true","false","false","false","0.0","slide","true","false","false","false","","true","","","","","","MappedSObjectHierarchyScreenResource","","","05221619447515178","LLC_BI__Loan__c",""
"a0qWD00000GSgQxYAL","false","Enhanced Fee Loan Aggregate Summary","","","a0sWD00000Xo7btYAB","false","false","false","false","","true","true","false","false","false","20.0","slide","true","false","false","false","","true","","","","","","MappedSObjectScreenResource","","","05391663700625419","LLC_BI__Fee_Loan_Aggregate__c",""
"a0qWD00000GSgQyYAL","false","Add Non Standard Fee","","","a0sWD00000Xo7d9YAB","false","false","false","false","","true","true","false","false","false","10.0","slide","true","false","false","false","","true","","","","","","MappedSObjectScreenResource","","","06371602764631667","LLC_BI__Fee__c",""
"a0qWD00000GSgQzYAL","false","Adverse Actions/Counter Offers","","","a0sWD00000Xo7biYAB","false","false","false","false","","true","false","false","false","false","5.0","slide","true","false","false","false","","true","","","","","a16WD000005UID4YAO","MappedSObjectHierarchyScreenResource","","","07031663700625425","LLC_BI__Loan__c",""
"a0qWD00000GSgR0YAL","false","Structure Info","","","a0sWD00000Xo7bmYAB","false","false","false","false","","true","true","false","false","false","3.0","slide","true","false","false","false","","true","","","","","","MappedSObjectScreenResource","","","07251585311470672","LLC_BI__Loan__c",""
"a0qWD00000HrCxLYAV","false","Tasks","","","a0sWD00000Zx0eBYAR","false","false","false","false","","false","true","false","false","false","1.0","slide","true","false","false","true","","true","","","","","","MappedSObjectHierarchyScreenResource","","","07461620937672167","LLC_BI__Loan__c",""
"a0qWD00000GSghWYAT","false","Loan Team Members","","","a0sWD00000Xo7ljYAB","false","false","false","false","","false","true","false","false","false","0.0","slide","true","false","false","false","","false","","","","","","MappedSObjectHierarchyScreenResource","","","08131619447515174","LLC_BI__Loan__c",""
"a0qWD00000GSTTSYA5","false","Add Debt","","","a0sWD00000XnoK6YAJ","false","false","false","false","","true","true","false","false","false","3.0","slide","true","false","false","false","","true","","","","","","MappedSObjectScreenResource","","","08171560278867254","LLC_BI__Debt__c",""
"a0qWD00000GT9ZMYA1","false","Structure Info","","","a0sWD00000XoCK4YAN","false","false","false","false","","true","true","false","false","false","3.0","slide","true","false","false","false","","true","","","","","a16WD000005UIdZYAW","MappedSObjectScreenResource","","","08301585604341048","LLC_BI__Loan__c",""
"a0qWD00000GSgR1YAL","false","Add Debt","","","a0sWD00000Xo7bgYAB","false","false","false","false","","true","true","false","false","false","30.0","slide","true","false","false","false","","true","","","","","","MappedSObjectScreenResource","","","08701600720268025","LLC_BI__Debt__c",""
"a0qWD00000GSgR2YAL","false","SBL Eligibility Loan","","","a0sWD00000Xo7d8YAB","false","false","false","false","","false","false","false","false","false","0.0","slide","true","false","false","false","","true","","","","","","MappedSObjectListScreenResource","","","08711666029075344","LLC_BI__Loan__c",""
"a0qWD00000GSghXYAT","false","HMDA","","","a0sWD00000Xo7k7YAB","false","false","false","false","","true","true","false","false","false","4.0","slide","true","false","false","false","","true","","","","","","MappedSObjectHierarchyScreenResource","","","09161585604341050","LLC_BI__Loan__c",""
