"Id","OwnerId","IsDeleted","Name","nFORCE__Address_Part__c","nFORCE__Alternate_Label__c","nFORCE__Autocomplete_Attribute_Value__c","nFORCE__Conditional_Display_Criteria__c","nFORCE__Default_Value__c","nFORCE__Defined_Picklist_Values__c","nFORCE__Field_Hint__c","nFORCE__Field_Name__c","nFORCE__Filter_Criteria__c","nFORCE__Filter_Display_Name__c","nFORCE__Format_Description__c","nFORCE__Format_Enabled__c","nFORCE__Format_Expression__c","nFORCE__Format_Message__c","nFORCE__Is_Active__c","nFORCE__Is_Conditional_Lookup__c","nFORCE__Is_Editable__c","nFORCE__Is_Filter_Active__c","nFORCE__Is_Header__c","nFORCE__Is_Hidden__c","nFORCE__Is_Important__c","nFORCE__Is_Read_Only__c","nFORCE__Is_Required__c","nFORCE__Output_Expression__c","nFORCE__Route__c","nFORCE__SLDS_Column_Size__c","nFORCE__Screen_Section__c","nFORCE__Tooltip_Contents__c","nFORCE__Tooltip_Enabled__c","nFORCE__Tooltip_Text__c","nFORCE__lookupKey__c","nFORCE__sObject_Name__c"
"a0SWD000002Fmi62AC","005al00000RVcKvAAL","false","FC-002249","","Billing Address","","","","","","BillingStreet","","","","false","","","false","false","false","false","false","false","false","false","false","","a0mWD000003qvyEYAQ","","","","false","","80831666029076791","Account"
"a0SWD000002Fmi72AC","005al00000RVcKvAAL","false","FC-002250","","City","","","","","","LLC_BI__Home_City__c","","","","false","","","false","false","false","false","false","false","false","false","false","","a0mWD000003qvyAYAQ","","","","false","","81341603129897214","Contact"
"a0SWD000002Fmi82AC","005al00000RVcKvAAL","false","FC-002251","","","","","Rent- Reported via Online App","","","LLC_BI__Debt_Type__c","","","","false","","","false","false","false","false","false","true","false","false","false","","a0mWD000003qw0WYAQ","","","","false","","81931666029076783","LLC_BI__Debt__c"
"a0SWD000002Fmi92AC","005al00000RVcKvAAL","false","FC-002252","","","","","","","","LLC_BI__Primary_ID_Issuing_State__c","","","","false","","","false","false","false","false","false","false","false","false","false","","a0mWD000003qw0iYAA","2.0","","","false","","82341598553324135","Contact"
"a0SWD000002FmiA2AS","005al00000RVcKvAAL","false","FC-002253","","","","","","","","LLC_BI__Identity_Verification_Status__c","","","","false","","","false","false","false","false","false","true","false","false","false","","a0mWD000003qw0rYAA","","","","false","","83201666029076777","Contact"
"a0SWD000002FmiB2AS","005al00000RVcKvAAL","false","FC-002254","","Mailing Address","","","","","","Mailing_Address_nCino__c","","","","false","","","false","false","false","false","false","false","false","false","false","","a0mWD000003qvyYYAQ","","","","false","","83531602603021378","Contact"
"a0SWD000002FmiC2AS","005al00000RVcKvAAL","false","FC-002255","","","","","","","","cm_Passport_Issuing_Country__c","","","","false","","","false","false","false","false","false","false","false","false","false","","a0mWD000003qw0rYAA","2.0","","","false","","84031666029076785","Contact"
"a0SWD000002FmiD2AS","005al00000RVcKvAAL","false","FC-002256","","State","","","","","","OtherState","","","","false","","","false","false","false","false","false","false","false","false","false","","a0mWD000003qw0rYAA","2.0","","","false","","84251666029076777","Contact"
"a0SWD000002FmiE2AS","005al00000RVcKvAAL","false","FC-002257","","ZIP","","","","","","Mailing_Zip_code_nCino__c","","","","false","","","false","false","false","false","false","false","false","false","false","","a0mWD000003qw0iYAA","2.0","","","false","","84371598553324136","Contact"
"a0SWD000002FmiF2AS","005al00000RVcKvAAL","false","FC-002258","","City","","","","","","LLC_BI__Home_City__c","","","","false","","","false","false","false","false","false","false","false","false","false","","a0mWD000003qvyYYAQ","","","","false","","84451602603021377","Contact"
"a0SWD000002FmiG2AS","005al00000RVcKvAAL","false","FC-002259","","Social Security Number (SSN)","","","","","XXXXXXXXX","LLC_BI__SS__c","","","","false","","","false","false","false","false","false","false","false","false","false","","a0mWD000003qvyAYAQ","1.0","","As a federally regulated bank, we are required to know our customers. We use your SSN to pull your credit bureau data, which allows us to process your application.","true","Why do we need this?","86021603129897213","Contact"
"a0SWD000002FmiH2AS","005al00000RVcKvAAL","false","FC-002260","","State","","","","","","Mailing_State_nCino__c","","","","false","","","false","false","false","false","false","false","false","false","false","","a0mWD000003qvyYYAQ","2.0","","","false","","86121602603021379","Contact"
"a0SWD000002FmiI2AS","005al00000RVcKvAAL","false","FC-002261","","Mobile Phone Number","","","","","","MobilePhone","","","","false","","","false","false","false","false","false","false","false","false","false","","a0mWD000003qw0rYAA","","","","false","","86561666029076770","Contact"
"a0SWD000002FmkS2AS","005al00000RVcKvAAL","false","FC-002395","","","","","","","","Referral_Company__c","","","","false","","","false","false","false","false","false","false","false","true","false","","a0mWD000003qvuwYAA","","a0qWD00000JHNDMYA5","","false","","86934568253609236","LLC_BI__Loan__c"
"a0SWD000002FmiJ2AS","005al00000RVcKvAAL","false","FC-002262","","","","","Monthly Rent- Reported via Online App","","","Name","","","","false","","","false","false","false","false","false","true","false","false","false","","a0mWD000003qvyWYAQ","","","","false","","87391603129897219","LLC_BI__Debt__c"
"a0SWD000002FmiK2AS","005al00000RVcKvAAL","false","FC-002263","","","","","{{artifact}}","","","LLC_BI__Loan__c","","","","false","","","false","false","false","false","false","true","false","false","false","","a0mWD000003qvyWYAQ","","","","false","","87521603129897218","LLC_BI__Debt__c"
"a0SWD000002FmiL2AS","005al00000RVcKvAAL","false","FC-002264","","","","","","","","LLC_BI__Home_Address__c","","","","false","","","false","false","false","false","false","false","false","false","false","","a0mWD000003qvyGYAQ","","","","false","","87531598381727930","Contact"
"a0SWD000002FmiM2AS","005al00000RVcKvAAL","false","FC-002265","","Are there additional business entities you need to add to the borrowing structure?","","","","","","cm_Additional_Business_Entities_Involved__c","","","","false","","","false","false","false","false","false","false","false","false","false","","a0mWD000003qvyEYAQ","","","","false","","87571666029076788","Account"
"a0SWD000002FmiN2AS","005al00000RVcKvAAL","false","FC-002266","","State","","","","","","LLC_BI__Home_State__c","","","","false","","","false","false","false","false","false","false","false","false","false","","a0mWD000003qvyAYAQ","2.0","","","false","","88381603129897214","Contact"
"a0SWD000002FmkT2AS","005al00000RVcKvAAL","false","FC-002396","","","","","","","","Referral_Contact__c","","","","false","","","false","false","false","false","false","false","false","true","false","","a0mWD000003qvszYAA","","a0qWD00000JHNAlYAP","","false","","88456623534543","LLC_BI__Loan__c"
"a0SWD000002FmiO2AS","005al00000RVcKvAAL","false","FC-002267","","","","","{{individual}}","","","LLC_BI__Account__c","","","","false","","","false","false","false","false","false","false","false","false","false","","a0mWD000003qvyWYAQ","","","","false","","88531603129897218","LLC_BI__Debt__c"
"a0SWD000002FmiP2AS","005al00000RVcKvAAL","false","FC-002268","","State","","","","","","Mailing_State_nCino__c","","","","false","","","false","false","false","false","false","false","false","false","false","","a0mWD000003qvyYYAQ","2.0","","","false","","88681603130192868","Contact"
"a0SWD000002FmiQ2AS","005al00000RVcKvAAL","false","FC-002269","","","","","Customer Reported","","","LLC_BI__Income_Source__c","","","","false","","","false","false","false","false","false","true","false","false","false","","a0mWD000003qvxwYAA","","","","false","","88741666029076783","LLC_BI__Income__c"
