"Id","OwnerId","IsDeleted","Name","nFORCE__App__c","nFORCE__Body_Type__c","nFORCE__Body__c","nFORCE__Description__c","nFORCE__Group__c","nFORCE__Icon_Class__c","nFORCE__Is_Hidden__c","nFORCE__Navigation__c","nFORCE__Order__c","nFORCE__Parameters__c","nFORCE__Parent_App__c","nFORCE__Screen__c","nFORCE__Sub_Navigation__c","nFORCE__Taxonomy_Id__c","nFORCE__Toolbar__c","nFORCE__Topbar__c","nFORCE__lookupKey__c"
"a0mWD000003qw2OYAQ","005al00000RVcKvAAL","false","Loan Information","loan-detail-m-loe-parent","","nforce__ncdatagrid","","","n-icon-loan","false","nforce__navigation","","","","","nforce__sub_navigation","","","nforce__topbar","42656697617934468"
"a0mWD000003qvmHYAQ","005al00000RVcKvAAL","false","Document Preparation - WK","docprep-wk-loan","","c__GenerateDocumentsWKPCC2","","","n-icon-loan","false","nforce__navigation","","","","","nforce__sub_navigation","","","nforce__topbar","42657290272324788"
"a0mWD000003qwGeYAI","005al00000RVcKvAAL","false","DT2.1Route Name","DT2.1App","Visualforce Page","DT2.1Body","","","","false","","","","","a0sWD00000cQ1YwYAK","","","","","42657640515636974"
"a0mWD000003qvmIYAQ","005al00000RVcKvAAL","false","Application","loan-wall-retailapp","","nretail__applicationdetails","","","n-icon-loan","false","nFORCE__navigation","","","","a0sWD00000cQ1LpYAK","nFORCE__Blank","","","nforce__topbar","42657971712874364"
"a0mWD000003qvzTYAQ","005al00000RVcKvAAL","false","Next Steps","next-steps","Visualforce Page","nforce__ncdatagrid","","","","false","nforce__navigation","","","","a0sWD00000cQ1OsYAK","nforce__sub_navigation","next-steps","","nforce__topbar","42662667133720312"
"a0mWD000003qvmJYAQ","005al00000RVcKvAAL","false","Underwriting","loan-wall-retailuw","","nretail__underwriting","","","n-icon-loan","false","nFORCE__navigation","","","","a0sWD00000cQ1KnYAK","nforce__sub_navigation","","","nforce__topbar","42663414199873939"
"a0mWD000003qvmKYAQ","005al00000RVcKvAAL","false","Closing","sbl-closing","","nretail__blank","","","n-icon-loan","false","nFORCE__navigation","","","","","nFORCE__sub_navigation","sbl-closing","","nretail__summaryheadertopbar","42664788762915200"
"a0mWD000003qw9OYAQ","005al00000RVcKvAAL","false","Existing Records","spreads-configuration-existing-records","","nCRED__spreadadministrationexistingrecords","","","","false","nFORCE__navigation","","","","","nFORCE__sub_navigation","spreads-configuration-existing-records","","nFORCE__ngtopbar","42664935369897400"
"a0mWD000003qvmLYAQ","005al00000RVcKvAAL","false","Manage Fees","manage-fees","","llc_bi__managefeefromloan","","","n-icon-fee","false","nforce__navigation","","","","","nforce__sub_navigation","manage-fees","","nforce__topbar","42666518678145200"
"a0mWD000003qw9PYAQ","005al00000RVcKvAAL","false","Adverse Actions","adverse-actions","Lightning Web Component","nforce__korelatedtable","","","n-icon-reject","false","nforce__navigation","","readonly=true","","a0sWD00000cQ1WbYAK","nforce__sub_navigation","adverse-actions","","nforce__topbar","42672175658949400"
"a0mWD000003qvmMYAQ","005al00000RVcKvAAL","false","Loan Details","loan-detail-card","","nforce__kodatagrid","","","n-icon-loan","false","nforce__navigation","","","","a0sWD00000cQ1NvYAK","nforce__sub_navigation","","","nforce__topbar","42672697108656296"
"a0mWD000003qw2PYAQ","005al00000RVcKvAAL","false","CRA","loan-pre-cra-readonly-lob-pwc","","nforce__korelatedlist","","","n-icon-hmda","false","nforce__navigation","","","","a0sWD00000cQ1TgYAK","nforce__sub_navigation","","","nforce__topbar","42673820899740846"
"a0mWD000003qw9QYAQ","005al00000RVcKvAAL","false","Submit For Approval","action-pp-submit-approval","","llc_bi__productpackageapproval","","","n-icon-submit","false","nforce__navigation","","","","","nforce__sub_navigation","action-pp-submit-approval","","nforce__topbar","42674017301586000"
"a0mWD000003qvmNYAQ","005al00000RVcKvAAL","false","Review & Submit","perdep-owner-review","","NPORTAL__PortalReview","","","","false","NPORTAL__ApplicationNavigation","40.0","","","","","","","NPORTAL__LoanTopbar","42674137706414570"
"a0mWD000003qw2QYAQ","005al00000RVcKvAAL","false","Loan Information","loe-post-loan-information-parent","","nforce__ncdatagrid","","","n-icon-loan","false","nforce__navigation","","","","","nforce__sub_navigation","","","nforce__topbar","42674777300254239"
"a0mWD000003qvmOYAQ","005al00000RVcKvAAL","false","Verification","rl-secured-eid-other","","NPORTAL__PortalEIDVerification","","","","false","NPORTAL__ApplicationNavigation","30.0","","","","","","","NPORTAL__LoanTopbar","42674891995384159"
"a0mWD000003qw9RYAQ","005al00000RVcKvAAL","false","Fees","pp-sn-fees","","llc_bi__prodpkguifeespage","","","","false","nforce__navigation","","","","","nforce__sub_navigation","pp-sn-fees","","nforce__topbar","42675137402997300"
"a0mWD000003qvmPYAQ","005al00000RVcKvAAL","false","SBA Application Details","application-sba-details","","nforce__kodatagrid","","","","false","nFORCE__Navigation","","","","a0sWD00000cQ1NcYAK","nFORCE__Sub_Navigation","","","nFORCE__Topbar","42677905388685820"
"a0mWD000003qvmQYAQ","005al00000RVcKvAAL","false","Book To Servicing","action-book-core","","c__BookToServicePage","","","n-icon-analyze","false","nforce__navigation","","","","","nforce__sub_navigation","","","nforce__topbar","42680851112379453"
"a0mWD000003qw9SYAQ","005al00000RVcKvAAL","false","Injections","sba-injections","Lightning Web Component","nforce__korelatedlistchild","","","","false","nforce__navigation","","","","a0sWD00000cQ1NOYA0","nforce__sub_navigation","sba-injections","","nforce__topbar","42681144643307200"
"a0mWD000003qvmRYAQ","005al00000RVcKvAAL","false","Manage Loan Team","manage-loan-team","","LLC_BI__TeamManagementLoan","","","n-icon-loan","false","nforce__inline_navigation","","","","","nforce__sub_navigation","manage-loan-team","","nforce__topbar","42685110273934600"
"a0mWD000003qw9TYAQ","005al00000RVcKvAAL","false","Documents","loan-ind-documents","","llc_bi__retail_customer_creation_docman","","","","false","nFORCE__Navigation","","","","","nFORCE__Sub_Navigation","loan-ind-documents","","nforce__nctopbar","42688076766899600"
"a0mWD000003qw2RYAQ","005al00000RVcKvAAL","false","Loan Information","loe-booked-loan-readonly-information-sba","","nforce__ncdatagrid","","","n-icon-loan","false","nforce__navigation","","","","a0sWD00000cQ1QjYAK","nforce__sub_navigation","","","nforce__topbar","42688192154288895"
"a0mWD000003qw9UYAQ","005al00000RVcKvAAL","false","Approved Details","loan-detail-approved-m","Lightning Web Component","nforce__ncdatagrid","","","n-icon-loan","false","nforce__navigation","","","","a0sWD00000cQ1WcYAK","nforce__sub_navigation","loan-detail-approved-m","","nforce__topbar","42689013657392600"
"a0mWD000003qvzUYAQ","005al00000RVcKvAAL","false","TRID","trid-parent-route","","nforce__ncdatagrid","","","","false","nforce__navigation","","","","","nforce__sub_navigation","","","nforce__topbar","42689303555272951"
"a0mWD000003qvzVYAQ","005al00000RVcKvAAL","false","Balance Details","small-business-loan-post-approval-ui-balance-details","","nforce__ncdatagrid","","","n-icon-loan","false","nforce__navigation","","","","a0sWD00000cQ1OzYAK","nforce__sub_navigation","","","nforce__topbar","42690013300715103"
"a0mWD000003qvmSYAQ","005al00000RVcKvAAL","false","Loan Products","relationship-loan-products-default","","nforce__korelatedtable","","","n-icon-loan","false","nforce__inline_navigation","","","","a0sWD00000cQ1L7YAK","nforce__sub_navigation","relationship-loan-products-default","","nforce__blank","42690556197073900"
"a0mWD000003qw9VYAQ","005al00000RVcKvAAL","false","CRA Reporting","community-reinvestment-act-m","","llc_bi__cra_reporting","","","n-icon-treasury_management","false","nforce__navigation","","","","a0sWD00000cQ1WdYAK","nforce__sub_navigation","community-reinvestment-act-m","","nforce__topbar","42692361255016300"
"a0mWD000003qw9WYAQ","005al00000RVcKvAAL","false","Document Manager Admin","unidoc","","ndoc__universaldocmanconfiglandingpage","","","","false","nforce__navigation","4.0","","","","nforce__sub_navigation","unidoc","","nforce__topbar","42692383751537500"
"a0mWD000003qvmTYAQ","005al00000RVcKvAAL","false","Review & Submit","rl-secured-review-other","","NPORTAL__PortalReview","","","","false","NPORTAL__ApplicationNavigation","40.0","","","","","","","NPORTAL__LoanTopbar","42692648450287129"
"a0mWD000003qvmUYAQ","005al00000RVcKvAAL","false","Decisioning","sbl-decision","","LLC_BI__LoanAutoDecision","","","n-icon-loan","false","nFORCE__navigation","","","","","nFORCE__Blank","sbl-decision","","nretail__summaryheadertopbar","42694133987660500"
