"Id","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastActivityDate","nFORCE__Rule_Engine_Context__c","nFORCE__Description__c","nFORCE__lookupKey__c","LastViewedDate","LastReferencedDate"
"a0nWD000001CUpnYAG","false","Loan Auto-Decision","2026-07-20T15:30:11.000Z","005al00000RVvFOAA1","2026-07-22T12:34:58.000Z","005al00000RVvFOAA1","2026-07-22T12:34:58.000Z","","a0oWD00000GVe9fYAD","The Loan Auto-Decision Rule context runs when the Auto-Decision Action item is selected from a loan","a0Vam00000Q5RktEAF","",""
"a0nWD000001CUpoYAG","false","Loan Auto-Policy Exception","2026-07-20T15:30:11.000Z","005al00000RVvFOAA1","2026-07-22T12:34:58.000Z","005al00000RVvFOAA1","2026-07-22T12:34:58.000Z","","a0oWD00000GVe81YAD","The Loan Auto-Policy Exception context runs when the Auto-Policy Exception Action item is selected from a loan","a0Vam00000Q5RkuEAF","",""
"a0nWD000001CUppYAG","false","CLA Inspection PlaceHolder Creation","2026-07-20T15:30:11.000Z","005al00000RVvFOAA1","2026-07-22T12:34:58.000Z","005al00000RVvFOAA1","2026-07-22T12:34:58.000Z","","a0oWD00000GVe82YAD","The CLA Inspection PlaceHolder Creation rule runs when a new Valuation object is created in order to create one or more Document Manager placeholders.","a0Vam00000Q5RkvEAF","",""
"a0nWD000001CUpqYAG","false","Filter Pricing Options by DTI","2026-07-20T15:30:11.000Z","005al00000RVvFOAA1","2026-07-22T12:34:58.000Z","005al00000RVvFOAA1","2026-07-22T12:34:58.000Z","","a0oWD00000GVe9eYAD","Filters the pricing options based on the current max DTI","a0Vam00000Q5RkwEAF","",""
"a0nWD000001CUprYAG","false","Proposed Pricing Option","2026-07-20T15:30:11.000Z","005al00000RVvFOAA1","2026-07-22T12:34:58.000Z","005al00000RVvFOAA1","2026-07-22T12:34:58.000Z","","a0oWD00000GVe9eYAD","Create the proposed pricing option based on information in the loan.","a0Vam00000Q5RkxEAF","",""
"a0nWD000001CUpsYAG","false","Credit Request Preprocessing","2026-07-20T15:30:11.000Z","005al00000RVvFOAA1","2026-07-22T12:34:58.000Z","005al00000RVvFOAA1","2026-07-22T12:34:58.000Z","","a0oWD00000GVe83YAD","This is run before creating a credit request to determine the parameters for the request","a0Vam00000Q5RkyEAF","",""
"a0nWD0000018DsPYAU","false","Retrieve Pricing Options Retail Pricing","2026-06-25T06:43:01.000Z","005al00000RVcKvAAL","2026-07-22T12:34:58.000Z","005al00000RVvFOAA1","2026-07-22T12:34:58.000Z","","a0oWD00000GDaPlYAL","Create the pricing option(s) based on information in the Loan specific to Retail Pricing.","a318c000000iFBoAAM","",""
"a0nWD0000018DsQYAU","false","Loan Auto-Decision","2026-06-25T06:43:01.000Z","005al00000RVcKvAAL","2026-07-22T12:34:58.000Z","005al00000RVvFOAA1","2026-07-22T12:34:58.000Z","","a0oWD00000GDaPcYAL","The Loan Auto-Decision Rule context runs when the Auto-Decision Action item is selected from a loan","a318c000001OE03AAG","",""
"a0nWD0000018DsRYAU","false","DuplicateContentVersion","2026-06-25T06:43:01.000Z","005al00000RVcKvAAL","2026-07-22T12:34:58.000Z","005al00000RVvFOAA1","2026-07-22T12:34:58.000Z","","a0oWD00000GDaPdYAL","","a318c000001OE04AAG","",""
"a0nWD0000018DsSYAU","false","Retrieve Pricing Options","2026-06-25T06:43:01.000Z","005al00000RVcKvAAL","2026-07-22T12:34:58.000Z","005al00000RVvFOAA1","2026-07-22T12:34:58.000Z","","a0oWD00000GDaPeYAL","Create the pricing option(s) based on information in the Loan.","a318c000001OE05AAG","",""
"a0nWD0000018DsTYAU","false","Filter Pricing Options by DTI","2026-06-25T06:43:01.000Z","005al00000RVcKvAAL","2026-07-22T12:34:58.000Z","005al00000RVvFOAA1","2026-07-22T12:34:58.000Z","","a0oWD00000GDaPfYAL","Filters the pricing options based on the current max DTI","a318c000001OE06AAG","",""
