"Id","IsDeleted","Name","nFORCE__Screen__c","nFORCE__Are_Columns_Sortable__c","nFORCE__Auto_Save__c","nFORCE__Break_Page_After__c","nFORCE__Break_Page_Before__c","nFORCE__Conditional_Display_Criteria__c","nFORCE__Default_Editable__c","nFORCE__Default_Rendered__c","nFORCE__Disable_Print__c","nFORCE__Disable_Read_Only_View__c","nFORCE__Display_Input_Address_Component__c","nFORCE__Display_Order__c","nFORCE__Display_Toggle_Effect__c","nFORCE__Display_Toggle_Header__c","nFORCE__Display_Toggle_Link__c","nFORCE__Headless__c","nFORCE__Inactive__c","nFORCE__Instructions_Text__c","nFORCE__Is_Editable__c","nFORCE__Number_of_Columns__c","nFORCE__Optional_Configuration__c","nFORCE__Parent_Screen_Section__c","nFORCE__Section_Resource__c","nFORCE__Validation_Service__c","nFORCE__lookupKey__c","nFORCE__sObject_Type__c","Custom_Code_in_Screen_Section__c"
"a0qal00000CdJd8AAF","false","Bulk Pledge Details","a0sal000004PdLZAA0","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","CustomSObjectListScreenResource","","42153932209446378","LLC_BI__Loan_Collateral2__c",""
"a0qVx00000Gm4LUIAZ","false","Pledge Details","a0sVx000002iIWRIA2","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","true","","true","","","","MappedSObjectScreenResource","","42165069595139343","LLC_BI__Loan_Collateral2__c",""
"a0qal00000CdJd9AAF","false","Collateral Valuation","a0sal000004PdLYAA0","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42176098733769439","LLC_BI__Collateral__c",""
"a0qal00000CdJdAAAV","false","Bulk Pledge Details","a0sal000004PdLeAAK","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","CustomSObjectListScreenResource","","42192074896987113","LLC_BI__Loan_Collateral2__c",""
"a0qal00000CdJdBAAV","false","Bulk Pledge Details","a0sal000004PdLhAAK","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","CustomSObjectListScreenResource","","42195570243048674","LLC_BI__Loan_Collateral2__c",""
"a0qVx00000Gm4MfIAJ","false","Bulk Pledge Details","a0sVx000002iISNIA2","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","CustomSObjectListScreenResource","","42211688042367551","LLC_BI__Loan_Collateral2__c",""
"a0qal00000CdJdCAAV","false","Bulk Pledge Details","a0sal000004PdLiAAK","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","CustomSObjectListScreenResource","","42214592204420924","LLC_BI__Loan_Collateral2__c",""
"a0qal00000CdJdDAAV","false","Collateral Valuation","a0sal000004PdLjAAK","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42237191330811213","LLC_BI__Collateral__c",""
"a0qal00000CdJdEAAV","false","Collateral Valuation","a0sal000004PdLkAAK","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42256671778578968","LLC_BI__Collateral__c",""
"a0qal00000CdJdFAAV","false","Collateral Valuation","a0sal000004PdLgAAK","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42257152410399482","LLC_BI__Collateral__c",""
