"Id","IsDeleted","Name","LastViewedDate","LastReferencedDate","nFORCE__Screen__c","nFORCE__Are_Columns_Sortable__c","nFORCE__Auto_Save__c","nFORCE__Break_Page_After__c","nFORCE__Break_Page_Before__c","nFORCE__Conditional_Display_Criteria__c","nFORCE__Default_Editable__c","nFORCE__Default_Rendered__c","nFORCE__Disable_Print__c","nFORCE__Disable_Read_Only_View__c","nFORCE__Display_Input_Address_Component__c","nFORCE__Display_Order__c","nFORCE__Display_Toggle_Effect__c","nFORCE__Display_Toggle_Header__c","nFORCE__Display_Toggle_Link__c","nFORCE__Headless__c","nFORCE__Inactive__c","nFORCE__Instructions_Text__c","nFORCE__Is_Editable__c","nFORCE__Number_of_Columns__c","nFORCE__Optional_Configuration__c","nFORCE__Parent_Screen_Section__c","nFORCE__Section_Resource__c","nFORCE__Validation_Service__c","nFORCE__lookupKey__c","nFORCE__sObject_Type__c","Custom_Code_in_Screen_Section__c","AutorabitExtId__c","nPortal__Portal_Header_Text__c","nPortal__Portal_Subheader_Text__c"
"a0qWD00000GTAMoYAP","false","SBL OA UCC","","","a0sWD00000XoBtfYAF","false","false","false","false","","true","false","false","false","false","10.0","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","423002528508649471","LLC_BI__Collateral__c","","","",""
"a0qWE00000W9iYBYAZ","false","Bulk Pledge Details","","","a0sWE000002tqfbYAA","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","CustomSObjectListScreenResource","","42302197961286282","LLC_BI__Loan_Collateral2__c","","","",""
"a0qWE00000W9iYfYAJ","false","Collateral Search Results","","","a0sWE000002tqfpYAA","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42324251124134576","LLC_BI__Collateral__c","","","",""
"a0qWD00000GT9ZWYA1","false","Collateral Search Results","","","a0sWD00000XoCL3YAN","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42341236978633924","LLC_BI__Collateral__c","","","",""
"a0qWE00000W9iZZYAZ","false","Collateral Search Results","","","a0sWE000002tqeyYAA","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42355584328676920","LLC_BI__Collateral__c","","","",""
"a0qWE00000W9iaYYAR","false","Collateral Search Results","","","a0sWE000002tqfbYAA","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42400804380149719","LLC_BI__Collateral__c","","","",""
"a0qWE00000W9iaoYAB","false","Collateral Search Results","","","a0sWE000002tqfZYAQ","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42407198864532806","LLC_BI__Collateral__c","","","",""
"a0qWD00000GSLXTYA5","false","Collateral Details","","","a0sWD00000XoCL3YAN","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","true","","true","","","","MappedSObjectScreenResource","","42408547330158687","LLC_BI__Loan_Collateral2__c","","","",""
"a0qWE00000W9ibBYAR","false","Collateral Valuation","","","a0sWE000002tqfpYAA","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42424425548316676","LLC_BI__Collateral__c","","","",""
"a0qWE00000W9ibVYAR","false","Collateral Valuation","","","a0sWE000002tqesYAA","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42438109294881857","LLC_BI__Collateral__c","","","",""
"a0qWE00000W9iblYAB","false","Bulk Pledge Details","","","a0sWE000002tqejYAA","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","CustomSObjectListScreenResource","","42452419303364976","LLC_BI__Loan_Collateral2__c","","","",""
"a0qWE00000W9idxYAB","false","Collateral Valuation","","","a0sWE000002tqfdYAA","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42556818826445827","LLC_BI__Collateral__c","","","",""
