"Id","IsDeleted","Name","nFORCE__Screen_Section__c","nFORCE__Display_Order__c","nFORCE__Field_Set_Key__c","nFORCE__Filter_Criteria__c","nFORCE__Limit__c","nFORCE__Offset_By_Limit__c","nFORCE__Parent_Configuration__c","nFORCE__Parent_Relationship_Name__c","nFORCE__Section_Header__c","nFORCE__Sort_Criteria__c","nFORCE__Unique__c","nFORCE__lookupKey__c","nFORCE__sObject_Type__c"
"a0vWD00000B9kjbYAB","false","SC-000024561","a0qWD00000GTAfkYAH","1.01","SBL_OA_Real_Estate","","0.0","false","","","","","false","423739979738395071","LLC_BI__Collateral__c"
"a0vWE00000GwY16YAF","false","SC-000032675","a0qWE00000W9iiEYAR","1.01","Pledge_Collateral_Override","","","false","","","","","false","42447816184090719","LLC_BI__Loan_Collateral2__c"
"a0vWE00000GwY17YAF","false","SC-000032676","a0qWE00000W9ifvYAB","1.01","Pledge_Collateral_Override","","","false","","","","","false","42448435503936976","LLC_BI__Loan_Collateral2__c"
"a0vWE00000GwY2JYAV","false","SC-000032750","a0qWE00000W9iU0YAJ","1.01","Pledge_Collateral_Override","","","false","","","","","false","42514632499443989","LLC_BI__Loan_Collateral2__c"
"a0vWE00000GwY2LYAV","false","SC-000032752","a0qWE00000W9ifFYAR","1.01","Pledge_Collateral_Override","","","false","","","","","false","42518378832469762","LLC_BI__Loan_Collateral2__c"
"a0vWD00000B9kmLYAR","false","SC-000024731","a0qWD00000GTAGKYA5","1.01","SBL_OA_Titled","","0.0","false","","","","","false","42531440068230934","LLC_BI__Collateral__c"
"a0vWE00000GwY2YYAV","false","SC-000032765","a0qWE00000W9iHpYAJ","1.01","Pledge_Collateral_Override","","","false","","","","","false","42543695293611438","LLC_BI__Loan_Collateral2__c"
"a0vWE00000GwY3DYAV","false","SC-000032806","a0qWE00000W9iSeYAJ","1.01","Pledge_Collateral_Override","","","false","","","","","false","42551707286406201","LLC_BI__Loan_Collateral2__c"
"a0vWE00000GwY3KYAV","false","SC-000032813","a0qWE00000W9ijVYAR","1.01","LLC_BI__Collateral_Search_Results","","","false","","","Search Results","","false","42559918086928431","LLC_BI__Collateral__c"
"a0vWE00000GwY3MYAV","false","SC-000032815","a0qWE00000W9ifuYAB","1.01","Collateral_Valuation_Possessory_CD","","0.0","false","","","Collateral Valuation","","false","42560392455613806","LLC_BI__Collateral__c"
"a0vWE00000GwY3NYAV","false","SC-000032816","a0qWE00000W9iWAYAZ","1.01","Pledge_Collateral_Override","","","false","","","","","false","42562576321254457","LLC_BI__Loan_Collateral2__c"
"a0vWE00000GwY3SYAV","false","SC-000032821","a0qWE00000W9imsYAB","1.01","LLC_BI__Collateral_Valuation","","0.0","false","","","Collateral Valuation","","false","42569087986246965","LLC_BI__Collateral__c"
"a0vWE00000GwY3fYAF","false","SC-000032834","a0qWE00000W9iSrYAJ","1.01","Collateral_Valuations_Govt_Contracts","","0.0","false","","","Collateral Valuation","","false","42598305753684355","LLC_BI__Collateral__c"
"a0vWE00000GwY3iYAF","false","SC-000032837","a0qWE00000W9iVPYAZ","1.01","Collateral_Valuation_Titled_Trailer","","0.0","false","","","Collateral Valuation","","false","42611297485883551","LLC_BI__Collateral__c"
"a0vWE00000GwY4XYAV","false","SC-000032888","a0qWE00000W9ilaYAB","1.01","Pledge_Collateral_Override","","","false","","","","","false","42655467735706176","LLC_BI__Loan_Collateral2__c"
"a0vWD00000B9kozYAB","false","SC-000024895","a0qWD00000GTAbCYAX","1.01","SBL_OA_Possessory","","0.0","false","","","","","false","42682656174102074","LLC_BI__Collateral__c"
"a0vWE00000GwXjHYAV","false","SC-000031570","a0qWE00000W9ibVYAR","1.01","Collateral_Valuation_Possessory_Life_Ins","","0.0","false","","","Collateral Valuation","","false","42694786180466839","LLC_BI__Collateral__c"
"a0vWD00000B9kTZYAZ","false","SC-000023667","a0qWD00000GSLXTYA5","1.01","LLC_BI__Collateral_Modal_Details","","","false","","","Details","","false","42702213649589287","LLC_BI__Loan_Collateral2__c"
"a0vWE00000GwXjWYAV","false","SC-000031585","a0qWE00000W9iaoYAB","1.01","LLC_BI__Collateral_Search_Results","","","false","","","Search Results","","false","42720360975069625","LLC_BI__Collateral__c"
"a0vWE00000GwXjmYAF","false","SC-000031601","a0qWE00000W9imbYAB","1.01","LLC_BI__Collateral_Search_Results","","","false","","","Search Results","","false","42738492871704696","LLC_BI__Collateral__c"
"a0vWE00000GwXkUYAV","false","SC-000031645","a0qWE00000W9idxYAB","1.01","Collateral_Valuation_Real_Estate","","0.0","false","","","Collateral Valuation","","false","42757230995398009","LLC_BI__Collateral__c"
"a0vWE00000GwXkWYAV","false","SC-000031647","a0qWE00000W9iblYAB","1.01","Pledge_Collateral_Override","","","false","","","","","false","42759148246001407","LLC_BI__Loan_Collateral2__c"
"a0vWE00000GwXkmYAF","false","SC-000031663","a0qWE00000W9iS9YAJ","1.01","LLC_BI__Bulk_Pledge_Asset_Details","","","false","","","","","false","42787893627471830","LLC_BI__Loan_Collateral2__c"
"a0vWE00000GwXlwYAF","false","SC-000031735","a0qWE00000W9iknYAB","1.01","Pledge_Collateral_Override","","","false","","","","","false","42835689990286554","LLC_BI__Loan_Collateral2__c"
"a0vWE00000GwXlxYAF","false","SC-000031736","a0qWE00000W9ihDYAR","1.01","Collateral_Valuation_Possessory_CD","","0.0","false","","","Collateral Valuation","","false","42837442763953770","LLC_BI__Collateral__c"
"a0vWE00000GwXm1YAF","false","SC-000031740","a0qWE00000W9ihkYAB","1.01","Collateral_Valuation_Possessory_Other","","0.0","false","","","Collateral Valuation","","false","42851729174307769","LLC_BI__Collateral__c"
"a0vWE00000GwXm8YAF","false","SC-000031747","a0qWE00000W9iYBYAZ","1.01","Pledge_Collateral_Override","","","false","","","","","false","42861181166043724","LLC_BI__Loan_Collateral2__c"
"a0vWE00000GwXmIYAV","false","SC-000031757","a0qWE00000W9igBYAR","1.01","Pledge_Collateral_Override","","","false","","","","","false","42881558673833325","LLC_BI__Loan_Collateral2__c"
"a0vWE00000GwXmRYAV","false","SC-000031766","a0qWE00000W9iXFYAZ","1.01","Collateral_Valuation_Possessory_Securiti","","0.0","false","","","Collateral Valuation","","false","42892857935384952","LLC_BI__Collateral__c"
"a0vWE00000GwXmYYAV","false","SC-000031773","a0qWE00000W9igtYAB","1.01","Collateral_Valuation_Titled_Motor_Vehicl","","0.0","false","","","Collateral Valuation","","false","42897207519224636","LLC_BI__Collateral__c"
"a0vWE00000GwXnuYAF","false","SC-000031857","a0qWE00000W9imUYAR","1.01","LLC_BI__Collateral_Search_Results","","","false","","","Search Results","","false","42927841647060201","LLC_BI__Collateral__c"
"a0vWE00000GwXo0YAF","false","SC-000031863","a0qWE00000W9iRrYAJ","1.01","Pledge_Collateral_Override","","","false","","","","","false","42942274663986523","LLC_BI__Loan_Collateral2__c"
"a0vWE00000GwXoEYAV","false","SC-000031877","a0qWE00000W9ilZYAR","1.01","LLC_BI__Collateral_Search_Results","","","false","","","Search Results","","false","42957291244119398","LLC_BI__Collateral__c"
"a0vWE00000GwXoNYAV","false","SC-000031886","a0qWE00000W9igWYAR","1.01","LLC_BI__Collateral_Search_Results","","","false","","","Search Results","","false","42972880718658890","LLC_BI__Collateral__c"
"a0vWE00000GwXovYAF","false","SC-000031920","a0qWE00000W9ikqYAB","1.01","LLC_BI__Collateral_Search_Results","","","false","","","Search Results","","false","42982006763027512","LLC_BI__Collateral__c"
"a0vWE00000GwXp0YAF","false","SC-000031925","a0qWE00000W9ihdYAB","1.01","Collateral_Valuation_Possessory_LOC","","0.0","false","","","Collateral Valuation","","false","42994964500457479","LLC_BI__Collateral__c"
