"Id","OwnerId","IsDeleted","Name","nFORCE__Alternate_Label__c","nFORCE__Conditional_Display_Criteria__c","nFORCE__Default_Value__c","nFORCE__Field_Hint__c","nFORCE__Field_Name__c","nFORCE__Format_Description__c","nFORCE__Format_Enabled__c","nFORCE__Format_Expression__c","nFORCE__Format_Message__c","nFORCE__Is_Hidden__c","nFORCE__Is_Read_Only__c","nFORCE__Is_Required__c","nFORCE__Output_Expression__c","nFORCE__SLDS_Column_Size__c","nFORCE__Screen_Section__c","nFORCE__Tooltip_Contents__c","nFORCE__Tooltip_Enabled__c","nFORCE__Tooltip_Text__c","nFORCE__lookupKey__c","nFORCE__sObject_Name__c","nFORCE__Is_Editable__c","nFORCE__Autocomplete_Attribute_Value__c","nFORCE__Is_Header__c","nFORCE__Is_Important__c","nFORCE__Filter_Criteria__c","nFORCE__Filter_Display_Name__c","nFORCE__Is_Active__c","nFORCE__Is_Filter_Active__c","nFORCE__Is_Conditional_Lookup__c","nFORCE__Defined_Picklist_Values__c","nFORCE__Address_Part__c","nPortal__Picklist_Buttons_Enabled__c"
"a3Tbn000000NXBMEA4","005bn000003k2JdAAI","","FC-000595","","","","","LLC_BI__Borrower_Type__c","","false","","","false","true","false","","","a2Fbn000000DvTlEAK","","false","","42202455729635182","LLC_BI__Legal_Entities__c","false","","false","false","","","false","false","false","","","false"
"a3Tbn000000NXBLEA4","005bn000003k2JdAAI","","FC-000594","Doing Business As","","","","LLC_BI__Doing_Business_As__r.Name","","false","","","false","false","false","","","a2Fbn000000DvTiEAK","","false","","42232764291109098","LLC_BI__Legal_Entities__c","false","","false","false","","","false","false","false","","","false"
"a3Tbn000000NX6tEAG","005bn000003k2JdAAI","","FC-000318","","","","","Name","","false","","","false","true","false","","","a2Fbn000000C3X1EAK","","false","","42242293480412932","LLC_BI__Credit_Memo_Modifcation__c","false","","false","false","","","false","false","false","","","false"
"a3Tbn000000LXkFEAW","005bn000003q1G5AAI","","FC-000112","Do not display","","-","","SIOC__Address1Line4__c","","false","","","true","false","false","","","a2Fbn000000CX0DEAW","","false","","42252366127546577","SIOC__CompanyInfo__c","false","","false","false","","","false","false","false","","","false"
"a3Tbn000000KmWQEA0","005bn000003k2JdAAI","","FC-000016","","","","","Name","","false","","","false","true","false","","","a2Fbn000000C3VHEA0","","false","","42258866755038037","LLC_BI__Loan__r","false","","false","false","","","false","false","false","","","false"
"a3Tbn000000NX6qEAG","005bn000003k2JdAAI","","FC-000315","","","","","FirstName","","false","","","false","false","false","","2.0","a2Fbn000000DvRVEA0","","false","","42274058602214080","Contact","false","","false","false","","","false","false","false","","","false"
"a3Tbn000000MFQQEA4","005bn000003k2JdAAI","","FC-000126","","","","","LLC_BI__Approved_Loan_Amount__c","","false","","","false","true","false","","","a2Fbn000000CzG4EAK","","false","","42330668526596006","LLC_BI__Loan__c","false","","false","false","","","false","false","false","","","false"
"a3Tbn000000NXBuEAO","005bn000003k2JdAAI","","FC-000629","Doing Business As","","","","LLC_BI__Doing_Business_As__r.Name","","false","","","false","false","false","","","a2Fbn000000DvU7EAK","","false","","42351442277867026","LLC_BI__Legal_Entities__c","false","","false","false","","","false","false","false","","","false"
"a3Tbn000000KmV8EAK","005bn000003k2JdAAI","","FC-000104","","","Booked","","LLC_BI__Stage__c","","false","","","false","false","false","","","a2Fbn000000C3lfEAC","","false","","42376372932960978","LLC_BI__Loan__c","false","","false","false","","Stages to Display","false","false","false","","","false"
"a3Tbn000000NW2PEAW","005bn000003k2JdAAI","","FC-000195","","","","","Id","","false","","","true","false","false","","","a2Fbn000000DtmfEAC","","false","","42380993084780076","LLC_BI__Funding_Method__c","false","","false","false","","","false","false","false","","","false"
"a3Tbn000000NX6WEAW","005bn000003k2JdAAI","","FC-000295","","","{{artifact}}","","LLC_BI__Loan__c","","false","","","true","false","false","","","a2Fbn000000DvR5EAK","","false","","42406135566526985","LLC_BI__Income__c","false","","false","false","","","false","false","false","","","false"
"a3Tbn000000MFRREA4","005bn000003k2JdAAI","","FC-000189","","","{{artifact}}","","LLC_BI__Loan__c","","false","","","true","false","false","","","a2Fbn000000CzH8EAK","","false","","424061355665269857","LLC_BI__Income__c","false","","false","false","","","false","false","false","","","false"
"a3Tbn000000LXk9EAG","005bn000003q1G5AAI","","FC-000106","Business Name","","Name not found","","Name","","false","","","false","false","false","","","a2Fbn000000CX0DEAW","","false","","42436853103237874","SIOC__CompanyInfo__c","false","","false","false","","","false","false","false","","","false"
"a3Tbn000000KmVCEA0","005bn000003k2JdAAI","","FC-000101","","","","","LLC_BI__Participation_Amount__c","","false","","","false","true","false","","","a2Fbn000000C3imEAC","","false","","42514233700262164","LLC_BI__Participation__c","false","","false","false","","","false","false","false","","","false"
