"Id","IsDeleted","Name","LastViewedDate","LastReferencedDate","nFORCE__Screen__c","nFORCE__Are_Columns_Sortable__c","nFORCE__Auto_Save__c","nFORCE__Break_Page_After__c","nFORCE__Break_Page_Before__c","nFORCE__Conditional_Display_Criteria__c","nFORCE__Default_Editable__c","nFORCE__Default_Rendered__c","nFORCE__Disable_Print__c","nFORCE__Disable_Read_Only_View__c","nFORCE__Display_Input_Address_Component__c","nFORCE__Display_Order__c","nFORCE__Display_Toggle_Effect__c","nFORCE__Display_Toggle_Header__c","nFORCE__Display_Toggle_Link__c","nFORCE__Headless__c","nFORCE__Inactive__c","nFORCE__Instructions_Text__c","nFORCE__Is_Editable__c","nFORCE__Layout__c","nFORCE__Number_of_Columns__c","nFORCE__Optional_Configuration__c","nFORCE__Parent_Screen_Section__c","nFORCE__Screen_View__c","nFORCE__Section_Resource__c","nFORCE__Validation_Service__c","nFORCE__Widget__c","nFORCE__lookupKey__c","nFORCE__sObject_Type__c","Custom_Code_in_Screen_Section__c","nPortal__Portal_Header_Text__c","nPortal__Portal_Subheader_Text__c"
"a0qWE00000UNVzfYAH","false","Rate Structure","","","a0sWE000002YqgtYAC","false","false","false","false","","true","true","false","false","false","0.0","slide","true","false","false","false","","false","","","","","","MappedSObjectScreenResource","","","01391620937672158","LLC_BI__Loan__c","","",""
"a0qWE00000UNVwZYAX","false","Balance Details","","","a0sWE000002YqhFYAS","false","false","false","false","","false","true","false","false","false","3.0","slide","true","false","false","false","","false","","","","","a16WE000008tox1YAA","MappedSObjectScreenResource","","","01481585604341049","LLC_BI__Loan__c","","",""
"a0qWE00000UydOhYAJ","false","DEP Primary Identification","","","a0sWE000002cbjtYAA","false","false","false","false","","false","false","false","false","false","1300.0","slide","true","false","false","false","","true","","","","","a16WE000009UzLUYA0","MappedSObjectScreenResource","","","01631641354325403","Contact","","",""
"a0qWE00000UNVj8YAH","false","Underwriting_Overview","","","a0sWE000002YqY4YAK","false","false","false","false","","true","true","false","false","false","60.0","slide","true","false","false","false","","true","","","","","","MappedSObjectScreenResource","","","01721663700625422","LLC_BI__Loan__c","","",""
"a0qWE00000UNVzgYAH","false","Payment Structure","","","a0sWE000002YqiGYAS","false","false","false","false","","true","true","false","false","false","1.0","slide","true","false","false","false","","false","","","","","","MappedSObjectScreenResource","","","02101619447515170","LLC_BI__Loan__c","","",""
"a0qWE00000UNVwaYAH","false","UI Collateral Record Schedule","","","a0sWE000002YqgbYAC","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","","","MappedSObjectScreenResource","","","02231619447515164","LLC_BI__Loan_Collateral2__c","","",""
"a0qWE00000UydOlYAJ","false","DEP Primary Identification - Passport","","","a0sWE000002cb6jYAA","false","false","false","false","{{IF=/""A/""}}{{COND=/""A/"" FIELD=/""Contact.cs_Primary_ID_Type__c/"" IS=/""Passport/""}}{{ENDIF}}","false","false","false","false","false","2100.0","slide","true","false","false","false","","true","","","","a0qWE00000UyeAXYAZ","a16WE000009Uz9AYAS","MappedSObjectScreenResource","","","02561640206777983","Contact","","",""
"a0qWE00000UNVzhYAH","false","Fees Summary","","","a0sWE000002YqgWYAS","false","false","false","false","","false","true","false","false","false","0.0","slide","true","false","false","false","","false","","","","","","MappedSObjectScreenResource","","","03071619447515171","LLC_BI__Loan__c","","",""
"a0qWE00000UNVj9YAH","false","UI Related Pledged Collateral Schedule","","","a0sWE000002YqZ9YAK","false","false","false","false","","true","true","false","false","false","20.0","slide","true","false","false","false","","true","","","","","","MappedSObjectScreenResource","","","03141600720268022","LLC_BI__Loan_Collateral2__c","","",""
"a0qWE00000UNVbKYAX","false","Approval Details","","","a0sWE000002YqPlYAK","false","false","false","false","","false","true","false","false","false","0.0","slide","true","false","false","false","","false","","","","","a16WE000008tp0BYAQ","MappedSObjectScreenResource","","","03421620937672162","LLC_BI__Loan__c","","",""
