"Id","IsDeleted","Name","nFORCE__Screen__c","nFORCE__Are_Columns_Sortable__c","nFORCE__Auto_Save__c","nFORCE__Break_Page_After__c","nFORCE__Break_Page_Before__c","nFORCE__Conditional_Display_Criteria__c","nFORCE__Default_Editable__c","nFORCE__Default_Rendered__c","nFORCE__Disable_Print__c","nFORCE__Disable_Read_Only_View__c","nFORCE__Display_Input_Address_Component__c","nFORCE__Display_Order__c","nFORCE__Display_Toggle_Effect__c","nFORCE__Display_Toggle_Header__c","nFORCE__Display_Toggle_Link__c","nFORCE__Headless__c","nFORCE__Inactive__c","nFORCE__Instructions_Text__c","nFORCE__Is_Editable__c","nFORCE__Layout__c","nFORCE__Number_of_Columns__c","nFORCE__Optional_Configuration__c","nFORCE__Parent_Screen_Section__c","nFORCE__Screen_View__c","nFORCE__Section_Resource__c","nFORCE__Validation_Service__c","nFORCE__Widget__c","nFORCE__lookupKey__c","nFORCE__sObject_Type__c","Custom_Code_in_Screen_Section__c","nPortal__Portal_Header_Text__c","nPortal__Portal_Subheader_Text__c"
"a0qWD00000GWKCAYA5","false","Onboarding","a0sWD00000XpetwYAB","false","false","false","false","","false","false","false","false","false","1.0","slide","true","false","false","false","","false","","","","","","MappedSObjectScreenResource","","","00241576590235161","LLC_BI__Treasury_Service__c","","",""
"a0qWD00000GWKCBYA5","false","Employer Info","a0sWD00000Xpf6yYAB","false","false","false","false","","true","true","false","false","false","20.0","slide","true","false","true","false","","true","","","","","","MappedSObjectScreenResource","","","00351600720341645","Contact","","",""
"a0qWD00000GWFQxYAP","false","Participations","a0sWD00000XpbAxYAJ","false","false","false","false","","false","true","false","false","false","1.0","slide","true","false","false","false","","true","","","","","a16WD000005UOJRYA4","MappedSObjectHierarchyScreenResource","","","00551620937672162","LLC_BI__Loan__c","","",""
"a0qWD00000GWFmfYAH","false","Risk Ratings","a0sWD00000XpbMBYAZ","false","false","false","false","","false","true","false","false","false","0.0","slide","true","false","false","false","","false","","","","","","MappedSObjectHierarchyScreenResource","","","00601585604341051","LLC_BI__Loan__c","","",""
"a0qWD00000GWFZEYA5","false","Enhanced Fees Management","a0sWD00000XpbCtYAJ","false","false","false","false","","true","true","false","false","false","0.0","slide","true","false","false","false","","true","","","","","","MappedSObjectHierarchyScreenResource","","","00741663700625418","LLC_BI__Loan__c","","",""
"a0qWD00000GWFmgYAH","false","Third Party Reports","a0sWD00000XpbLbYAJ","false","false","false","false","","false","true","false","false","false","1.0","slide","true","false","false","false","","true","","","","","a16WD000005UOK9YAO","MappedSObjectHierarchyScreenResource","","","01211620937672162","LLC_BI__Loan__c","","",""
"a0qWD00000GWFoBYAX","false","Rate Structure","a0sWD00000XpbLjYAJ","false","false","false","false","","true","true","false","false","false","0.0","slide","true","false","false","false","","false","","","","","","MappedSObjectScreenResource","","","01391620937672158","LLC_BI__Loan__c","","",""
"a0qWD00000GWFmhYAH","false","Balance Details","a0sWD00000XpbM5YAJ","false","false","false","false","","false","true","false","false","false","3.0","slide","true","false","false","false","","false","","","","","a16WD000005UNprYAG","MappedSObjectScreenResource","","","01481585604341049","LLC_BI__Loan__c","","",""
"a0qWD00000GWJV3YAP","false","DEP Primary Identification","a0sWD00000XpfT1YAJ","false","false","false","false","","false","false","false","false","false","1300.0","slide","true","false","false","false","","true","","","","","a16WD000005UOHQYA4","MappedSObjectScreenResource","","","01631641354325403","Contact","","",""
"a0qWD00000GWFZFYA5","false","Underwriting_Overview","a0sWD00000XpbCuYAJ","false","false","false","false","","true","true","false","false","false","60.0","slide","true","false","false","false","","true","","","","","","MappedSObjectScreenResource","","","01721663700625422","LLC_BI__Loan__c","","",""
"a0qWD00000GWKCCYA5","false","Loan Compliances (HMDA Effective-2018)","a0sWD00000XpespYAB","false","false","false","false","","false","true","false","false","false","0.0","slide","true","false","false","false","","false","","","","","","MappedSObjectHierarchyScreenResource","","","01871585311470644","LLC_BI__Loan__c","","",""
"a0qWD00000GWFoCYAX","false","Payment Structure","a0sWD00000XpbN6YAJ","false","false","false","false","","true","true","false","false","false","1.0","slide","true","false","false","false","","false","","","","","","MappedSObjectScreenResource","","","02101619447515170","LLC_BI__Loan__c","","",""
"a0qWD00000GWFmiYAH","false","UI Collateral Record Schedule","a0sWD00000XpbLRYAZ","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","","","MappedSObjectScreenResource","","","02231619447515164","LLC_BI__Loan_Collateral2__c","","",""
"a0qWD00000GWKCDYA5","false","Collateral Pledged","a0sWD00000XpesrYAB","false","false","false","false","","false","true","false","false","false","0.0","slide","true","false","false","false","","false","","6.0","","","","MappedSObjectHierarchyScreenResource","","","02342B02_3640_463F_BA73_006831274C02","LLC_BI__Loan__c","","",""
"a0qWD00000GWKCEYA5","false","Applicant Details","a0sWD00000Xpet0YAB","false","false","false","false","","true","true","false","false","false","20.0","slide","true","false","true","false","","true","","","","","a16WD000005UNspYAG","MappedSObjectScreenResource","","","02511663700625415","Contact","","",""
"a0qWD00000GWJV4YAP","false","DEP Primary Identification - Passport","a0sWD00000XpfShYAJ","false","false","false","false","{{IF=/""A/""}}{{COND=/""A/"" FIELD=/""Contact.cs_Primary_ID_Type__c/"" IS=/""Passport/""}}{{ENDIF}}","false","false","false","false","false","2100.0","slide","true","false","false","false","","true","","","","a0qWD00000GWJWNYA5","a16WD000005UOH1YAO","MappedSObjectScreenResource","","","02561640206777983","Contact","","",""
"a0qWD00000GWKCFYA5","false","Other","a0sWD00000Xpf6eYAB","false","false","false","false","","true","true","false","false","false","3.0","slide","true","false","false","false","","true","","","","","","MappedSObjectScreenResource","","","02941575395465699","LLC_BI__Loan__c","","",""
"a0qWD00000GWKCGYA5","false","Approvals","a0sWD00000Xpf5VYAR","false","false","false","false","","true","false","false","false","false","3.0","slide","true","false","false","false","","true","","","","","","MappedSObjectScreenResource","","","03031576590631689","LLC_BI__Treasury_Service__c","","",""
"a0qWD00000GWFoDYAX","false","Fees Summary","a0sWD00000XpbLMYAZ","false","false","false","false","","false","true","false","false","false","0.0","slide","true","false","false","false","","false","","","","","","MappedSObjectScreenResource","","","03071619447515171","LLC_BI__Loan__c","","",""
"a0qWD00000GWFZGYA5","false","UI Related Pledged Collateral Schedule","a0sWD00000XpbDzYAJ","false","false","false","false","","true","true","false","false","false","20.0","slide","true","false","false","false","","true","","","","","","MappedSObjectScreenResource","","","03141600720268022","LLC_BI__Loan_Collateral2__c","","",""
"a0qWD00000GWJeUYAX","false","SBA Transaction Description (Sources & Uses)","a0sWD00000XpeovYAB","false","false","false","false","","false","false","false","false","false","150.0","slide","true","false","false","false","","false","","","","","","SObjectScreenResource","","a17WD0000BhJKVmYQO","031e792c-218e-c4f3","LLC_BI__Product_Package__c","","",""
"a0qWD00000GWFZHYA5","false","Asset Schedule","a0sWD00000XpbCpYAJ","false","false","false","false","","true","true","false","false","false","10.0","slide","true","false","false","false","","true","","","","","","MappedSObjectScreenResource","","","03341602764631668","nRetail__Asset__c","","",""
"a0qWD00000GWFQyYAP","false","Approval Details","a0sWD00000XpUSfYAN","false","false","false","false","","false","true","false","false","false","0.0","slide","true","false","false","false","","false","","","","","a16WD000005UOK2YAO","MappedSObjectScreenResource","","","03421620937672162","LLC_BI__Loan__c","","",""
"a0qWD00000GWKCHYA5","false","Booked Information","a0sWD00000XpestYAB","false","false","false","false","","false","true","false","false","false","4.0","slide","true","false","false","false","","false","","","","","","MappedSObjectScreenResource","","","03486f31-04d3-070e","LLC_BI__Loan__c","","",""
"a0qWD00000GWFoEYAX","false","Rate Structure Details Floating","a0sWD00000XpbLjYAJ","false","false","false","false","","false","false","false","false","false","20.0","slide","true","false","false","false","","false","","","","","","MappedSObjectScreenResource","","","03511620937672158","LLC_BI__Pricing_Rate_Component__c","","",""
"a0qWD00000GWFdlYAH","false","Primary Account","a0sWD00000XpbFUYAZ","false","false","false","false","","false","true","false","false","false","7.0","slide","true","false","false","false","","true","","","","","","MappedSObjectScreenResource","","","0358135F5A014D30B81F5A4F20404C2C","LLC_BI__Loan__c","","",""
"a0qWD00000GWKCIYA5","false","Authorized Administrators","a0sWD00000Xpeu7YAB","false","false","false","false","","true","false","false","false","false","1.0","slide","true","false","false","false","","true","","4.0","","","","MappedSObjectHierarchyScreenResource","","","03671576590368667","LLC_BI__Treasury_Service__c","","",""
"a0qWD00000GWFZIYA5","false","Loan Team Members","a0sWD00000XpbEEYAZ","false","false","false","false","","false","true","false","false","false","0.0","slide","true","false","false","false","","false","","","","","","MappedSObjectHierarchyScreenResource","","","03811585311470663","LLC_BI__Loan__c","","",""
"a0qWD00000GWFoFYAX","false","Risk Rating","a0sWD00000XpbMmYAJ","false","false","false","false","","false","true","false","false","false","0.0","slide","true","false","false","false","","false","","","","","","MappedSObjectHierarchyScreenResource","","","04231619447515170","LLC_BI__Loan__c","","",""
"a0qWD00000GWFoGYAX","false","Rate Structure Details Fixed","a0sWD00000XpbLXYAZ","false","false","false","false","","false","false","false","false","false","10.0","slide","true","false","false","false","","false","","","","","","MappedSObjectScreenResource","","","04401619447515165","LLC_BI__Pricing_Rate_Component__c","","",""
"a0qWD00000GWKCJYA5","false","Product Summary","a0sWD00000XpeuZYAR","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","false","","","","","","MappedSObjectHierarchyScreenResource","","","0463dc72-1809-0d00","LLC_BI__Treasury_Service__c","","",""
"a0qWD00000GWFZJYA5","false","Next Steps","a0sWD00000XpbDSYAZ","false","false","false","false","","true","false","false","false","false","10.0","slide","true","false","false","false","","true","","","","","a16WD000005UNsfYAG","MappedSObjectScreenResource","","","04911602764631672","LLC_BI__Loan__c","","",""
"a0qWD00000GWFoHYAX","false","Booked Information","a0sWD00000XpbMnYAJ","false","false","false","false","","false","true","false","false","false","4.0","slide","true","false","false","false","","false","","","","","","MappedSObjectScreenResource","","","04981619447515175","LLC_BI__Loan__c","","",""
"a0qWD00000GWKCKYA5","false","Relationship Summary","a0sWD00000XpepYYAR","false","false","false","false","","false","false","false","false","false","10.0","slide","true","false","false","false","","false","","","","","","MappedSObjectHierarchyScreenResource","","","04f06bf9-c7a0-d848","LLC_BI__Product_Package__c","","",""
"a0qWD00000GWFZKYA5","false","Enhanced Fees Management","a0sWD00000XpbE9YAJ","false","false","false","false","","true","true","false","false","false","0.0","slide","true","false","false","false","","true","","","","","","MappedSObjectHierarchyScreenResource","","","05171602764631666","LLC_BI__Loan__c","","",""
"a0qWD00000GWFmjYAH","false","HMDA","a0sWD00000XpbLLYAZ","false","false","false","false","","false","true","false","false","false","0.0","slide","true","false","false","false","","true","","","","","","MappedSObjectHierarchyScreenResource","","","05221619447515178","LLC_BI__Loan__c","","",""
"a0qWD00000GWKCLYA5","false","Secured Commercial Personal Role","a0sWD00000Xpf6iYAB","false","false","false","false","","true","false","false","false","false","0.0","slide","true","false","false","false","","true","","","","","","MappedSObjectListScreenResource","","","05301579293662935","LLC_BI__Connection__c","","",""
"a0qWD00000GWFZLYA5","false","Enhanced Fee Loan Aggregate Summary","a0sWD00000XpbCtYAJ","false","false","false","false","","true","true","false","false","false","20.0","slide","true","false","false","false","","true","","","","","","MappedSObjectScreenResource","","","05391663700625419","LLC_BI__Fee_Loan_Aggregate__c","","",""
"a0qWD00000GWKCMYA5","false","Action Taken","a0sWD00000XpfR3YAJ","false","false","false","false","","true","true","false","false","false","1.0","slide","true","false","false","false","","true","","","","","","MappedSObjectScreenResource","","","0556ecf6-b4c0-7068","LLC_BI__Loan__c","","",""
"a0qWD00000GWKCNYA5","false","Referral","a0sWD00000Xpf6UYAR","false","false","false","false","","true","true","false","false","false","2.0","slide","true","false","false","false","","true","","","","","","MappedSObjectScreenResource","","","05721578346510379","LLC_BI__Loan__c","","",""
"a0qWD00000GWKCOYA5","false","Action Taken","a0sWD00000XpfRPYAZ","false","false","false","false","","true","false","false","false","false","2.0","slide","true","false","false","false","","true","","","","","","MappedSObjectScreenResource","","","05877fe5-cd5c-e1bc","LLC_BI__Loan__c","","",""
"a0qWD00000GWKCPYA5","false","Account Debt","a0sWD00000Xpf6SYAR","false","false","false","false","","true","true","false","false","false","0.0","slide","true","false","false","false","","true","","","","","","MappedSObjectHierarchyScreenResource","","","05a2d69f-de03-4d35","LLC_BI__Loan__c","","",""
"a0qWD00000GWKCQYA5","false","Entity Involvement","a0sWD00000Xpf4wYAB","false","false","false","false","","false","true","false","false","false","0.0","slide","true","false","false","false","","false","","6.0","","","","MappedSObjectHierarchyScreenResource","","","06336B40_3200_437F_804E_670528630A76","LLC_BI__Loan__c","","",""
"a0qWD00000GWFZMYA5","false","Add Non Standard Fee","a0sWD00000XpbE9YAJ","false","false","false","false","","true","true","false","false","false","10.0","slide","true","false","false","false","","true","","","","","","MappedSObjectScreenResource","","","06371602764631667","LLC_BI__Fee__c","","",""
"a0qWD00000GWKCRYA5","false","Loan","a0sWD00000Xpf5GYAR","false","false","false","false","","false","true","false","false","false","0.0","slide","true","false","false","false","","false","","6.0","","","","MappedSObjectScreenResource","","","06391F7F_4769_4416_BF24_6D6C4F1C552B","LLC_BI__Loan__c","","",""
"a0qWD00000GWKCSYA5","false","Daily Limit Change","a0sWD00000Xpf5AYAR","false","false","false","false","","true","false","false","false","false","1.0","slide","true","false","false","false","","true","","5.0","","","","MappedSObjectHierarchyScreenResource","","","06441576590235162","LLC_BI__Treasury_Service__c","","",""
"a0qWD00000GWJV5YAP","false","Mailing Address","a0sWD00000XpfShYAJ","false","false","false","false","{{IF=/""A AND B AND C/""}}{{COND=/""A/"" FIELD=/""Contact.cm_Mailing_Same_as_Physical__c/"" IS=/""No/""}}{{COND=/""B/"" FIELD=/""Contact.cm_Is_Existing_Customer__c/"" IS=/""0/""}}{{COND=/""C/"" FIELD=/""Contact.LLC_BI__Identity_Verification_Status__c/"" NOT=/""Pass/""}}{{ENDIF}}","false","false","false","false","false","1645.0","slide","true","false","false","false","","true","","","","a0qWD00000GWJV7YAP","a16WD000005UOHJYA4","MappedSObjectScreenResource","","","06861640206777980","Contact","","",""
"a0qWD00000GWFZNYA5","false","Adverse Actions/Counter Offers","a0sWD00000XpbCiYAJ","false","false","false","false","","true","false","false","false","false","5.0","slide","true","false","false","false","","true","","","","","a16WD000005UNsgYAG","MappedSObjectHierarchyScreenResource","","","07031663700625425","LLC_BI__Loan__c","","",""
"a0qWD00000GWFZOYA5","false","Structure Info","a0sWD00000XpbCmYAJ","false","false","false","false","","true","true","false","false","false","3.0","slide","true","false","false","false","","true","","","","","","MappedSObjectScreenResource","","","07251585311470672","LLC_BI__Loan__c","","",""
"a0qWD00000GWFQzYAP","false","Tasks","a0sWD00000XpUSVYA3","false","false","false","false","","false","true","false","false","false","1.0","slide","true","false","false","true","","true","","","","","","MappedSObjectHierarchyScreenResource","","","07461620937672167","LLC_BI__Loan__c","","",""
"a0qWD00000GWKCTYA5","false","Collateral","a0sWD00000Xpf7EYAR","false","false","false","false","","true","false","false","false","false","0.0","slide","true","false","false","false","","true","","","","","","MappedSObjectScreenResource","","","074a6539-e600-35c8","LLC_BI__Loan__c","","",""
"a0qWD00000GWKCUYA5","false","Loan Lifecycle","a0sWD00000XpfR3YAJ","false","false","false","false","","true","true","false","false","false","3.0","slide","true","false","false","false","","true","","","","","","MappedSObjectScreenResource","","","07ae388f-a909-5624","LLC_BI__Loan__c","","",""
"a0qWD00000GWJV6YAP","false","DEP Primary Identification- Passport","a0sWD00000XpfT2YAJ","false","false","false","false","{{IF=/""A/""}}{{COND=/""A/"" FIELD=/""Contact.cs_Primary_ID_Type__c/"" IS=/""Passport/""}}{{ENDIF}}","false","false","false","false","false","1500.0","slide","true","false","false","false","","true","","","","a0qWD00000GWJVFYA5","a16WD000005UOHNYA4","MappedSObjectScreenResource","","","08061641831940770","Contact","","",""
"a0qWD00000GWFoIYAX","false","Loan Team Members","a0sWD00000XpbMjYAJ","false","false","false","false","","false","true","false","false","false","0.0","slide","true","false","false","false","","false","","","","","","MappedSObjectHierarchyScreenResource","","","08131619447515174","LLC_BI__Loan__c","","",""
"a0qWD00000GWFR0YAP","false","Add Debt","a0sWD00000XpUSWYA3","false","false","false","false","","true","true","false","false","false","3.0","slide","true","false","false","false","","true","","","","","","MappedSObjectScreenResource","","","08171560278867254","LLC_BI__Debt__c","","",""
"a0qWD00000GWKCVYA5","false","Collateral Summary","a0sWD00000XpepYYAR","false","false","false","false","","false","false","false","false","false","40.0","slide","true","false","false","false","","false","","","","","","MappedSObjectHierarchyScreenResource","","","08273159-8559-cfea","LLC_BI__Product_Package__c","","",""
"a0qWD00000GWJeGYAX","false","Structure Info","a0sWD00000XpfVDYAZ","false","false","false","false","","true","true","false","false","false","3.0","slide","true","false","false","false","","true","","","","","a16WD000005UOJBYA4","MappedSObjectScreenResource","","","08301585604341048","LLC_BI__Loan__c","","",""
"a0qWD00000GWFZPYA5","false","Add Debt","a0sWD00000XpbCgYAJ","false","false","false","false","","true","true","false","false","false","30.0","slide","true","false","false","false","","true","","","","","","MappedSObjectScreenResource","","","08701600720268025","LLC_BI__Debt__c","","",""
"a0qWD00000GWFZQYA5","false","SBL Eligibility Loan","a0sWD00000XpbE8YAJ","false","false","false","false","","false","false","false","false","false","0.0","slide","true","false","false","false","","true","","","","","","MappedSObjectListScreenResource","","","08711666029075344","LLC_BI__Loan__c","","",""
"a0qWD00000GWJV7YAP","false","DEP Personal Contact - Personal Info - Business","a0sWD00000XpfShYAJ","false","false","false","false","{{IF=/""A AND B/""}} {{COND=/""A/"" FIELD=/""Contact.cm_Is_Existing_Customer__c/"" IS=/""0/""}}{{COND=/""B/"" FIELD=/""Contact.LLC_BI__Identity_Verification_Status__c/"" NOT=/""Pass/""}}{{ENDIF}}","true","false","false","false","false","1640.0","slide","true","false","false","false","","true","","","","a0qWD00000GWJW8YAP","a16WD000005UOGvYAO","MappedSObjectScreenResource","","","08721640206777979","Contact","","",""
"a0qWD00000GWFoJYAX","false","HMDA","a0sWD00000XpbL7YAJ","false","false","false","false","","true","true","false","false","false","4.0","slide","true","false","false","false","","true","","","","","","MappedSObjectHierarchyScreenResource","","","09161585604341050","LLC_BI__Loan__c","","",""
"a0qWD00000GWKCWYA5","false","Associated Accounts","a0sWD00000Xpf4qYAB","false","false","false","false","","true","false","false","false","false","","slide","true","false","false","false","","true","","","","","","MappedSObjectHierarchyScreenResource","","","09301575852928083","LLC_BI__Treasury_Service__c","","",""
"a0qWD00000GWKCXYA5","false","ACH Non Prefunding Credit Score","a0sWD00000XpetOYAR","false","false","false","false","{{IF=""A""}}{{COND=""A"" FIELD=""LLC_BI__Treasury_Service__c.Select_Risk_Score_Template__c"" IS=""ACH Non Prefunding""}}{{ENDIF}}","true","true","false","false","false","3.0","slide","true","false","false","false","","true","","","","a0qWD00000GWIjjYAH","","MappedSObjectScreenResource","","","09301576590026017","LLC_BI__Treasury_Service__c","","",""
"a0qWD00000GWJV8YAP","false","Mailing Address - Locked","a0sWD00000XpfT1YAJ","false","false","false","false","{{IF=/""(A OR B) AND C/""}}{{COND=/""A/"" FIELD=/""Contact.cm_Is_Existing_Customer__c/"" IS=/""1/""}}{{COND=/""B/"" FIELD=/""Contact.LLC_BI__Identity_Verification_Status__c/"" IS=/""Pass/""}}{{COND=/""C/"" FIELD=/""Contact.cm_Mailing_Same_as_Physical__c/"" IS=/""No/""}}{{ENDIF}}","false","false","false","false","false","1200.0","slide","true","false","false","false","","false","","","","a0qWD00000GWJVAYA5","a16WD000005UOGsYAO","MappedSObjectScreenResource","","","09511641354325409","Contact","","",""
"a0qWD00000GWKCYYA5","false","Onboarding","a0sWD00000XpetoYAB","false","false","false","false","","false","false","false","false","false","1.0","slide","true","false","false","false","","false","","","","","","MappedSObjectScreenResource","","","09571576590514300","LLC_BI__Treasury_Service__c","","",""
"a0qWD00000GWFR1YAP","false","Borrowing Structure","a0sWD00000XpbAoYAJ","false","false","false","false","","false","true","false","false","false","0.0","slide","true","false","false","false","","false","","","","","","MappedSObjectHierarchyScreenResource","","","09601560278867311","LLC_BI__Loan__c","","",""
"a0qWD00000GWKCZYA5","false","Daily Limit Change","a0sWD00000Xpf6AYAR","false","false","false","false","","true","false","false","false","false","1.0","slide","true","false","false","false","","true","","5.0","","","","MappedSObjectHierarchyScreenResource","","","09641575853422745","LLC_BI__Treasury_Service__c","","",""
"a0qWD00000GWFZRYA5","false","Exposure Confirmation","a0sWD00000XpbCyYAJ","false","false","false","false","","true","false","false","false","false","10.0","slide","true","false","false","false","","true","","","","","a16WD000005UNsoYAG","MappedSObjectScreenResource","","","09811602764631672","LLC_BI__Loan__c","","",""
"a0qWD00000GWFR2YAP","false","Lease Details","a0sWD00000XpbBBYAZ","false","false","false","false","","false","false","false","false","false","0.0","slide","true","false","false","false","","true","","","","","a16WD000005UOFBYA4","MappedSObjectScreenResource","","","0983g000000PAzd","LLC_BI__Loan__c","","",""
"a0qWD00000GWFR3YAP","false","Lease Details","a0sWD00000XpbBBYAZ","false","false","false","false","","false","false","false","false","false","0.0","slide","true","false","false","false","","true","","","","","","MappedSObjectScreenResource","","","0984x000000sY1h","LLC_BI__Loan__c","","",""
"a0qWD00000GWJV9YAP","false","Mailing Address","a0sWD00000XpfT1YAJ","false","false","false","false","{{IF=/""A AND B AND C/""}}{{COND=/""A/"" FIELD=/""Contact.cm_Mailing_Same_as_Physical__c/"" IS=/""No/""}}{{COND=/""B/"" FIELD=/""Contact.cm_Is_Existing_Customer__c/"" IS=/""0/""}}{{COND=/""C/"" FIELD=/""Contact.LLC_BI__Identity_Verification_Status__c/"" NOT=/""Pass/""}}{{ENDIF}}","false","false","false","false","false","1100.0","slide","true","false","false","false","","true","","","","a0qWD00000GWJVAYA5","a16WD000005UOGsYAO","MappedSObjectScreenResource","","","09881641354325409","Contact","","",""
"a0qWD00000GWJVAYA5","false","DEP Personal Contact (Individual)1","a0sWD00000XpfT1YAJ","false","false","false","false","{{IF=/""A AND B/""}} {{COND=/""A/"" FIELD=/""Contact.cm_Is_Existing_Customer__c/"" IS=/""0/""}}{{COND=/""B/"" FIELD=/""Contact.LLC_BI__Identity_Verification_Status__c/"" NOT=/""Pass/""}}{{ENDIF}}","true","false","false","false","false","1000.0","slide","true","false","false","false","","true","","","","a0qWD00000GWJW9YAP","a16WD000005UOGzYAO","MappedSObjectScreenResource","","","09951641354325410","Contact","","",""
"a0qWD00000GWKCaYAP","false","Structure Info Approved","a0sWD00000XpfRUYAZ","false","false","false","false","","false","true","false","false","false","1.0","slide","true","false","false","false","","false","","","","","","MappedSObjectScreenResource","","","09d70bd3-a0d3-49ba","LLC_BI__Loan__c","","",""
