"Id","OwnerId","IsDeleted","Name","nFORCE__Address_Part__c","nFORCE__Alternate_Label__c","nFORCE__Autocomplete_Attribute_Value__c","nFORCE__Conditional_Display_Criteria__c","nFORCE__Default_Value__c","nFORCE__Defined_Picklist_Values__c","nFORCE__Field_Hint__c","nFORCE__Field_Name__c","nFORCE__Filter_Criteria__c","nFORCE__Filter_Display_Name__c","nFORCE__Format_Description__c","nFORCE__Format_Enabled__c","nFORCE__Format_Expression__c","nFORCE__Format_Message__c","nFORCE__Is_Active__c","nFORCE__Is_Conditional_Lookup__c","nFORCE__Is_Editable__c","nFORCE__Is_Filter_Active__c","nFORCE__Is_Header__c","nFORCE__Is_Hidden__c","nFORCE__Is_Important__c","nFORCE__Is_Read_Only__c","nFORCE__Is_Required__c","nFORCE__Output_Expression__c","nFORCE__SLDS_Column_Size__c","nFORCE__Screen_Section__c","nFORCE__Tooltip_Contents__c","nFORCE__Tooltip_Enabled__c","nFORCE__Tooltip_Text__c","nFORCE__lookupKey__c","nFORCE__sObject_Name__c","nPortal__Picklist_Buttons_Enabled__c"
"a0SWD000001m8IO2AY","005al00000RVcKvAAL","false","FC-002093","","","","","","","","LLC_BI__Stage__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000GWFeSYAX","","false","","42753913296919539","LLC_BI__Loan__c",""
"a0SWD000001m8K72AI","005al00000RVcKvAAL","false","FC-002200","","","","","","","","LLC_BI__Employee_Loan__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000GWFn2YAH","","false","","42764777602405734","LLC_BI__Loan__c",""
"a0SWD000001m8cm2AA","005al00000RVcKvAAL","false","FC-002247","","Registered Address Postal Code","","","","","","SIOC__Address1PostalCode__c","","","","false","","","false","false","false","false","false","false","false","false","false","","","a0qWD00000GWKTcYAP","","false","","42767383980881519","SIOC__CompanyInfo__c",""
"a0SWD000001m8C52AI","005al00000RVcKvAAL","false","FC-001702","","","","","","","","LLC_BI__Total_Direct_Exposure__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000GWFb2YAH","","false","","42773350152705216","Account",""
"a0SWD000001m8dl2AA","005al00000RVcKvAAL","false","FC-002308","","","","","","","","SIOC__CompanyId__c","","","","false","","","false","false","false","false","false","false","false","false","false","","","a0qWD00000GWJVwYAP","","false","","42792354078376259","SIOC__CompanyInfo__c",""
"a0SWD000001m8K82AI","005al00000RVcKvAAL","false","FC-002201","","","","","","","","Mailing_Address_nCino__c","","","","false","","","false","false","false","false","false","false","false","false","false","","","a0qWD00000GWFn5YAH","","false","","42812119698671086","Contact",""
"a0SWD000001m8C62AI","005al00000RVcKvAAL","false","FC-001703","","","","","","","","LastName","","","","false","","","false","false","false","false","false","false","false","false","false","","2.0","a0qWD00000GWFbKYAX","","false","","42814121487658028","Contact",""
"a0SWD000001m8IP2AY","005al00000RVcKvAAL","false","FC-002094","","","","","","","","LLC_BI__Stage__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000GWFerYAH","","false","","42833579207111624","LLC_BI__Loan__c",""
"a0SWD000001m8C72AI","005al00000RVcKvAAL","false","FC-001704","","","","","{{Contact}}","","","LLC_BI__Contact__c","","","","false","","","false","false","false","false","false","true","false","false","false","","","a0qWD00000GWFbOYAX","","false","","42848381400074070","LLC_BI__Income__c",""
"a0SWD000001m8C82AI","005al00000RVcKvAAL","false","FC-001705","","","","","{{Contact}}","","","LLC_BI__Contact__c","","","","false","","","false","false","false","false","false","true","false","false","false","","","a0qWD00000GWFcZYAX","","false","","428483814000740701","LLC_BI__Income__c",""
"a0SWD000001m8IQ2AY","005al00000RVcKvAAL","false","FC-002095","","","","","","","","Approval_Date__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000GWFiGYAX","","false","","42853340666806500","LLC_BI__Product_Package__c",""
"a0SWD000001m8IR2AY","005al00000RVcKvAAL","false","FC-002096","","","","","","","","LLC_BI__Stage__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000GWFevYAH","","false","","4285795026268902","LLC_BI__Loan__c",""
"a0SWD000001m8IS2AY","005al00000RVcKvAAL","false","FC-002097","","","","","","","","LLC_BI__Broker_Fee__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000GWFeKYAX","","false","","42863776527579059","LLC_BI__Loan__c",""
