"Id","OwnerId","IsDeleted","Name","nFORCE__Answer_Context__c","nFORCE__App__c","nFORCE__Category__c","nFORCE__Default_Collapse_Parent_Navigation__c","nFORCE__Description__c","nFORCE__Is_Archived__c","nFORCE__Is_Questionnaire__c","nFORCE__Parent_Group__c","nFORCE__Taxonomy_Id__c","nFORCE__lookupKey__c","Description_Custom__c","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastViewedDate","LastReferencedDate","AutorabitExtId__c"
"a0XWE000002gDPn2AM","005al00000RVcKvAAL","false","OB Book Transfer","","tmmg-OBBookTransfer00-00","","false","","false","false","","","42028332044179256","","","","","","","","",""
"a0XWE000002lTk92AE","005al00000RVcKvAAL","false","Loan Main","","loan-main","","false","","false","false","","loan-main","42028527396766642","","","","","","","","",""
"a0XWE000002gDPo2AM","005al00000RVcKvAAL","false","Overdraft","","tmmg-Overdraft00-00","","false","","false","false","","","42039719763403573","","","","","","","","",""
"a0XWE000002gDPp2AM","005al00000RVcKvAAL","false","Online Banking","","tmmg-OnlineBanking01-00","","false","","false","false","","","42043961427872817","","","","","","","","",""
"a0XWE000002gDSb2AM","005al00000RVcKvAAL","false","MASTER-Loan","","m-loan","","false","","false","false","","m-loan","42044771180104939","Used in the Loan object's Commercial Workspace flexipage. Displays during Loan Stages before Approval.","","","","","","","",""
"a0XWE000002lTkE2AU","005al00000RVcKvAAL","false","Remote Deposit Capture","","tmmg-RemoteDepositCapture00-00","","false","","false","false","","tmmg-RemoteDepositCapture00-00","42045189276028424","","","","","","","","",""
"a0XWE000002gDPq2AM","005al00000RVcKvAAL","false","Retail Loan Application","","portal-rl","Online Application","false","","false","false","","","42063034156622212","","","","","","","","",""
"a0XWE000002gDSc2AM","005al00000RVcKvAAL","false","Memo","","memo","","false","","false","false","","memo","42064981524503220","","","","","","","","",""
"a0XWE000002gDPr2AM","005al00000RVcKvAAL","false","Relationship - Individual","","relationship-individual","","false","","false","false","","relationship-individual","42074912432256224","","","","","","","","",""
"a0XWE000002gDSd2AM","005al00000RVcKvAAL","false","Deposit Product Details Maintenance","","dep-pm-details","","false","","false","false","","dep-pm-details","42075960643920713","","","","","","","","",""
"a0XWE000002gDPs2AM","005al00000RVcKvAAL","false","Pre-Encoded Rejects","","tmmg-PreEncodedRejects00-00","","false","","false","false","","","42081221226117977","","","","","","","","",""
"a0XWE000002gDTI2A2","005al00000RVcKvAAL","false","autoTest1","","automation","","false","","false","false","","","42084424313188949","","","","","","","","",""
"a0XWE000002gDSe2AM","005al00000RVcKvAAL","false","HVCRE","","HVCRE","","false","","false","true","","","42088290342052409","Used in the Compliance Route in the Loan UI","","","","","","","",""
"a0XWE000002lTk82AE","005al00000RVcKvAAL","false","Relationship","","relationship-training","","false","","false","false","","relationship-training","42095159114228228","","","","","","","","",""
"a0XWE000002lTkA2AU","005al00000RVcKvAAL","false","Product Package Details","","pp-details-training","","false","","false","false","","pp-details-training","42095990631305697","","","","","","","","",""
"a0XWE000002lTjx2AE","005al00000RVcKvAAL","false","CP Group_PC_T","","CP_UIConfig_PC_T","","false","","false","false","","","42096073558072814","","","","","","","","",""
"a0XWE000002gDSf2AM","005al00000RVcKvAAL","false","Deposit Product Creation","","dep-pc","","false","","false","false","","dep-pc","42103181906180590","","","","","","","","",""
"a0XWE000002gDPt2AM","005al00000RVcKvAAL","false","Wholesale Lockbox","","tmmg-WholesaleLockbox00-00","","false","","false","false","","","42108932046797350","","","","","","","","",""
"a0XWE000002gDPu2AM","005al00000RVcKvAAL","false","DAO-Individual-KYC","Individual Account","dao-ind-kyc","null","false","null","false","true","","dao-ind-kyc","42109377760315962","null","","","","","","","",""
"a0XWE000002gDPv2AM","005al00000RVcKvAAL","false","ARP Setup","","tmmg-ARPSetup00-00","","false","","false","false","","","42109442789852318","","","","","","","","",""
"a0XWE000002lTjo2AE","005al00000RVcKvAAL","false","Business KYC - Loan Onboarding","","","","false","","false","true","","","42122695786840271","","","","","","","","",""
"a0XWE000002gDPw2AM","005al00000RVcKvAAL","false","BtestG","",".","","false","","false","false","","","42123057899593081","","","","","","","","",""
