"Id","OwnerId","IsDeleted","Name","nFORCE__Api_Value__c","nFORCE__Is_Default__c","nFORCE__Label__c","nFORCE__Order__c","nFORCE__Question__c","nFORCE__lookupKey__c","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastViewedDate","LastReferencedDate"
"a0eWE0000058rHiYAI","005al00000RVcKvAAL","false","O-002375","","false","more than 7 a year","3.0","a0gWE000001WJ2rYAG","267641983629359079","","","","","","",""
"a0eWE0000058rHjYAI","005al00000RVcKvAAL","false","O-002376","","false","No","2.0","a0gWE000001WJ2CYAW","270545934887381524","","","","","","",""
"a0eWE0000058rHkYAI","005al00000RVcKvAAL","false","O-002377","","false","NGO","4.0","a0gWE000001WJ2iYAG","271161645500857483","","","","","","",""
"a0eWE0000058rHlYAI","005al00000RVcKvAAL","false","O-002378","","false","Loans","3.0","a0gWE000001WJ2tYAG","273037936602942946","","","","","","",""
"a0eWE0000058rHmYAI","005al00000RVcKvAAL","false","O-002379","","false","None","9.0","a0gWE000001WJ2tYAG","273511853344780837","","","","","","",""
"a0eWE0000058rHnYAI","005al00000RVcKvAAL","false","O-002380","","false","Greater than $50,000","3.0","a0gWE000001WJ2gYAG","274151551354253852","","","","","","",""
"a0eWE0000058rHoYAI","005al00000RVcKvAAL","false","O-002381","","false","Rent","6.0","a0gWE000001WJ2tYAG","283080958802481551","","","","","","",""
"a0eWE0000058rHpYAI","005al00000RVcKvAAL","false","O-002382","","false","No","2.0","a0gWE000001WJ2zYAG","285429824699969476","","","","","","",""
"a0eWE0000058rHqYAI","005al00000RVcKvAAL","false","O-002383","","false","Paper statements","8.0","a0gWE000001WJ2oYAG","302010551193459089","","","","","","",""
"a0eWE0000058rHrYAI","005al00000RVcKvAAL","false","O-002384","","false","Yes","1.0","a0gWE000001WJ30YAG","302922618584553049","","","","","","",""
"a0eWE0000058rHsYAI","005al00000RVcKvAAL","false","O-002385","","false","$10,000 - $50,000","2.0","a0gWE000001WJ2gYAG","318760108860471110","","","","","","",""
"a0eWE0000058rHtYAI","005al00000RVcKvAAL","false","O-002386","","false","Provider's web sites","7.0","a0gWE000001WJ2qYAG","336995073534355081","","","","","","",""
"a0eWE0000058rHuYAI","005al00000RVcKvAAL","false","O-002387","","false","Third Party Payment Processor","6.0","a0gWE000001WJ2iYAG","340406982411231155","","","","","","",""
"a0eWE0000058rHvYAI","005al00000RVcKvAAL","false","O-002388","","false","FFI & NFFE","10.0","a0gWE000001WJ2iYAG","354389797816000635","","","","","","",""
"a0eWE0000058rHwYAI","005al00000RVcKvAAL","false","O-002389","","false","Yes","1.0","a0gWE000001WJ33YAG","364043826245853643","","","","","","",""
"a0eWE0000058rHxYAI","005al00000RVcKvAAL","false","O-002390","","false","0 - 250,000","1.0","a0gWE000001WJ2cYAG","365800373500940618","","","","","","",""
"a0eWE0000058rHyYAI","005al00000RVcKvAAL","false","O-002391","","false","0-3 a year","1.0","a0gWE000001WJ2AYAW","366203873389331454","","","","","","",""
"a0eWE0000058rHzYAI","005al00000RVcKvAAL","false","O-002392","","false","Money Service Business","1.0","a0gWE000001WIzUYAW","380352480808523255","","","","","","",""
"a0eWE0000058rI0YAI","005al00000RVcKvAAL","false","O-002393","","false","Balance alerts","3.0","a0gWE000001WJ2oYAG","394644132859600753","","","","","","",""
"a0eWE0000058rI1YAI","005al00000RVcKvAAL","false","O-002394","","false","Checks","3.0","a0gWE000001WJ2qYAG","407731918220304136","","","","","","",""
"a0eWE0000058rI2YAI","005al00000RVcKvAAL","false","O-002395","","false","Mortgage","5.0","a0gWE000001WJ2tYAG","407869123263838077","","","","","","",""
"a0eWE0000058rI3YAI","005al00000RVcKvAAL","false","O-002396","","false","$10,000 - $50,000","3.0","a0gWE000001QK7WYAW","42052794244628813","","","","","","",""
"a0eWE0000058rI4YAI","005al00000RVcKvAAL","false","O-002397","","false","Equipment","5.0","a0gWE000001QK7iYAG","42064115472575045","","","","","","",""
"a0eWE0000058rI5YAI","005al00000RVcKvAAL","false","O-002398","","false","No","2.0","a0gWE000001QK7rYAG","42066737023464454","","","","","","",""
"a0eWE0000058rI6YAI","005al00000RVcKvAAL","false","O-002399","","false","Personal Loans","6.0","a0gWE000001QK7iYAG","42072636573506041","","","","","","",""
"a0eWE0000058rI7YAI","005al00000RVcKvAAL","false","O-002400","","false","No","2.0","a0gWE000001QK7UYAW","42083964216428008","","","","","","",""
"a0eWE0000058rI8YAI","005al00000RVcKvAAL","false","O-002401","","false","Yes","1.0","a0gWE000001QK7kYAG","42085457290417416","","","","","","",""
"a0eWE0000058rI9YAI","005al00000RVcKvAAL","false","O-002402","","false","Refinance","2.0","a0gWE000001QK7jYAG","42087910605073225","","","","","","",""
"a0eWE0000058rIAYAY","005al00000RVcKvAAL","false","O-002403","","false","Yes","1.0","a0gWE000001QK7gYAG","42152949305769997","","","","","","",""
"a0eWE0000058rIBYAY","005al00000RVcKvAAL","false","O-002404","","false","No","2.0","a0gWE000001QK7lYAG","42171224536422453","","","","","","",""
"a0eWE0000058rICYAY","005al00000RVcKvAAL","false","O-002405","","false","No","2.0","a0gWE000001QK7dYAG","42179599208441146","","","","","","",""
"a0eWE0000058rIDYAY","005al00000RVcKvAAL","false","O-002406","","false","IOLTA","3.0","a0gWE000001QK7pYAG","42183832486786194","","","","","","",""
"a0eWE0000058rIEYAY","005al00000RVcKvAAL","false","O-002407","","false","Construction of New Facilities","4.0","a0gWE000001QK7iYAG","42191117777141382","","","","","","",""
"a0eWE0000058rIFYAY","005al00000RVcKvAAL","false","O-002408","","false","Yes","1.0","a0gWE000001QK7cYAG","42193965057001172","","","","","","",""
"a0eWE0000058rIGYAY","005al00000RVcKvAAL","false","O-002409","","false","Yes","1.0","a0gWE000001QK7mYAG","42205092555102548","","","","","","",""
"a0eWE0000058rIHYAY","005al00000RVcKvAAL","false","O-002410","","false","Third Party","3.0","a0gWE000001QK7VYAW","42211050743748631","","","","","","",""
"a0eWE0000058rIIYAY","005al00000RVcKvAAL","false","O-002411","","false","Yes","1.0","a0gWE000001QK7oYAG","42212328449187410","","","","","","",""
"a0eWE0000058rIJYAY","005al00000RVcKvAAL","false","O-002412","","false","Land Acquisitions","3.0","a0gWE000001QK7iYAG","42216515317648226","","","","","","",""
"a0eWE0000058rIKYAY","005al00000RVcKvAAL","false","O-002413","","false","Marijuana Related Business","2.0","a0gWE000001QK7pYAG","42234868345572485","","","","","","",""
"a0eWE0000058rILYAY","005al00000RVcKvAAL","false","O-002414","","false","Purchase of New Buildings","2.0","a0gWE000001QK7iYAG","42263365944945734","","","","","","",""
"a0eWE0000058rIMYAY","005al00000RVcKvAAL","false","O-002415","","false","No","2.0","a0gWE000001QK7OYAW","42268355680475363","","","","","","",""
"a0eWE0000058rINYAY","005al00000RVcKvAAL","false","O-002416","null","false","Yes","1.0","a0gWE000001QK7OYAW","42279468027698523","","","","","","",""
"a0eWE000005K24PYAS","005al00000RVcKvAAL","false","O-002597","","false","Checked","1.0","a0gWE000001WIywYAG","42299966784479264","","","","","","",""
"a0eWE0000058rIOYAY","005al00000RVcKvAAL","false","O-002417","","false","Less Than $3,000","1.0","a0gWE000001QK7WYAW","42309146729399744","","","","","","",""
"a0eWE0000058rIPYAY","005al00000RVcKvAAL","false","O-002418","","false","Yes","1.0","a0gWE000001QK7qYAG","42310937082790676","","","","","","",""
"a0eWE0000058rIQYAY","005al00000RVcKvAAL","false","O-002419","","false","Expansion of Business","8.0","a0gWE000001QK7iYAG","42317657264415810","","","","","","",""
"a0eWE0000058rIRYAY","005al00000RVcKvAAL","false","O-002420","","false","No","2.0","a0gWE000001QK7qYAG","42317787974338730","","","","","","",""
"a0eWE000005K24QYAS","005al00000RVcKvAAL","false","O-002598","","false","Checked","1.0","a0gWE000001WIyvYAG","42334602718618068","","","","","","",""
"a0eWE0000058rISYAY","005al00000RVcKvAAL","false","O-002421","","false","$3,000 - $9,999","2.0","a0gWE000001QK7WYAW","42340323395008287","","","","","","",""
"a0eWE0000058rITYAY","005al00000RVcKvAAL","false","O-002422","","false","Yes","1.0","a0gWE000001QK7QYAW","42342576085057717","","","","","","",""
"a0eWE0000058rIUYAY","005al00000RVcKvAAL","false","O-002423","","false","Greater than $50,000","4.0","a0gWE000001QK7WYAW","42344553523510874","","","","","","",""
"a0eWE0000058rIVYAY","005al00000RVcKvAAL","false","O-002424","","false","Store Proceeds","1.0","a0gWE000001QK7VYAW","42369617820547074","","","","","","",""
"a0eWE0000058rIWYAY","005al00000RVcKvAAL","false","O-002425","","false","Third Party Payment Processor","6.0","a0gWE000001QK7pYAG","42374878196147182","","","","","","",""
"a0eWE0000058rIXYAY","005al00000RVcKvAAL","false","O-002426","","false","Outgoing","2.0","a0gWE000001QK7hYAG","42375954925830447","","","","","","",""
"a0eWE0000058rIYYAY","005al00000RVcKvAAL","false","O-002427","","false","Refinance","1.0","a0gWE000001QK7iYAG","42383976093731408","","","","","","",""
"a0eWE0000058rIZYAY","005al00000RVcKvAAL","false","O-002428","","false","Yes","1.0","a0gWE000001QK7ZYAW","42396052030434937","","","","","","",""
"a0eWE0000058rIaYAI","005al00000RVcKvAAL","false","O-002429","","false","Expansion/Remodeling of Existing Facility","7.0","a0gWE000001QK7iYAG","42401793250254362","","","","","","",""
"a0eWE0000058rIbYAI","005al00000RVcKvAAL","false","O-002430","","false","No","2.0","a0gWE000001QK7nYAG","42404507522904849","","","","","","",""
"a0eWE0000058rIcYAI","005al00000RVcKvAAL","false","O-002431","null","false","Yes","1.0","a0gWE000001QK7dYAG","42431600139675704","","","","","","",""
"a0eWE0000058rIdYAI","005al00000RVcKvAAL","false","O-002432","","false","Yes","1.0","a0gWE000001QK7TYAW","42440532223213246","","","","","","",""
"a0eWE0000058rIeYAI","005al00000RVcKvAAL","false","O-002433","null","false","Yes","1.0","a0gWE000001QK7rYAG","42467041799616587","","","","","","",""
"a0eWE0000058rIfYAI","005al00000RVcKvAAL","false","O-002434","","false","Purchase","1.0","a0gWE000001QK7jYAG","42493524603398465","","","","","","",""
"a0eWE0000058rIgYAI","005al00000RVcKvAAL","false","O-002435","","false","Both","3.0","a0gWE000001QK7hYAG","42498541973949043","","","","","","",""
"a0eWE0000058rIhYAI","005al00000RVcKvAAL","false","O-002436","","false","No","2.0","a0gWE000001QK7QYAW","42519903412289037","","","","","","",""
"a0eWE0000058rIiYAI","005al00000RVcKvAAL","false","O-002437","","false","No","2.0","a0gWE000001QK7sYAG","42527439794213453","","","","","","",""
"a0eWE0000058rIjYAI","005al00000RVcKvAAL","false","O-002438","","false","No","2.0","a0gWE000001QK7kYAG","42529037433862410","","","","","","",""
"a0eWE0000058rIkYAI","005al00000RVcKvAAL","false","O-002439","","false","Other","3.0","a0gWE000001QK7jYAG","42557280609470949","","","","","","",""
"a0eWE0000058rIlYAI","005al00000RVcKvAAL","false","O-002440","","false","No","2.0","a0gWE000001QK7eYAG","42596474209980205","","","","","","",""
"a0eWE0000058rImYAI","005al00000RVcKvAAL","false","O-002441","","false","FFI & NFFE","11.0","a0gWE000001QK7pYAG","42598706957919574","","","","","","",""
"a0eWE0000058rInYAI","005al00000RVcKvAAL","false","O-002442","","false","Pay Day Lender","7.0","a0gWE000001QK7pYAG","42626082213089576","","","","","","",""
"a0eWE0000058rIoYAI","005al00000RVcKvAAL","false","O-002443","","false","Purchase of a New Business","9.0","a0gWE000001QK7iYAG","42627328258083575","","","","","","",""
"a0eWE0000058rIpYAI","005al00000RVcKvAAL","false","O-002444","","false","No","2.0","a0gWE000001QK7gYAG","42630249115510424","","","","","","",""
"a0eWE0000058rIqYAI","005al00000RVcKvAAL","false","O-002445","","false","Checked","1.0","a0gWE000001QK7XYAW","42652469088992261","","","","","","",""
"a0eWE0000058rIrYAI","005al00000RVcKvAAL","false","O-002446","","false","Other","10.0","a0gWE000001QK7iYAG","42657111756048373","","","","","","",""
"a0eWE0000058rIsYAI","005al00000RVcKvAAL","false","O-002447","","false","No","2.0","a0gWE000001QK7oYAG","42664877917042868","","","","","","",""
"a0eWE0000058rItYAI","005al00000RVcKvAAL","false","O-002448","","false","Checked","1.0","a0gWE000001QK7PYAW","42668483449927832","","","","","","",""
"a0eWE0000058rIuYAI","005al00000RVcKvAAL","false","O-002449","","false","No","2.0","a0gWE000001QK7mYAG","42711328545188825","","","","","","",""
"a0eWE0000058rIvYAI","005al00000RVcKvAAL","false","O-002450","","false","Bank Withdrawal","2.0","a0gWE000001QK7VYAW","42761006867481364","","","","","","",""
"a0eWE0000058rIwYAI","005al00000RVcKvAAL","false","O-002451","","false","No","2.0","a0gWE000001QK7cYAG","42787469841605161","","","","","","",""
"a0eWE0000058rIxYAI","005al00000RVcKvAAL","false","O-002452","","false","Embassy","5.0","a0gWE000001QK7pYAG","42841626717785599","","","","","","",""
"a0eWE0000058rIyYAI","005al00000RVcKvAAL","false","O-002453","","false","Yes","1.0","a0gWE000001QK7lYAG","42842131879496933","","","","","","",""
"a0eWE0000058rIzYAI","005al00000RVcKvAAL","false","O-002454","","false","Yes","1.0","a0gWE000001QK7sYAG","42844924411550820","","","","","","",""
"a0eWE0000058rJ0YAI","005al00000RVcKvAAL","false","O-002455","","false","No","2.0","a0gWE000001QK7TYAW","42862608240161526","","","","","","",""
"a0eWE0000058rJ1YAI","005al00000RVcKvAAL","false","O-002456","","false","Money Service Business","1.0","a0gWE000001QK7pYAG","42870213894098084","","","","","","",""
"a0eWE0000058rJ2YAI","005al00000RVcKvAAL","false","O-002457","","false","Yes","1.0","a0gWE000001QK7UYAW","42877010672630869","","","","","","",""
"a0eWE0000058rJ3YAI","005al00000RVcKvAAL","false","O-002458","","false","Yes","1.0","a0gWE000001QK7nYAG","42890087952137615","","","","","","",""
"a0eWE0000058rJ4YAI","005al00000RVcKvAAL","false","O-002459","","false","Internet Gambling","9.0","a0gWE000001QK7pYAG","42892596675056043","","","","","","",""
