"Id","IsDeleted","Name","nFORCE__Screen__c","nFORCE__Break_Page_After__c","nFORCE__Break_Page_Before__c","nFORCE__Default_Editable__c","nFORCE__Default_Rendered__c","nFORCE__Disable_Print__c","nFORCE__Display_Order__c","nFORCE__Display_Toggle_Effect__c","nFORCE__Display_Toggle_Header__c","nFORCE__Display_Toggle_Link__c","nFORCE__Headless__c","nFORCE__Inactive__c","nFORCE__Instructions_Text__c","nFORCE__Is_Editable__c","nFORCE__Layout__c","nFORCE__Section_Resource__c","nFORCE__Widget__c","nFORCE__lookupKey__c","nFORCE__sObject_Type__c","nFORCE__Disable_Read_Only_View__c","nFORCE__Display_Input_Address_Component__c","nFORCE__Conditional_Display_Criteria__c","nFORCE__Parent_Screen_Section__c","nFORCE__Number_of_Columns__c","Custom_Code_in_Screen_Section__c","nFORCE__Are_Columns_Sortable__c","nFORCE__Auto_Save__c","nFORCE__Validation_Service__c","AutorabitExtId__c"
"a2FKU0000004vtR2AQ","false","Next Steps","a2GKU0000004WDS2A2","false","false","true","false","false","10.0","slide","true","false","false","false","","true","","MappedSObjectScreenResource","","04911602764631672","LLC_BI__Loan__c","false","false","","","","","false","false","","a2FKa000000SDkQMAW"
"a2FKU0000004vlO2AQ","false","Booked Information","a2GKU0000004WAi2AM","false","false","false","true","false","4.0","slide","true","false","false","false","","false","","MappedSObjectScreenResource","","04981619447515175","LLC_BI__Loan__c","false","false","","","","","false","false","","a2FKa000000SDcAMAW"
"a2FKU0000004vop2AA","false","Enhanced Fees Management","a2GKU0000004WDN2A2","false","false","true","true","false","0.0","slide","true","false","false","false","","true","","MappedSObjectHierarchyScreenResource","","05171602764631666","LLC_BI__Loan__c","false","false","","","","","false","false","","a2FKa000000SDfkMAG"
"a2FKU0000004vpe2AA","false","HMDA","a2GKU0000004WAm2AM","false","false","false","true","false","0.0","slide","true","false","false","false","","true","","MappedSObjectHierarchyScreenResource","","05221619447515178","LLC_BI__Loan__c","false","false","","","","","false","false","","a2FKa000000SDgbMAG"
"a2FKU0000004voh2AA","false","Enhanced Fee Loan Aggregate Summary","a2GKU0000004WCR2A2","false","false","true","true","false","20.0","slide","true","false","false","false","","true","","MappedSObjectScreenResource","","05391663700625419","LLC_BI__Fee_Loan_Aggregate__c","false","false","","","","","false","false","","a2FKa000000SDfaMAG"
"a2FKU0000004vjL2AQ","false","Add Non Standard Fee","a2GKU0000004WDN2A2","false","false","true","true","false","10.0","slide","true","false","false","false","","true","","MappedSObjectScreenResource","","06371602764631667","LLC_BI__Fee__c","false","false","","","","","false","false","","a2FKa000000SDa7MAG"
"a2FKU0000004vqF2AQ","false","Loan","a2GKU0000004WCv2AM","false","false","false","true","false","0.0","slide","true","false","false","false","","false","","MappedSObjectScreenResource","","06391F7F_4769_4416_BF24_6D6C4F1C552B","LLC_BI__Loan__c","false","false","","","6.0","","false","false","","a2FKa000000SDhCMAW"
"a2FKU0000004vja2AA","false","Adverse Actions/Counter Offers","a2GKU0000004WCZ2A2","false","false","true","false","false","5.0","slide","true","false","false","false","","true","","MappedSObjectHierarchyScreenResource","","07031663700625425","LLC_BI__Loan__c","false","false","","","","","false","false","","a2FKa000000SDaMMAW"
"a2FKU0000004vwv2AA","false","Tasks","a2GKU0000004WBK2A2","false","false","false","true","false","1.0","slide","true","false","false","true","","true","","MappedSObjectHierarchyScreenResource","","07461620937672167","LLC_BI__Loan__c","false","false","","","","","false","false","","a2FKa000000SDo4MAG"
"a2FKU0000004vr82AA","false","Loan Team Members","a2GKU0000004WAg2AM","false","false","false","true","false","0.0","slide","true","false","false","false","","false","","MappedSObjectHierarchyScreenResource","","08131619447515174","LLC_BI__Loan__c","false","false","","","","","false","false","","a2FKa000000SDi5MAG"
"a2FKU0000004vir2AA","false","Add Debt","a2GKU0000004W902AE","false","false","true","true","false","3.0","slide","true","false","false","false","","true","","MappedSObjectScreenResource","","08171560278867254","LLC_BI__Debt__c","false","false","","","","","false","false","","a2FKa000000SDZcMAO"
"a2FKU0000004vi52AA","false","Structure Info","a2GKU0000004WAF2A2","false","false","true","true","false","3.0","slide","true","false","false","false","","true","","MappedSObjectScreenResource","","08301585604341048","LLC_BI__Loan__c","false","false","","","","","false","false","","a2F8c00000434mwEAA"
"a2FKU0000004viw2AA","false","Add Debt","a2GKU0000004WDC2A2","false","false","true","true","false","30.0","slide","true","false","false","false","","true","","MappedSObjectScreenResource","","08701600720268025","LLC_BI__Debt__c","false","false","","","","","false","false","","a2FKa000000SDZhMAO"
"a2FKU0000004vw12AA","false","SBL Eligibility Loan","a2GKU0000004WCc2AM","false","false","false","false","false","0.0","slide","true","false","false","false","","true","","MappedSObjectListScreenResource","","08711666029075344","LLC_BI__Loan__c","false","false","","","","","false","false","","a2FKa000000SDn7MAG"
"a2FKU0000004vpc2AA","false","HMDA","a2GKU0000004WA02AM","false","false","true","true","false","4.0","slide","true","false","false","false","","true","","MappedSObjectHierarchyScreenResource","","09161585604341050","LLC_BI__Loan__c","false","false","","","","","false","false","","a2FKa000000SDgZMAW"
"a2FKU0000004vlY2AQ","false","Borrowing Structure","a2GKU0000004W8y2AE","false","false","false","true","false","0.0","slide","true","false","false","false","","false","","MappedSObjectHierarchyScreenResource","","09601560278867311","LLC_BI__Loan__c","false","false","","","","","false","false","","a2FKa000000SDcKMAW"
"a2FKU0000004vpH2AQ","false","Exposure Confirmation","a2GKU0000004WDU2A2","false","false","true","false","false","10.0","slide","true","false","false","false","","true","","MappedSObjectScreenResource","","09811602764631672","LLC_BI__Loan__c","false","false","","","","","false","false","","a2FKa000000SDgEMAW"
"a2FKU0000004vq62AA","false","Lease Details","a2GKU0000004WFZ2A2","false","false","false","false","false","0.0","slide","true","false","false","false","","true","","MappedSObjectScreenResource","","0983g000000PAzd","LLC_BI__Loan__c","false","false","","","","","false","false","","a2FKa000000SDh3MAG"
"a2FKU0000004vq72AA","false","Lease Details","a2GKU0000004WFZ2A2","false","false","false","false","false","0.0","slide","true","false","false","false","","true","","MappedSObjectScreenResource","","0984x000000sY1h","LLC_BI__Loan__c","false","false","","","","","false","false","","a2FKa000000SDh4MAG"
"a2FKU0000004vwQ2AQ","false","SBL Primary Identification- Passport","a2GKU0000004WCb2AM","false","false","false","false","false","80.0","slide","true","false","false","false","","true","","MappedSObjectScreenResource","","10271666029075339","Contact","false","false","{{IF=""A""}}{{COND=""A"" FIELD=""Contact.cm_Primary_ID_Type__c"" IS=""Passport""}}{{ENDIF}}","a2FKU0000004vwK2AQ","","","false","false","","a2FKa000000SDnWMAW"
"a2FKU0000004vlN2AQ","false","Booked Information","a2GKU0000004WAK2A2","false","false","false","true","false","1.0","slide","true","false","false","false","","false","","MappedSObjectScreenResource","","10361585604341048","LLC_BI__Loan__c","false","false","","","","","false","false","","a2FKa000000SDc9MAG"
"a2FKU0000004vmu2AA","false","Mailing Address","a2GKU0000004WCz2AM","false","false","true","false","false","1645.0","slide","true","false","false","false","","true","","MappedSObjectScreenResource","","11051598553323932","Contact","false","false","{{IF=/""A AND B AND C/""}}{{COND=/""A/"" FIELD=/""Contact.cm_Mailing_Same_as_Physical__c/"" IS=/""No/""}}{{COND=/""B/"" FIELD=/""Contact.cm_Is_Existing_Customer__c/"" IS=/""0/""}}{{COND=/""C/"" FIELD=/""Contact.LLC_BI__Identity_Verification_Status__c/"" NOT=/""Pass/""}}{{ENDIF}}","a2FKU0000004vyy2AA","","","false","false","","a2FKa000000SDdjMAG"
