"Id","IsDeleted","Name","nFORCE__Screen__c","nFORCE__Are_Columns_Sortable__c","nFORCE__Auto_Save__c","nFORCE__Break_Page_After__c","nFORCE__Break_Page_Before__c","nFORCE__Conditional_Display_Criteria__c","nFORCE__Default_Editable__c","nFORCE__Default_Rendered__c","nFORCE__Disable_Print__c","nFORCE__Disable_Read_Only_View__c","nFORCE__Display_Input_Address_Component__c","nFORCE__Display_Order__c","nFORCE__Display_Toggle_Effect__c","nFORCE__Display_Toggle_Header__c","nFORCE__Display_Toggle_Link__c","nFORCE__Headless__c","nFORCE__Inactive__c","nFORCE__Instructions_Text__c","nFORCE__Is_Editable__c","nFORCE__Layout__c","nFORCE__Number_of_Columns__c","nFORCE__Optional_Configuration__c","nFORCE__Parent_Screen_Section__c","nFORCE__Section_Resource__c","nFORCE__Validation_Service__c","nFORCE__lookupKey__c","nFORCE__sObject_Type__c","Custom_Code_in_Screen_Section__c","AutorabitExtId__c","nFORCE__Screen_View__c","nFORCE__Widget__c","nPortal__Portal_Header_Text__c","nPortal__Portal_Subheader_Text__c"
"a0qWE00000W9iOKYAZ","false","Evaluation of Cash Flow/Projections","a0sWE000002tqf3YAA","false","false","false","false","","false","false","false","false","false","120.0","slide","true","false","false","false","","false","","","","","SObjectScreenResource","","a2F5i0000008YtVEAU","LLC_BI__Product_Package__c","","","","","",""
"a0qWE00000W9iOLYAZ","false","Guarantor(s) Analysis","a0sWE000002tqf3YAA","false","false","false","false","","false","false","false","false","false","130.0","slide","true","false","false","false","","false","","","","","SObjectScreenResource","","a2F5i0000008YtWEAU","LLC_BI__Product_Package__c","","","","","",""
"a0qWE00000W9iOMYAZ","false","Global Cash Flow Analysis","a0sWE000002tqf3YAA","false","false","false","false","","false","false","false","false","false","140.0","slide","true","false","false","false","","false","","","","","SObjectScreenResource","","a2F5i0000008YtXEAU","LLC_BI__Product_Package__c","","","","","",""
"a0qWE00000W9iONYAZ","false","SBA Transaction Description (Sources & Uses)","a0sWE000002tqf3YAA","false","false","false","false","","false","false","false","false","false","150.0","slide","true","false","false","false","","false","","","","","SObjectScreenResource","","a2F5i0000008YtjEAE","LLC_BI__Product_Package__c","","","","","",""
"a0qWE00000W9iOOYAZ","false","SBA Construction/Leasehold Improvement Budget Detail (If Applicable)","a0sWE000002tqf3YAA","false","false","false","false","","false","false","false","false","false","160.0","slide","true","false","false","false","","false","","","","","SObjectScreenResource","","a2F5i0000008YtkEAE","LLC_BI__Product_Package__c","","","","","",""
"a0qWE00000W9iOPYAZ","false","SBA Affiliate(s) Analysis","a0sWE000002tqf3YAA","false","false","false","false","","false","false","false","false","false","170.0","slide","true","false","false","false","","false","","","","","SObjectScreenResource","","a2F5i0000008YtlEAE","LLC_BI__Product_Package__c","","","","","",""
"a0qWE00000W9iOQYAZ","false","SBA Eligibility","a0sWE000002tqf3YAA","false","false","false","false","","false","false","false","false","false","180.0","slide","true","false","false","false","","false","","","","","SObjectScreenResource","","a2F5i0000008YtmEAE","LLC_BI__Product_Package__c","","","","","",""
"a0qWD00000GT99GYAT","false","Account Debt","a0sWD00000XoC7NYAV","false","false","false","false","","true","true","false","false","false","0.0","slide","true","false","false","false","","true","","","","","MappedSObjectHierarchyScreenResource","","a2F5i0000008YvbEAE","LLC_BI__Loan__c","","","","","",""
"a0qWD00000GT99HYAT","false","Account Info","a0sWD00000XoC7MYAV","false","false","false","false","","true","true","false","false","false","0.0","slide","true","false","false","false","","true","","","","","MappedSObjectHierarchyScreenResource","","a2F5i0000008YvcEAE","LLC_BI__Loan__c","","","","","",""
"a0qWD00000GT99IYAT","false","Action Taken","a0sWD00000XoC7XYAV","false","false","false","false","","true","false","false","false","false","2.0","slide","true","false","false","false","","true","","","","","MappedSObjectScreenResource","","a2F5i0000008YveEAE","LLC_BI__Loan__c","","","","","",""
"a0qWD00000GT99JYAT","false","Action Taken","a0sWD00000XoC7YYAV","false","false","false","false","","true","false","false","false","false","2.0","slide","true","false","false","false","","true","","","","","MappedSObjectScreenResource","","a2F5i0000008YvgEAE","LLC_BI__Loan__c","","","","","",""
"a0qWD00000GT99KYAT","false","Activities","a0sWD00000XoC6oYAF","false","false","false","false","","false","true","false","false","false","1.0","slide","true","false","false","false","","true","","","","","MappedSObjectHierarchyScreenResource","","a2F5i0000008YvhEAE","Account","","","","","",""
"a0qWD00000GT99LYAT","false","Agent's Agreement and Certifications","a0sWD00000XoC78YAF","false","false","false","false","","true","true","false","false","false","3.0","slide","true","false","false","false","","true","","","","","MappedSObjectScreenResource","","a2F5i0000008YvjEAE","LLC_BI__Loan__c","","","","","",""
"a0qWD00000GT99MYAT","false","Application Information","a0sWD00000XoC75YAF","false","false","false","false","","true","true","false","false","false","0.0","slide","true","false","false","false","","true","","","","","MappedSObjectScreenResource","","a2F5i0000008YvkEAE","LLC_BI__Loan__c","","","","","",""
"a0qWD00000GT99NYAT","false","Application or Loan Information","a0sWD00000XoC7XYAV","false","false","false","false","","true","false","false","false","false","1.0","slide","true","false","false","false","","true","","","","","MappedSObjectScreenResource","","a2F5i0000008YvmEAE","LLC_BI__Loan__c","","","","","",""
"a0qWD00000GT99OYAT","false","Approval History","a0sWD00000XoC6jYAF","false","false","false","false","","true","true","false","false","false","2.0","slide","true","false","false","false","","true","","","","","MappedSObjectScreenResource","","a2F5i0000008YvnEAE","LLC_BI__Loan__c","","","","","",""
"a0qWD00000GT99PYAT","false","Authorized Users","a0sWD00000XoC6kYAF","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","","MappedSObjectHierarchyScreenResource","","a2F5i0000008YvpEAE","LLC_BI__Treasury_Service__c","","","","","",""
"a0qWD00000GT99QYAT","false","Balance Details","a0sWD00000XoC7ZYAV","false","false","false","false","","true","true","false","false","false","3.0","slide","true","false","false","false","","true","","","","","MappedSObjectScreenResource","","a2F5i0000008YvrEAE","LLC_BI__Loan__c","","","","","",""
"a0qWD00000GT99RYAT","false","Balance Information","a0sWD00000XoC7aYAF","false","false","false","false","","true","false","false","false","false","3.0","slide","true","false","false","false","","true","","","","","MappedSObjectScreenResource","","a2F5i0000008YvsEAE","LLC_BI__Loan__c","","","","","",""
"a0qWD00000GT99SYAT","false","Booked Details","a0sWD00000XoC7bYAF","false","false","false","false","","true","true","false","false","false","4.0","slide","true","false","false","false","","true","","","","","MappedSObjectScreenResource","","a2F5i0000008YvtEAE","LLC_BI__Loan__c","","","","","",""
"a0qWD00000GT99TYAT","false","Booked Information","a0sWD00000XoC7aYAF","false","false","false","false","","true","false","false","false","false","4.0","slide","true","false","false","false","","true","","","","","MappedSObjectScreenResource","","a2F5i0000008YvvEAE","LLC_BI__Loan__c","","","","","",""
"a0qWD00000GT99UYAT","false","Borrowing Structure","a0sWD00000XoC7cYAF","false","false","false","false","","false","true","false","false","false","0.0","slide","true","false","false","false","","true","","","","","MappedSObjectHierarchyScreenResource","","a2F5i0000008YvwEAE","LLC_BI__Loan__c","","","","","",""
"a0qWD00000GT99VYAT","false","Borrowing Structure","a0sWD00000XoC7dYAF","false","false","false","false","","true","false","false","false","false","0.0","slide","true","false","false","false","","true","","","","","MappedSObjectHierarchyScreenResource","","a2F5i0000008YvyEAE","LLC_BI__Loan__c","","","","","",""
"a0qWD00000GT99WYAT","false","Business Acquisition","a0sWD00000XoC7JYAV","false","false","false","false","","true","true","false","false","false","11.0","slide","true","false","false","false","","true","","","","","MappedSObjectScreenResource","","a2F5i0000008YvzEAE","LLC_BI__Loan__c","","","","","",""
"a0qWD00000GT99XYAT","false","Business Contacts","a0sWD00000XoC6pYAF","false","false","false","false","","false","true","false","false","false","1.0","slide","true","false","false","false","","true","","","","","MappedSObjectHierarchyScreenResource","","a2F5i0000008Yw0EAE","Account","","","","","",""
"a0qWD00000GT99YYAT","false","Business Type","a0sWD00000XoC7HYAV","false","false","false","false","","true","true","false","false","false","9.0","slide","true","false","false","false","","true","","","","","MappedSObjectScreenResource","","a2F5i0000008Yw1EAE","LLC_BI__Loan__c","","","","","",""
"a0qWD00000GT99ZYAT","false","Change of Ownership","a0sWD00000XoC76YAF","false","false","false","false","","false","true","false","false","false","0.0","slide","true","false","false","false","","false","","","","","MappedSObjectHierarchyScreenResource","","a2F5i0000008Yw2EAE","LLC_BI__Loan__c","","","","","",""
