"Id","OwnerId","IsDeleted","Name","LLC_BI__Description__c","LLC_BI__Type__c","LLC_BI__lookupKey__c"
"a4eWD000000f5AFYAY","005al00000RVcKvAAL","false","Loan Assistant","","TEAM_ROLES","42146639854510830"
"a4eWD000000l3gnYAA","005al00000RVcKvAAL","false","Credit Analyst / Underwriter","","TEAM_ROLES","a1nbn000001OLhLAAW"
"a4eWD000000l3goYAA","005al00000RVcKvAAL","false","Closer","","TEAM_ROLES","a1nbn000001OLhMAAW"
"a4eWD000000l3gpYAA","005al00000RVcKvAAL","false","Portfolio Manager","","TEAM_ROLES","a1nbn000001OLhNAAW"
"a4eWD000000l3gqYAA","005al00000RVcKvAAL","false","Loan Approver","","","a1nbn000001OLhOAAW"
"a4eWD000000l3grYAA","005al00000RVcKvAAL","false","Loan Approver Queue","","","a1nbn000001OLhPAAW"
"a4eWD000000l3gsYAA","005al00000RVcKvAAL","false","Loan Ops","","TEAM_ROLES","a1nbn000001OLhQAAW"
"a4eWD000000l3gtYAA","005al00000RVcKvAAL","false","Loan Officer","","TEAM_ROLES","a1nbn000001OLhRAAW"
"a4eWD000000l3guYAA","005al00000RVcKvAAL","false","Special Assets","","TEAM_ROLES","a1nbn000001OLhSAAW"
