"Id","IsDeleted","Name","LastViewedDate","LastReferencedDate","nFORCE__Screen__c","nFORCE__Are_Columns_Sortable__c","nFORCE__Auto_Save__c","nFORCE__Break_Page_After__c","nFORCE__Break_Page_Before__c","nFORCE__Conditional_Display_Criteria__c","nFORCE__Default_Editable__c","nFORCE__Default_Rendered__c","nFORCE__Disable_Print__c","nFORCE__Disable_Read_Only_View__c","nFORCE__Display_Input_Address_Component__c","nFORCE__Display_Order__c","nFORCE__Display_Toggle_Effect__c","nFORCE__Display_Toggle_Header__c","nFORCE__Display_Toggle_Link__c","nFORCE__Headless__c","nFORCE__Inactive__c","nFORCE__Instructions_Text__c","nFORCE__Is_Editable__c","nFORCE__Number_of_Columns__c","nFORCE__Optional_Configuration__c","nFORCE__Parent_Screen_Section__c","nFORCE__Section_Resource__c","nFORCE__Validation_Service__c","nFORCE__lookupKey__c","nFORCE__sObject_Type__c","Custom_Code_in_Screen_Section__c","AutorabitExtId__c"
"a0qWD00000GTAHwYAP","false","Bulk Pledge Details","","","a0sWD00000XoBtAYAV","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","CustomSObjectListScreenResource","","42095937619925601","LLC_BI__Loan_Collateral2__c","",""
"a0qWE00000U6tVEYAZ","false","Bulk Pledge Details","","","a0sWE000002XbSfYAK","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","CustomSObjectListScreenResource","","42096362232860660","LLC_BI__Loan_Collateral2__c","",""
"a0qWD00000GSc2iYAD","false","Bulk Pledge Details","","","a0sWD00000Xnse0YAB","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","CustomSObjectListScreenResource","","42112852178994770","LLC_BI__Loan_Collateral2__c","",""
"a0qWE00000U6tVFYAZ","false","Collateral Valuation","","","a0sWE000002XbShYAK","false","false","false","false","","false","true","false","false","false","10.0","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42119098554432506","LLC_BI__Collateral__c","",""
"a0qWD00000GSmi1YAD","false","Bulk Pledge Details","","","a0sWD00000Xnse1YAB","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","CustomSObjectListScreenResource","","42130448873668238","LLC_BI__Loan_Collateral2__c","",""
"a0qWD00000GSmi2YAD","false","Collateral Valuation","","","a0sWD00000Xnse2YAB","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42137486842280788","LLC_BI__Collateral__c","",""
"a0qWE00000U6tVGYAZ","false","Collateral Search Results","","","a0sWE000002XbSfYAK","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42138590973252832","LLC_BI__Collateral__c","",""
"a0qWD00000GSmi3YAD","false","Collateral Valuation","","","a0sWD00000Xnse3YAB","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42138731814248008","LLC_BI__Collateral__c","",""
"a0qWD00000GSmi4YAD","false","Collateral Search Results","","","a0sWD00000Xnse4YAB","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42148734489048289","LLC_BI__Collateral__c","",""
"a0qWD00000GSmi5YAD","false","Bulk Pledge Details","","","a0sWD00000XnsdyYAB","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","CustomSObjectListScreenResource","","42153932209446378","LLC_BI__Loan_Collateral2__c","",""
