"Id","IsDeleted","LLC_BI__Color__c","LLC_BI__Debit__c","LLC_BI__Global_Analysis_Type__c","LLC_BI__Group_Type__c","LLC_BI__Hide_All_Records__c","LLC_BI__Hide_Column_Totals__c","LLC_BI__Hide_Currency_Symbol__c","LLC_BI__Include_In_Total__c","LLC_BI__Is_Balance_Check__c","LLC_BI__Is_Grand_Total__c","LLC_BI__Is_Summary_Group__c","LLC_BI__KPI_Type__c","LLC_BI__Publish_On_Init_Event__c","LLC_BI__Publish_On_Update_Event__c","LLC_BI__Row_Number__c","LLC_BI__Show_Math__c","LLC_BI__Source_Group__c","LLC_BI__Spread_Statement_Type__c","LLC_BI__Title__c","LLC_BI__Total_Type__c","LLC_BI__lookupKey__c","Name"
"a16DV000006R4NsYAK","false","","false","None","Percentage","false","true","false","true","false","false","false","","","","70.0","false","","a19DV000002qH1lYAE","Growth (%)","Standard","42672641826780198","Growth (%)"
"a16DV000006IRmaYAG","false","","false","None","Financial","false","false","false","false","false","false","false","","","","-13.0","false","","a19DV000002V1nkYAC","Annualized Net Sales","Standard","42672670559176739","Annualized Net Sales"
"a16DV000006IRlFYAW","false","","false","None","Decimal","false","false","false","false","false","false","false","","","","450.0","false","","a19DV000002V1nhYAC","EBITDA / Interest Expense","Standard","42673028075685903","EBITDA / Interest Expense"
"a16DV000006IRr2YAG","false","","false","None","Percentage","false","false","false","false","false","false","false","","","","330.0","false","","a19DV000002V1o0YAC","(A) Return on Assets","Standard","42673543890754977","(A) Return on Assets"
"a16DV000006IRmfYAG","false","","false","None","Decimal","false","false","true","false","false","false","false","","","","-5.0","false","","a19DV000002V1nkYAC","Current Ratio","Standard","42673555084646716","Current Ratio"
"a16DV000006R4NQYA0","false","","false","None","Financial","false","false","false","true","false","false","false","","","","40.0","false","","a19DV000002qH1jYAE","Operating Expenses","Standard","42674369537028873","Total Operating Expenses"
"a16DV000006R4KOYA0","false","","false","","Decimal","true","false","false","true","false","false","false","","","","0.0","false","","a19DV000002qH1hYAE","Partial Year Adj.","Standard","42674556493934496","Partial Year Adj."
"a16DV000006IRgWYAW","false","","false","Adjusted Total Equity","Financial","false","false","false","true","false","false","true","","","","5.0","false","","a19DV000002V1nMYAS","Total Adjusted Net Worth","Standard","42675075554509032","Total Adjusted Net Worth"
"a16DV000006R4N3YAK","false","","false","Adjusted Total Liabilities","Financial","false","false","false","true","false","false","false","","","","47.5","false","","a19DV000002qH1hYAE","Combined Total Assets","Standard","42675077117246840","Combined Total Assets"
"a16DV000006IRmTYAW","false","","false","None","Financial","true","false","false","true","false","false","false","","","","208.0","false","","a19DV000002V1njYAC","FINANCING SURPLUS (REQMNTS)","Standard","42676245515927725","FINANCING SURPLUS (REQMNTS)"
"a16DV000006IRmXYAW","false","","false","None","Financial","true","false","false","true","false","false","false","","","","248.0","false","","a19DV000002V1njYAC","CASH AFTER FINANCING","Standard","42677352569135220","CASH AFTER FINANCING"
"a16DV000006IRhoYAG","false","","false","None","Financial","false","false","false","false","false","false","false","","","","27.875","false","","a19DV000002V1nYYAS","(A) UCA Cash Flow Denom","Standard","42678016175878746","(A) UCA Cash Flow Denom"
"a16DV000006R4PUYA0","false","","false","None","Financial","false","false","false","true","false","false","false","","","","190.0","false","","a19DV000002qH1xYAE","Change in Borrowing","Standard","42678272310633275","Net Change in Borrowing"
"a16DV000006IRqGYAW","false","","false","None","Financial","false","false","false","true","false","false","false","","","","170.0","false","","a19DV000002V1nyYAC","Extraordinary & Non-Cash Items","Standard","42680407173387190","Extraordinary & Non-Cash Items"
"a16DV000006R4OSYA0","false","","false","","Financial","false","true","false","true","false","false","false","","","","130.0","false","","a19DV000002qH1pYAE","Cash Flow Coverage","Standard","42681661835503746","Cash Flow Coverage"
"a16DV000006R4SgYAK","false","","false","None","Decimal","false","true","false","true","false","false","false","","","","80.0","false","","a19DV000002qH2IYAU","Property Valuation","Standard","42682163801872150","Property Valuation"
