"Id","IsDeleted","LLC_BI__Category__c","LLC_BI__lookupKey__c","Name","OwnerId"
"a3YDV000000vXHZ2A2","false","Accounting Grid (Balance Sheet)","Due_from_Related_Co_CP_ACCTGRD","Due from Related Co - CP","0058c00000Dk4fdAAB"
"a3YDV000000vXIY2A2","false","Accounting Grid (Balance Sheet)","Due_from_Related_Co_LTP_ACCTGRD","Due from Related Co - LTP","0058c00000Dk4fdAAB"
"a3YDV000000vXIA2A2","false","Accounting Grid (Balance Sheet)","Due_to_OfficersStkhlders_LTP_ACCTGRD","Due to Officers/Stkhlders - LTP","0058c00000Dk4fdAAB"
"a3YDV000000vXI82AM","false","Accounting Grid (Balance Sheet)","Due_to_OfficersStkhldrs_CP_ACCTGRD","Due to Officers/Stkhldrs - CP","0058c00000Dk4fdAAB"
"a3YDV000000vXI72AM","false","Accounting Grid (Balance Sheet)","Due_to_Related_Co_CP_ACCTGRD","Due to Related Co - CP","0058c00000Dk4fdAAB"
"a3YDV000000vXI92AM","false","Accounting Grid (Balance Sheet)","Due_to_Related_Co_LT_ACCTGRD","Due to Related Co LT","0058c00000Dk4fdAAB"
"a3YDV000000vXEg2AM","false","Accounting Grid (Ratios/Stats)","EBIDA_ACCTGRD","EBIDA","0058c00000Dk4fdAAB"
"a3YDV000000vXEf2AM","false","Accounting Grid (Ratios/Stats)","EBITDAR_ACCTGRD","EBITDAR","0058c00000Dk4fdAAB"
"a3YDV000000vXEc2AM","false","Accounting Grid (Ratios/Stats)","EBITDA_ACCTGRD","EBITDA","0058c00000Dk4fdAAB"
"a3YDV000000vXES2A2","false","Accounting Grid (Ratios/Stats)","EBITDA_Annualized_ACCTGRD","EBITDA - Annualized","0058c00000Dk4fdAAB"
"a3YDV000000vXHx2AM","false","Accounting Grid (Ratios/Stats)","EBITDA_Int_Exp__CP_CPLTD_ACCTGRD","EBITDA / Int Exp + CP CPLTD","0058c00000Dk4fdAAB"
"a3YDV000000vXHt2AM","false","Accounting Grid (Ratios/Stats)","EBITDA_Int_Exp__PP_CPLTD_ACCTGRD","EBITDA / Int Exp + PP CPLTD","0058c00000Dk4fdAAB"
"a3YDV000000vXEe2AM","false","Accounting Grid (Ratios/Stats)","EBIT_ACCTGRD","EBIT","0058c00000Dk4fdAAB"
"a3YDV000000vXFJ2A2","false","Accounting Grid (AG Owner Operator)","EBIT_Farm_ACCTGRD","EBIT - Farm","0058c00000Dk4fdAAB"
"a3YDV000000vXEd2AM","false","Accounting Grid (Ratios/Stats)","EBT_ACCTGRD","EBT","0058c00000Dk4fdAAB"
"a3YDV000000vXEZ2A2","false","Accounting Grid (Ratios/Stats)","Eff_Tangible_Net_Worth_Actual_ACCTGRD","Eff Tangible Net Worth Actual","0058c00000Dk4fdAAB"
"a3YDV000000vXF32AM","false","Accounting Grid (AG Owner Operator)","EndingNetWorth_Computed_MarketBasis_ACCTGRD","Ending Net Worth - Computed - Market Basis","0058c00000Dk4fdAAB"
"a3YDV000000vXF82AM","false","Accounting Grid (AG Owner Operator)","EndingNetWorth_Reported_MarketBasis_ACCTGRD","Ending Net Worth - Reported - Market Basis","0058c00000Dk4fdAAB"
"a3YDV000000vXEz2AM","false","Accounting Grid (AG Owner Operator)","EndingValue_Calculated_BreedingLivestock_ACCTGRD","Ending Value - Calculated - Breeding Livestock","0058c00000Dk4fdAAB"
"a3YDV000000vXF72AM","false","Accounting Grid (AG Owner Operator)","EndingValue_Calculated_OtherCapitalAssets_ACCTGRD","Ending Value - Calculated - Other Capital Assets","0058c00000Dk4fdAAB"
"a3YDV000000vXF02AM","false","Accounting Grid (AG Owner Operator)","EndingValue_Reported_BreedingLivestock_ACCTGRD","Ending Value - Reported - Breeding Livestock","0058c00000Dk4fdAAB"
"a3YDV000000vXF62AM","false","Accounting Grid (AG Owner Operator)","EndingValue_Reported_OtherCapitalAssets_ACCTGRD","Ending Value - Reported - Other Capital Assets","0058c00000Dk4fdAAB"
"a3YDV000000vXJf2AM","false","Accounting Grid (Income Statement)","Estimated_Tax_Penalty_ACCTGRD","Estimated Tax Penalty","0058c00000Dk4fdAAB"
