"Id","OwnerId","IsDeleted","Name","LLC_BI__lookupKey__c","LLC_BI__Action_Name__c","LLC_BI__Action_Type__c","LLC_BI__Action_Display_Name__c"
"a0Dbn00000QolocEAB","005bn000003k2JdAAI","","Collateral Adjustment","42069006513967105","Modify","Material Modification","Collateral Adjustment"
"a0Dbn00000QolobEAB","005bn000003k2JdAAI","","Borrowing Structure Adjustment","42087581767096825","Modify","Material Modification","Borrowing Structure Adjustment"
"a0Dbn00000QolodEAB","005bn000003k2JdAAI","","Rate Change","42180530733978430","Modify","Material Modification","Rate Change"
"a0Dbn00000QoloZEAR","005bn000003k2JdAAI","","Modification","42440627222022945","Modify","Material Modification","Modification"
"a0Dbn00000QoloaEAB","005bn000003k2JdAAI","","Renewal","42713401968631377","Renew","Material Modification","Renewal"
"a0Dbn00000QoloSEAR","005bn000003k2JdAAI","","KY_DM_AWSBucket","KY_DM_AWSBucket","","",""
"a0Dbn00000QoloTEAR","005bn000003k2JdAAI","","KY_DM_ReviewerRoles","KY_DM_ReviewRoles","","",""
"a0Dbn00000QoloVEAR","005bn000003k2JdAAI","","KY_GBL_ChangeMemo","KY_GBL_ChangeMemo","","",""
"a0Dbn00000QoloWEAR","005bn000003k2JdAAI","","KY_GBL_CreditRole","KY_GBL_CreditRole","","",""
"a0Dbn00000QoloUEAR","005bn000003k2JdAAI","","KY_GBL_NamespacePrefixBI","KY_GBL_NS_PrefixBI","","",""
"a0Dbn00000QoloXEAR","005bn000003k2JdAAI","","KY_VER_Configuration","KY_VER_Config","","",""
"a0Dbn00000QoloYEAR","005bn000003k2JdAAI","","PT-Com-RE","PT-Com-RE","","",""
"a0Dbn00000T8YYjEAN","005bn000003k2JdAAI","","PT-Consume0047616","PT-Consume0047616","","",""
"a0Dbn00000T8YYhEAN","005bn000003k2JdAAI","","PT-Consume0396854","PT-Consume0396854","","",""
"a0Dbn00000QoloREAR","005bn000003k2JdAAI","","PT-Consume0541007","PT-Consume0541007","","",""
"a0Dbn00000QoloPEAR","005bn000003k2JdAAI","","PT-Consume0771309","PT-Consume0771309","","",""
"a0Dbn00000T8YYfEAN","005bn000003k2JdAAI","","PT-Consume0839948","PT-Consume0839948","","",""
"a0Dbn00000T8YYiEAN","005bn000003k2JdAAI","","PT-Consume0843751","PT-Consume0843751","","",""
"a0Dbn00000T8YYgEAN","005bn000003k2JdAAI","","PT-Consume0923009","PT-Consume0923009","","",""
"a0Dbn00000QoloQEAR","005bn000003k2JdAAI","","PT-NonReal0808040","PT-NonReal0808040","","",""
"a0Dbn00000QolofEAB","005bn000003k2JdAAI","","Copy_Loan","clck123456789","","",""
"a0Dbn00000QoloeEAB","005bn000003k2JdAAI","","Create_New_Sub_Loan","cnsl123456789","","",""
