"Id","OwnerId","IsDeleted","Name","LLC_BI__Category__c","LLC_BI__Covenant_Creation_Field_Set__c","LLC_BI__Covenant_Details_Field_Set__c","LLC_BI__Covenant_Edit_Field_Set__c","LLC_BI__Document_Sources__c","LLC_BI__Financial_Statement__c","LLC_BI__Grace_Days__c","LLC_BI__Is_Financial_Indicator__c","LLC_BI__lookupKey__c"
"a1jbn00008FsdwVAAR","005bn000003k2JdAAI","","Fixed Asset Purchases","Financial Indicators","","","","","false","","false","a1jbn00008FsdwVAAR"
"a1jbn00008FsdwWAAR","005bn000003k2JdAAI","","Maintain Accounts","Default Covenants","","","","","false","","false","a1jbn00008FsdwWAAR"
"a1jbn00008FsdwXAAR","005bn000003k2JdAAI","","Minimum Working Capital Ratio","Financial Indicators","","","","","false","","false","a1jbn00008FsdwXAAR"
"a1jbn00008FsdwYAAR","005bn000003k2JdAAI","","Limiting Compensation","Financial Indicators","","","","","false","","false","a1jbn00008FsdwYAAR"
"a1jbn00008FsdwZAAR","005bn000003k2JdAAI","","Debt Service Coverage with and without Distributions","Financial Indicators","","","","","false","","false","a1jbn00008FsdwZAAR"
"a1jbn00008FsdwaAAB","005bn000003k2JdAAI","","Maximum Debt to Worth","Financial Indicators","","","","","false","","false","a1jbn00008FsdwaAAB"
"a1jbn00008FsdwbAAB","005bn000003k2JdAAI","","Minimum Liquidity","Financial Indicators","","","","","false","","false","a1jbn00008FsdwbAAB"
"a1jbn00008FsdwcAAB","005bn000003k2JdAAI","","Minimum Times Interest Earned","Financial Indicators","","","","","false","","false","a1jbn00008FsdwcAAB"
"a1jbn00008FsdwdAAB","005bn000003k2JdAAI","","Minimum Working Capital","Financial Indicators","","","","","false","","false","a1jbn00008FsdwdAAB"
"a1jbn00008FsdweAAB","005bn000003k2JdAAI","","Financial Indicators","Financial Indicators","","","","","false","","false","a1jbn00008FsdweAAB"
"a1jbn00008FsdwfAAB","005bn000003k2JdAAI","","Default Covenants","Default Covenants","","","","","false","","false","a1jbn00008FsdwfAAB"
