"Id","OwnerId","IsDeleted","Name","LLC_BI__Category__c","LLC_BI__lookupKey__c"
"a3Ybn0000004xJtEAI","005bn000003k2JdAAI","","Beginning Net Worth - Cost Basis","Accounting Grid (AG Owner Operator)","Beginning_NetWorth_Cost Basis_ACCTGRD"
"a3Ybn0000004xJuEAI","005bn000003k2JdAAI","","Beginning Net Worth - Market Basis","Accounting Grid (AG Owner Operator)","Beginning_NetWorth_MarketBasis_ACCTGRD"
"a3Ybn0000004xMJEAY","005bn000003k2JdAAI","","Beginning Net Worth","Accounting Grid (Other)","Beginning_Net_Worth_ACCTGRD"
"a3Ybn0000004xHLEAY","005bn000003k2JdAAI","","Billings in Excess of Costs","Accounting Grid (Balance Sheet)","Billings_in_Excess_of_Costs_ACCTGRD"
"a3Ybn0000004xHzEAI","005bn000003k2JdAAI","","Bonuses Payable","Accounting Grid (Balance Sheet)","Bonuses_Payable_ACCTGRD"
"a3Ybn0000004xDAEAY","005bn000003k2JdAAI","","Book Capital Gains","Accounting Grid (Other)","Book_Capital_Gains_ACCTGRD"
"a3Ybn0000004xK0EAI","005bn000003k2JdAAI","","Book Depreciation and Depletion","Accounting Grid (Other)","Book_Depreciation_and_Depletion_ACCTGRD"
"a3Ybn0000004xLcEAI","005bn000003k2JdAAI","","Book Gross Profit","Accounting Grid (Other)","Book_Gross_Profit_ACCTGRD"
"a3Ybn0000004xLXEAY","005bn000003k2JdAAI","","Book Income Taxes","Accounting Grid (Other)","Book_Income_Taxes_ACCTGRD"
"a3Ybn0000004xLYEAY","005bn000003k2JdAAI","","Book Net Income","Accounting Grid (Other)","Book_Net_Income_ACCTGRD"
"a3Ybn0000004xLtEAI","005bn000003k2JdAAI","","Book Net Sales","Accounting Grid (Other)","Book_Net_Sales_ACCTGRD"
"a3Ybn0000004xLdEAI","005bn000003k2JdAAI","","Book Operating Expenses","Accounting Grid (Other)","Book_Operating_Expenses_ACCTGRD"
"a3Ybn0000004xLeEAI","005bn000003k2JdAAI","","Book Operating Profit","Accounting Grid (Other)","Book_Operating_Profit_ACCTGRD"
