"Id","OwnerId","IsDeleted","Name","nFORCE__Disable_Print__c","nFORCE__Show_Link_To_Context_Object__c","nFORCE__lookupKey__c","nFORCE__Disable_Read_Only_View__c","nPortal__Add_Multi_Record_Display_Icon__c","nPortal__Maximum_Number_of_Records__c","nPortal__Minimum_Number_of_Records__c","nPortal__OA_Review_Multiple_Record_Entry_Label__c"
"a2Gbn000000mWf8EAE","005bn000003k2JdAAI","false","DAO In-Branch - Ancillary Services Information","false","true","42003474925522009","false","","","",""
"a2Gbn000000mXOKEA2","005bn000003k2JdAAI","false","DAO In-Branch Workflow- Product Information","false","true","42716762031533477","false","","","",""
"a2Gbn000000mWf7EAE","005bn000003k2JdAAI","false","OA - Overdraft Opt-In Acknowledgement","false","true","42774638895939535","false","","","",""
