"Id","IsDeleted","Name","OwnerId","nFORCE__Disable_Print__c","nFORCE__Disable_Read_Only_View__c","nFORCE__Show_Link_To_Context_Object__c","nFORCE__lookupKey__c","nPortal__Add_Multi_Record_Display_Icon__c","nPortal__Maximum_Number_of_Records__c","nPortal__Minimum_Number_of_Records__c","nPortal__OA_Review_Multiple_Record_Entry_Label__c","AutorabitExtId__c"
"a2Gbn000000hcg2EAA","","Pricing Required Fields","005bn000003k2JdAAI","false","false","true","11671619447514581","","","","",""
"a2Gbn000000hcgREAQ","","Draw History Screen","005bn000003k2JdAAI","false","false","true","12061619447514587","","","","",""
"a2Gbn000000hcgJEAQ","","HMDA Screen 1","005bn000003k2JdAAI","false","false","true","12431619447514585","","","","",""
"a2Gbn000000mZATEA2","","Secured RL Eligibility","005bn000003k2JdAAI","false","false","true","12661602078251380","","","","",""
"a2Gbn000000hcgvEAA","","Budget Details","005bn000003k2JdAAI","false","false","true","14841620937671564","","","","",""
"a2Gbn000000hcfvEAA","","Memos Booked","005bn000003k2JdAAI","false","false","true","15561585604340854","","","","",""
"a2Gbn000000hceZEAQ","","Memos","005bn000003k2JdAAI","false","false","true","16221585604340856","","","","",""
"a2Gbn000000kG3oEAE","","SBL Personal","005bn000003k2JdAAI","false","false","true","17701666029074779","","","","",""
"a2Gbn000000hcgtEAA","","Loan Details","005bn000003k2JdAAI","false","false","true","17781620937671564","","","","",""
"a2Gbn000000hcfQEAQ","","Balance Details","005bn000003k2JdAAI","false","false","true","18751585604340855","","","","",""
"a2Gbn000000hcfZEAQ","","Deposit Products","005bn000003k2JdAAI","false","false","true","18931562008881233","","","","",""
"a2Gbn000000hceTEAQ","","Adverse Actions","005bn000003k2JdAAI","false","false","true","19891585604340855","","","","",""
"a2Gbn000000hcfTEAQ","","Loan Dashboard Summary Screen","005bn000003k2JdAAI","false","false","true","19961585604340855","","","","",""
"a2Gbn000000hcdQEAQ","","Total Exposure Screen","005bn000003k2JdAAI","false","false","true","20091562008947218","","","","",""
"a2Gbn000000kG3uEAE","","Add Beneficial Owner OA","005bn000003k2JdAAI","false","false","true","20221666029074782","","","","",""
"a2Gbn000000hcghEAA","","Third Party Reports","005bn000003k2JdAAI","false","false","true","21441620937671561","","","","",""
"a2Gbn000000mZAqEAM","","DEP Personal Info (business - sole prop)","005bn000003k2JdAAI","false","false","true","21741640206777791","","","","",""
"a2Gbn000000mZArEAM","","Consumer Loan - Personal Info (Primary Applicant)","005bn000003k2JdAAI","false","false","true","22801641348179681","","","","",""
"a2Gbn000000hceAEAQ","","Key Dates","005bn000003k2JdAAI","false","false","true","23001585604340855","","","","",""
