"Id","IsDeleted","Name","OwnerId","nFORCE__Address_Part__c","nFORCE__Alternate_Label__c","nFORCE__Autocomplete_Attribute_Value__c","nFORCE__Conditional_Display_Criteria__c","nFORCE__Default_Value__c","nFORCE__Defined_Picklist_Values__c","nFORCE__Field_Hint__c","nFORCE__Field_Name__c","nFORCE__Filter_Criteria__c","nFORCE__Filter_Display_Name__c","nFORCE__Format_Description__c","nFORCE__Format_Enabled__c","nFORCE__Format_Expression__c","nFORCE__Format_Message__c","nFORCE__Is_Active__c","nFORCE__Is_Conditional_Lookup__c","nFORCE__Is_Editable__c","nFORCE__Is_Filter_Active__c","nFORCE__Is_Header__c","nFORCE__Is_Hidden__c","nFORCE__Is_Important__c","nFORCE__Is_Read_Only__c","nFORCE__Is_Required__c","nFORCE__Output_Expression__c","nFORCE__SLDS_Column_Size__c","nFORCE__Screen_Section__c","nFORCE__Tooltip_Contents__c","nFORCE__Tooltip_Enabled__c","nFORCE__Tooltip_Text__c","nFORCE__lookupKey__c","nFORCE__sObject_Name__c","nPortal__Picklist_Buttons_Enabled__c"
"a3Tbn000000KmV8EAK","","FC-000104","005bn000003k2JdAAI","","","","","Booked","","","LLC_BI__Stage__c","","Stages to Display","","false","","","false","false","false","false","false","false","false","false","false","","","a2Fbn000000C3lfEAC","","false","","42376372932960978","LLC_BI__Loan__c","false"
"a3Tbn000000KmV9EAK","","FC-000105","005bn000003k2JdAAI","","","","","Booked","","","LLC_BI__Stage__c","","Stages to Display","","false","","","false","false","false","false","false","false","false","false","false","","","a2Fbn000000C3lnEAC","","false","","42874378885559190","LLC_BI__Loan__c","false"
"a3Tbn000000KmVAEA0","","FC-000098","005bn000003k2JdAAI","","","","","","","","Name","","","","false","","","false","false","false","false","false","false","false","true","false","","","a2Fbn000000C3jDEAS","","false","","575766443567986","LLC_BI__Credit_Memo_Modifcation__c","false"
"a3Tbn000000KmVBEA0","","FC-000100","005bn000003k2JdAAI","","","","","","","","LLC_BI__Risk_Grade__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","a2Fbn000000C3cqEAC","","false","","42548186805845381","LLC_BI__Loan__c","false"
"a3Tbn000000KmVCEA0","","FC-000101","005bn000003k2JdAAI","","","","","","","","LLC_BI__Participation_Amount__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","a2Fbn000000C3imEAC","","false","","42514233700262164","LLC_BI__Participation__c","false"
"a3Tbn000000KmVDEA0","","FC-000102","005bn000003k2JdAAI","","","","","","","","cm_Available_Amount__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","a2Fbn000000C3imEAC","","false","","425142337002621641","LLC_BI__Participation__c","false"
"a3Tbn000000KmVEEA0","","FC-000000","005bn000003kBWeAAM","","","","","","","","nFORCE__Field_Name__c","","","","false","","","false","false","false","false","false","true","false","false","false","","","a2Fbn000000C3UiEAK","","false","","a3Tbn000000KmVEEA0","nFORCE__Field_Configuration__c","false"
"a3Tbn000000KmVFEA0","","FC-000001","005bn000003kBWeAAM","","","","","","","","nFORCE__Field_Name__c","","","","false","","","false","false","false","false","false","true","false","false","false","","","a2Fbn000000C3UiEAK","","false","","a3Tbn000000KmVFEA0","nFORCE__Field_Configuration__c","false"
"a3Tbn000000KmVGEA0","","FC-000002","005bn000003kBWeAAM","","","","","","","","nFORCE__Field_Name__c","","","","false","","","false","false","false","false","false","true","false","false","false","","","a2Fbn000000C3UiEAK","","false","","a3Tbn000000KmVGEA0","nFORCE__Field_Configuration__c","false"
"a3Tbn000000KmVHEA0","","FC-000004","005bn000003k2JdAAI","","","","","","","","LLC_BI__Tiers__c","","","","false","","","false","false","false","false","false","false","false","false","false","","","a2Fbn000000C3V4EAK","","false","","a3Tbn000000KmVHEA0","LLC_BI__Bill_Point__c","false"
"a3Tbn000000KmVIEA0","","FC-000005","005bn000003k2JdAAI","","","","","","","","LLC_BI__Price__c","","","","false","","","false","false","false","false","false","false","false","false","false","","","a2Fbn000000C3V4EAK","","false","","a3Tbn000000KmVIEA0","LLC_BI__Bill_Point__c","false"
"a3Tbn000000KmVJEA0","","FC-000006","005bn000003k2JdAAI","","","","","","","","Name","","","","false","","","false","false","false","false","false","false","false","true","false","","","a2Fbn000000C3VHEA0","","false","","42693787520535212","LLC_BI__Loan__r","false"
"a3Tbn000000KmWOEA0","","FC-000097","005bn000003k2JdAAI","","","","","","","","Mailing_Address_nCino__c","","","","false","","","false","false","false","false","false","false","false","false","false","","","a2Fbn000000C3adEAC","","false","","42812119698671086","Contact","false"
"a3Tbn000000KmWPEA0","","FC-000088","005bn000003k2JdAAI","","","","","","","","Name","","","","false","","","false","false","false","false","false","false","false","true","false","","","a2Fbn000000C3VZEA0","","false","","239625719236459201","LLC_BI__Loan__r","false"
"a3Tbn000000KmWQEA0","","FC-000016","005bn000003k2JdAAI","","","","","","","","Name","","","","false","","","false","false","false","false","false","false","false","true","false","","","a2Fbn000000C3VHEA0","","false","","42258866755038037","LLC_BI__Loan__r","false"
"a3Tbn000000KmWREA0","","FC-000017","005bn000003k2JdAAI","","","","","","","","LLC_BI__Allocated_Facility_Amount__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","a2Fbn000000C3XgEAK","","false","","42182148697712431","LLC_BI__Loan__c","false"
"a3Tbn000000KmWSEA0","","FC-000018","005bn000003k2JdAAI","","","","","","","","Name","","","","false","","","false","false","false","false","false","false","false","true","false","","","a2Fbn000000C3VHEA0","","false","","42987232468683575","LLC_BI__Loan__r","false"
"a3Tbn000000KmWTEA0","","FC-000013","005bn000003k2JdAAI","","","","","","","","Name","","","","false","","","false","false","false","false","false","false","false","true","false","","","a2Fbn000000C3VUEA0","","false","","21378021376520","LLC_BI__Loan__r","false"
