"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","nFORCE__Category__c","nFORCE__Generator_Class__c","nFORCE__Layout_Description__c","nFORCE__Layout_Preview_Image__c","nFORCE__Visualforce_Page__c","nFORCE__lookupKey__c"
"a0bWD0000011L6qYAE","005al00000RVcKvAAL","false","Wrightsville","2026-04-07T18:59:36.000Z","005al00000RVcKvAAL","2026-08-06T08:29:32.000Z","005al00000RVcKvAAL","2026-08-06T08:29:32.000Z","Customer Dashboard","","<ul><li>Header size: Large</li><li>Navigation: Horizontal, at top of screen</li><li>Tiles: At bottom of screen</li></ul>","/resource/1541694063000/nPortal__Global_Resources/images/layouts/Wrightsville.svg","NPORTAL__LayoutWrightsville","42507926667086944"
"a0bWD0000011L6rYAE","005al00000RVcKvAAL","false","Topsail","2026-04-07T18:59:36.000Z","005al00000RVcKvAAL","2026-08-06T08:29:32.000Z","005al00000RVcKvAAL","2026-08-06T08:29:32.000Z","Online Application","","<ul><li>Application Progress: Horizontal, at the top of screen</li><li>Tiles: At bottom of screen</li></ul>","/resource/1541694063000/nPortal__Global_Resources/images/layouts/Topsail.svg","NPORTAL__LayoutTopsail","42552733154006329"
"a0bWD000001EBHZYA4","005al00000RVcKvAAL","false","DT1-Layout","2026-06-26T15:18:36.000Z","005al00000RVcKvAAL","2026-08-06T08:29:32.000Z","005al00000RVcKvAAL","2026-08-06T08:29:32.000Z","","","","","","42611931891004699"
"a0bWD0000011L6sYAE","005al00000RVcKvAAL","false","Topsail","2026-04-07T18:59:36.000Z","005al00000RVcKvAAL","2026-08-06T08:29:32.000Z","005al00000RVcKvAAL","2026-08-06T08:29:32.000Z","Online Application","","<ul><li>Application Progress: Horizontal, at the top of screen</li><li>Tiles: At bottom of screen</li></ul>","/resource/1526499064000/nPortal__Global_Resources/images/layouts/Topsail.svg","NPORTAL__LayoutTopsail","42722946441466849"
"a0bWD000001EBHaYAO","005al00000RVcKvAAL","false","DT2-Layout","2026-06-26T15:18:36.000Z","005al00000RVcKvAAL","2026-08-06T08:29:32.000Z","005al00000RVcKvAAL","2026-08-06T08:29:32.000Z","","","","","","42943469212894316"
