"Id","IsDeleted","Name","LastViewedDate","LastReferencedDate","nFORCE__Rule_Engine_Context_Rule__c","nFORCE__Description__c","nFORCE__End_Date__c","nFORCE__Rule_Engine_Rule_Name__c","nFORCE__Rule_Engine_Rule_Reference__c","nFORCE__Rule_Engine__c","nFORCE__Start_Date__c","nFORCE__lookupKey__c","nFORCE__Active__c"
"a0pWE000006ZfjFYAS","false","RER00029","","","a0nWE000004iRgqYAE","","2042-03-31","Initial_Credit_Request_Preprocessing","3005f000001YRNSAA4","nFORCE.FlowRuleEngine:rule-engine","2022-03-01","42105220371538988","true"
"a0pWE000006ZfjIYAS","false","RER00032","","","a0nWE000004iRgrYAE","Display Offers for Small Business","2042-03-31","Initial_Display_Offers","3005f000001YRNTAA4","nFORCE.FlowRuleEngine:rule-engine","2022-03-01","42511303862797440","true"
"a0pWE000006ZfjJYAS","false","RER00033","","","a0nWE000004iRgnYAE","Retrieve pricing options by product line","2042-04-01","Initial_Retrieve_Pricing_Options","3005f000001YRNmAAO","nFORCE.FlowRuleEngine:rule-engine","2022-04-01","42681346349231765","true"
"a0pWE000006ZfjOYAS","false","RER00038","","","a0nWE000004iRgoYAE","CLA Inspection placeholder in Document Manager","2027-12-05","InspectionPlaceholder","3005f0000019sljAAA","nFORCE.FlowRuleEngine:rule-engine","2025-01-06","abc123","true"
"a0pWE000006ZfjPYAS","false","RER00039","","","a0nWE000004iRgpYAE","","2042-01-01","Initial_Loan_Auto_Decision","3005f000001YRNcAAO","nFORCE.FlowRuleEngine:rule-engine","2022-01-01","def456","true"
