"Id","OwnerId","IsDeleted","Name","nFORCE__Answer_Context__c","nFORCE__App__c","nFORCE__Category__c","nFORCE__Default_Collapse_Parent_Navigation__c","nFORCE__Description__c","nFORCE__Is_Archived__c","nFORCE__Is_Questionnaire__c","nFORCE__Layout__c","nFORCE__Parent_Group__c","nFORCE__Screen__c","nFORCE__Taxonomy_Id__c","nFORCE__lookupKey__c","Description_Custom__c","AutorabitExtId__c","nPortal__Context_Type__c","nPortal__Is_Portal_Enabled__c","ChexSystems_route__c"
"a0XWD000002hCAw2AM","005al00000RVvFOAA1","false","zzzMASTER-Loan - Card","","m-card","","false","","false","false","","","","m-card","42454587536386082","PSO Clone - Not Used","","","",""
"a0XWD000002hCI32AM","005al00000RVvFOAA1","false","DMW Comments Group","","DMW_Ancillary_Revenue_Modal_2","","false","","false","false","","a0XWD000002hCI22AM","a0sWD00000Xo7jDYAR","","42481350694044625","","","","",""
"a0XWD000002hCCw2AM","005al00000RVvFOAA1","false","DocuSign","","docusign","","false","","false","false","","","","docusign","42493559830866569","","","","",""
"a0XWD000002hCHl2AM","005al00000RVvFOAA1","false","Test","","tmmg-Test00-00","","false","","false","false","","","a0sWD00000Xo7mMYAR","tmmg-Test00-00","42511983079847080","","","","",""
"a0XWD000002hCB12AM","005al00000RVvFOAA1","false","zzzSession (Not Used) - Unsecured Term Loan","","term","","false","","false","false","","","","term","42522017816930892","Packaged - Do not use as this is not maintained (Summer 19)","","","",""
"a0XWD000002hCCx2AM","005al00000RVvFOAA1","false","Product Package Details","","pp-details","","false","","false","false","","","","pp-details","42543592196307027","","","","",""
"a0XWD000002hCCy2AM","005al00000RVvFOAA1","false","nCino UI Builder","","uiconfig","","false","","false","false","","","a0sWD00000Xo7jEYAR","uiconfig","42557072293211678","Supports the UI Builder in nCino Administration","","","",""
"a0XWD000002hCCz2AM","005al00000RVvFOAA1","false","Deposit Beneficiary Maintenance","","dep-pm-beneficiary","","false","","false","false","","","","dep-pm-beneficiary","42557821139915648","","","","",""
"a0XWD000002hCD02AM","005al00000RVvFOAA1","false","Counterparty Report","","counterparty-report","","false","","false","false","","","a0sWD00000Xo7jFYAR","counterparty-report","42604168176930459","","","","",""
"a0XWD000002hCD12AM","005al00000RVvFOAA1","false","Loan Customer Creation Business","","loan-cc-bus","","false","","false","false","","","","loan-cc-bus","42604178718324788","","","","",""
"a0XWD000002hCD22AM","005al00000RVvFOAA1","false","Reg W","","Reg-W","","false","","false","true","","","","","42609568878702857","Used in the Compliance Route in the Loan UI","","","",""
"a0XWD000002hCBJ2A2","005al00000RVvFOAA1","false","Customer Portal","","customer-portal","Customer Dashboard","false","","false","false","a0bWD0000011L6qYAE","","","customer-portal","42618985083488670","","","","",""
"a0XWD000002hCD32AM","005al00000RVvFOAA1","false","CRA","","CRA","","false","","false","true","","","","","42628075973481801","Used in the Compliance Route in the Loan UI","","","",""
"a0XWD000002hCD42AM","005al00000RVvFOAA1","false","Treasury Proforma","","treasury-proforma","","false","","false","false","","","","treasury-proforma","42632675207231296","","","","",""
"a0XWD000002hCBN2A2","005al00000RVvFOAA1","false","zzzSession (Not Used) - Vehicle Loan","","veh-loan-grp","","false","","false","false","","","","veh-loan-grp","42633052120866545","Packaged - Do not use as this is not maintained (Summer 19)","","","",""
"a0XWD000002hCD52AM","005al00000RVvFOAA1","false","Relationship","","relationship","","false","","false","false","","","","relationship","42635757875411396","","","","",""
"a0XWD000002hCD62AM","005al00000RVvFOAA1","false","Treasury Services","","treasury-default","","false","","false","false","","","","treasury-default","42641407286729576","","","","",""
"a0XWD000002hCI42AM","005al00000RVvFOAA1","false","DMW Additional Income Group","","DMW_Ancillary_Revenue_Modal_1","","false","","false","false","","a0XWD000002hCI22AM","a0sWD00000Xo7jGYAR","","42658409791791901","","","","",""
"a0XWD000002hCBR2A2","005al00000RVvFOAA1","false","Secured Small Business Loan Application (Individual Other Involved)","","portal-sbl-secured-other","","false","","false","false","","a0XWD000002hCA92AM","","portal-sbl-secured-other","42658790117959030","","","","",""
"a0XWD000002hCBU2A2","005al00000RVvFOAA1","false","Loan Gold Questions","","","","false","","false","true","","","","","42662481910622078","","","","",""
"a0XWD000002hCBV2A2","005al00000RVvFOAA1","false","Deposit Application (Individual) - Additional Owner","","portal-perdep-owner-odao","Online Application","false","","false","false","a0bWD0000011L6rYAE","a0XWD000002hCAT2A2","","portal-perdep-owner-odao","42668082779579811","","","","",""
"a0XWD000002hCBW2A2","005al00000RVvFOAA1","false","DAO- Individual-Account Due Diligence","Deposit","dao-ind-add","null","false","null","false","true","","","","dao-ind-add","42677444022408553","null","","","",""
"a0XWD000002hCBZ2A2","005al00000RVvFOAA1","false","Deposit Application (Business)","","portal-dep-bus","Online Application","false","","false","false","a0bWD0000011L6rYAE","","","portal-dep-bus","42693416628638679","","","","",""
"a0XWD000002hCD72AM","005al00000RVvFOAA1","false","Deposit Customer Creation Individual","","dep-cc-ind","","false","","false","false","","","","dep-cc-ind","42753016822525984","","","","",""
