"Id","OwnerId","IsDeleted","Name","nFORCE__Body__c","nFORCE__Header__c","nFORCE__Icon_Path__c","nFORCE__lookupKey__c","LastViewedDate","LastReferencedDate"
"a3Xbn000000i32DEAQ","005bn000003k2JdAAI","","Income Disclaimer","","","utility-sprite/svg/symbols.svg#info","42629667351181365","",""
"a3Xbn000000kRA5EAM","005bn000003k2JdAAI","","USA Patriot Act","<p>To help the government fight the funding of terrorism and money laundering activities, federal law requires all financial institutions to obtain, verify, and record information that identifies each person who opens an account.</p><p><br></p><p>What this means for you: When you open an account, we will ask for your name, address, date of birth, and other information that will allow us to identify you. We may also ask to see your driver’s license or other identifying documents.</p>","","","42942675889941202","",""
