"Id","OwnerId","IsDeleted","Name","nFORCE__Disable_Print__c","nFORCE__Disable_Read_Only_View__c","nFORCE__Show_Link_To_Context_Object__c","nFORCE__lookupKey__c","AutorabitExtId__c","nPortal__Add_Multi_Record_Display_Icon__c","nPortal__Maximum_Number_of_Records__c","nPortal__Minimum_Number_of_Records__c","nPortal__OA_Review_Multiple_Record_Entry_Label__c"
"a0sWD00000XoCHWYA3","005al00000RVcKvAAL","false","ReviewSubmitLoan","false","false","false","000008C4_2C2C_4944_8EBC_E365C3EC842C","a0sWD00000XoCHWYA3","","","",""
"a0sWD00000Xo7lqYAB","005al00000RVcKvAAL","false","CRA Screen","false","false","true","01051619447514585","a0sWD00000Xo7lqYAB","","","",""
"a0sWD00000Xo7lGYAR","005al00000RVcKvAAL","false","Borrowing Structure Information","false","false","true","02551560278745076","a0sWD00000Xo7lGYAR","","","",""
"a0sWE000002tqcjYAA","005al00000RVcKvAAL","false","Underwriting Details","false","false","true","03471560278867077","","","","",""
"a0sWE000002tqclYAA","005al00000RVcKvAAL","false","Change Memo","false","false","true","04391620937671559","","","","",""
"a0sWD00000Xo7kQYAR","005al00000RVcKvAAL","false","Product Summary","false","false","true","05641567002571747","a0sWD00000Xo7kQYAR","","","",""
"a0sWD00000XoBjWYAV","005al00000RVcKvAAL","false","Underwriting Details1","false","false","true","06031640791247589","a0sWD00000XoBjWYAV","","","",""
"a0sWD00000XoBjYYAV","005al00000RVcKvAAL","false","Loan Team","false","false","true","06901640791247591","a0sWD00000XoBjYYAV","","","",""
"a0sWD00000Xo7jPYAR","005al00000RVcKvAAL","false","Editable Fields","false","false","true","07281585604340854","a0sWD00000Xo7jPYAR","","","",""
"a0sWD00000Xo7lBYAR","005al00000RVcKvAAL","false","Risk Ratings","false","false","true","08891585604340856","a0sWD00000Xo7lBYAR","","","",""
"a0sWD00000Xo7joYAB","005al00000RVcKvAAL","false","Product Summary","false","false","true","09911567002550278","a0sWD00000Xo7joYAB","","","",""
"a0sWE000002tqcmYAA","005al00000RVcKvAAL","false","Narrative Booked","false","false","true","10941585604340854","","","","",""
"a0sWD00000Xo7biYAB","005al00000RVcKvAAL","false","Adverse Actions/Counter Offers","false","false","true","11031663700624864","a0sWD00000Xo7biYAB","","","",""
"a0sWD00000XoBjqYAF","005al00000RVcKvAAL","false","Adverse Actions","false","false","true","11381640791247587","a0sWD00000XoBjqYAF","","","",""
"a0sWD00000Xo7kdYAB","005al00000RVcKvAAL","false","Pricing Required Fields","false","false","true","11671619447514581","a0sWD00000Xo7kdYAB","","","",""
"a0sWD00000Xo7kfYAB","005al00000RVcKvAAL","false","Draw History Screen","false","false","true","12061619447514587","a0sWD00000Xo7kfYAB","","","",""
"a0sWD00000Xo7kLYAR","005al00000RVcKvAAL","false","HMDA Screen 1","false","false","true","12431619447514585","a0sWD00000Xo7kLYAR","","","",""
"a0sWD00000Xo7k6YAB","005al00000RVcKvAAL","false","Budget Details","false","false","true","14841620937671564","a0sWD00000Xo7k6YAB","","","",""
"a0sWE000002tqcnYAA","005al00000RVcKvAAL","false","Memos Booked","false","false","true","15561585604340854","","","","",""
"a0sWE000002tqcoYAA","005al00000RVcKvAAL","false","Memos","false","false","true","16221585604340856","","","","",""
"a0sWD00000Xo7blYAB","005al00000RVcKvAAL","false","SBL Personal","false","false","true","17701666029074779","a0sWD00000Xo7blYAB","","","",""
"a0sWD00000Xo7l5YAB","005al00000RVcKvAAL","false","Balance Details","false","false","true","18751585604340855","a0sWD00000Xo7l5YAB","","","",""
"a0sWD00000Xo7lAYAR","005al00000RVcKvAAL","false","Deposit Products","false","false","true","18931562008881233","a0sWD00000Xo7lAYAR","","","",""
"a0sWD00000Xo7kAYAR","005al00000RVcKvAAL","false","Adverse Actions","false","false","true","19891585604340855","a0sWD00000Xo7kAYAR","","","",""
"a0sWD00000Xo7lJYAR","005al00000RVcKvAAL","false","Loan Dashboard Summary Screen","false","false","true","19961585604340855","a0sWD00000Xo7lJYAR","","","",""
"a0sWD00000Xo7bnYAB","005al00000RVcKvAAL","false","Add Beneficial Owner OA","false","false","true","20221666029074782","a0sWD00000Xo7bnYAB","","","",""
"a0sWE000002tqcpYAA","005al00000RVcKvAAL","false","Key Dates","false","false","true","23001585604340855","","","","",""
"a0sWD00000XoBklYAF","005al00000RVcKvAAL","false","Approval Details","false","false","true","23611640791247590","a0sWD00000XoBklYAF","","","",""
"a0sWD00000XoBkmYAF","005al00000RVcKvAAL","false","Enhanced Fees Management","false","false","true","23851640791247588","a0sWD00000XoBkmYAF","","","",""
"a0sWD00000Xo7lvYAB","005al00000RVcKvAAL","false","Rate & Payment Structure","false","false","true","24751619447514588","a0sWD00000Xo7lvYAB","","","",""
"a0sWE000002tqcqYAA","005al00000RVcKvAAL","false","Risk Rating","false","false","true","25211620937671559","","","","",""
"a0sWD00000XoCK6YAN","005al00000RVcKvAAL","false","Balance Details Booked","false","false","true","25741585604340854","a0sWD00000XoCK6YAN","","","",""
"a0sWD00000Xo7kUYAR","005al00000RVcKvAAL","false","Enhanced Fees Management","false","false","true","25961619447514580","a0sWD00000Xo7kUYAR","","","",""
"a0sWD00000Xo7brYAB","005al00000RVcKvAAL","false","Other Expenses","false","false","true","26701666029074783","a0sWD00000Xo7brYAB","","","",""
"a0sWD00000Xo7m9YAB","005al00000RVcKvAAL","false","Borrowing Structure Information","false","false","true","27381619447514580","a0sWD00000Xo7m9YAB","","","",""
"a0sWD00000Xo7kRYAR","005al00000RVcKvAAL","false","Collateral2","false","false","true","27781619447514580","a0sWD00000Xo7kRYAR","","","",""
"a0sWD00000Xo7l1YAB","005al00000RVcKvAAL","false","Loan Team Member Information","false","false","true","28761585604340855","a0sWD00000Xo7l1YAB","","","",""
"a0sWD00000Xo7btYAB","005al00000RVcKvAAL","false","Enhanced Fees Management","false","false","true","29231663700624862","a0sWD00000Xo7btYAB","","","",""
"a0sWE000002tqcrYAA","005al00000RVcKvAAL","false","Approved Details","false","false","true","29281620937671561","","","","",""
"a0sWD00000Xo7kOYAR","005al00000RVcKvAAL","false","Editable Fields","false","false","true","30481620937671566","a0sWD00000Xo7kOYAR","","","",""
"a0sWD00000Xo7buYAB","005al00000RVcKvAAL","false","Underwriting Details1","false","false","true","31001663700624862","a0sWD00000Xo7buYAB","","","",""
"a0sWD00000Xo7lxYAB","005al00000RVcKvAAL","false","Balance Details","false","false","true","31161620937671562","a0sWD00000Xo7lxYAB","","","",""
"a0sWD00000Xo7ltYAB","005al00000RVcKvAAL","false","Collateral2","false","false","true","31331620937671558","a0sWD00000Xo7ltYAB","","","",""
