"Id","OwnerId","IsDeleted","Name","nFORMS__Description__c","nFORMS__Enable_FLS__c","nFORMS__Enforce_Masking__c","nFORMS__Filter__c","nFORMS__Form_Purpose__c","nFORMS__Is_Active__c","nFORMS__Output_Type__c","nFORMS__Page_Dimension_Unit__c","nFORMS__Page_Width__c","nFORMS__Primary_Object__c","nFORMS__Save_To_Docman__c","nFORMS__Template_Input_Type__c","nFORMS__lookupKey__c","nFORMS__Document_Output_Type__c"
"a5rWE000000FjPpYAK","005al00000RVcKvAAL","false","Test-QA-FormTemplate","Test","true","true","","General","true","pdf","Inches","","Form","false","HTML","123456796123","PDF"
"a5rWE000000FjPqYAK","005al00000RVcKvAAL","false","QA-Lightning-FormsTemplate002-Name","","true","true","","General","true","Test","Inches","","Account","true","HTML","123875271856312","PDF"
"a5rWE000000FjPrYAK","005al00000RVcKvAAL","false","QA-Lightning-FormsManager-002","","true","true","","General","true","DocumentType_Output","Inches","","Account","true","HTML","127652138712836","HTML"
"a5rWE000000FjQ8YAK","005al00000RVcKvAAL","false","FM045 Personal Profile","","true","true","","General","false","Word","Inches","","Account","false","Word","4.20206E+16","Word"
"a5rWE000000FjQ9YAK","005al00000RVcKvAAL","false","FM055 Prec Joint & Several Personal Guarantee","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.20424E+16","Word"
"a5rWE000000FjQAYA0","005al00000RVcKvAAL","false","LT018 Removal of Financial Covenant","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.20559E+16","Word"
"a5rWE000000FjQBYA0","005al00000RVcKvAAL","false","FM075 Trust Terms","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.20719E+16","Word"
"a5rWE000000FjQCYA0","005al00000RVcKvAAL","false","LT014 Consent to Lease","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.2071E+16","Word"
"a5rWE000000FjQDYA0","005al00000RVcKvAAL","false","FM072 Loan Document","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.20774E+16","Word"
"a5rWE000000FjPsYAK","005al00000RVcKvAAL","false","Standard Commercial Form","Standard Commercial Form","true","true","","Credit Memo","true","HTML","Inches","","LLC_BI__Product_Package__c","false","HTML","4.2081E+16","HTML"
"a5rWE000000FjQEYA0","005al00000RVcKvAAL","false","FM051 Prec Cross Guarantee","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.20821E+16","Word"
"a5rWE000000FjQFYA0","005al00000RVcKvAAL","false","FM027 Indicative Offer","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.20938E+16","Word"
"a5rWE000000FjQGYA0","005al00000RVcKvAAL","false","LT019 Undertaking/Covenant Breach - BANK WAIVER","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.2098E+16","Word"
"a5rWE000000FjQHYA0","005al00000RVcKvAAL","false","LT004 Redemption Statement","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.21035E+16","Word"
"a5rWE000000FjQIYA0","005al00000RVcKvAAL","false","FM074 Trust Loan Document","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.21088E+16","Word"
"a5rWE000000FjQJYA0","005al00000RVcKvAAL","false","Third Party Report","","true","true","","General","false","Word","Inches","","LLC_BI__third_party_report__c","false","Word","4.21301E+16","Word"
"a5rWE000000FjQKYA0","005al00000RVcKvAAL","false","FM071 Precedent CP Schedule","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.21815E+16","Word"
"a5rWE000000FjQLYA0","005al00000RVcKvAAL","false","LT015 Fin Covenant Breach - NON WAIVER","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.21909E+16","Word"
