"Id","IsDeleted","Name","nFORCE__Display_Order__c","nFORCE__Field_Set_Key__c","nFORCE__Filter_Criteria__c","nFORCE__Layout__c","nFORCE__Limit__c","nFORCE__Offset_By_Limit__c","nFORCE__Parent_Configuration__c","nFORCE__Parent_Relationship_Name__c","nFORCE__Screen_Section__c","nFORCE__Section_Header__c","nFORCE__Sort_Criteria__c","nFORCE__Unique__c","nFORCE__lookupKey__c","nFORCE__sObject_Type__c"
"a0vWD00000B9iFAYAZ","false","SC-000020051","2.0","","","","","false","","","a0qWD00000GSgKfYAL","","","false","42026176072069606442","LLC_BI__Treasury_Service__c"
"a0vWD00000B9irhYAB","false","SC-000022300","3.0","LLC_BI__Treasury_Mass_Actions_Authorized_Users","","","","false","a0vWD00000B9iFAYAZ","LLC_BI__Authorized_Users__r","a0qWD00000GSgKfYAL","","","false","42026176072069606443","LLC_BI__Authorized_User__c"
"a0vWD00000B9lVNYAZ","false","SC-000027506","4.0","LLC_BI__Treasury_Mass_Actions_Contacts","","","50.0","true","a0vWD00000B9irhYAB","LLC_BI__Contact_Reference__r","a0qWD00000GSgKfYAL","Select contacts from the account or connected accounts to add as authorized users.","","false","42026176072069606444","Contact"
"a0vWD00000B9iFBYAZ","false","SC-000020052","2.0","","","","","false","","","a0qWD00000GSgKgYAL","","","false","42026176072069606446","LLC_BI__Treasury_Service__c"
"a0vWD00000B9iriYAB","false","SC-000022301","3.0","LLC_BI__Treasury_Mass_Actions_Analyzed_Accounts","LLC_BI__Analyzed_Account_Type__c = DDA","","","false","a0vWD00000B9iFBYAZ","LLC_BI__Analyzed_Accounts__r","a0qWD00000GSgKgYAL","","","false","42026176072069606447","LLC_BI__Analyzed_Account__c"
"a0vWD00000B9lVOYAZ","false","SC-000027507","4.0","LLC_BI__Treasury_Mass_Actions_Deposits","LLC_BI__Analyzed_Account_Type__c = DDA","","50.0","true","a0vWD00000B9iriYAB","LLC_BI__Deposit_Reference__r","a0qWD00000GSgKgYAL","Select deposits from the account or connected accounts to add as analyzed accounts.","","false","42026176072069606448","LLC_BI__Deposit__c"
"a0vWD00000B9iFCYAZ","false","SC-000020053","2.0","","","","","false","","","a0qWD00000GSgKhYAL","","","false","42026176072069606450","LLC_BI__Treasury_Service__c"
"a0vWD00000B9irjYAB","false","SC-000022302","3.0","LLC_BI__Treasury_Mass_Actions_Authorized_Users","","","","false","a0vWD00000B9iFCYAZ","LLC_BI__Authorized_Users__r","a0qWD00000GSgKhYAL","","","false","42026176072069606451","LLC_BI__Authorized_User__c"
"a0vWD00000B9lVPYAZ","false","SC-000027508","4.0","LLC_BI__Treasury_Mass_Actions_Contacts","","","50.0","true","a0vWD00000B9irjYAB","LLC_BI__Contact_Reference__r","a0qWD00000GSgKhYAL","Select contacts from the account or connected accounts to add as authorized users.","","false","42026176072069606452","Contact"
"a0vWD00000B9iFDYAZ","false","SC-000020054","2.0","","","","","false","","","a0qWD00000GSgKjYAL","","","false","42026176072069606454","LLC_BI__Treasury_Service__c"
"a0vWD00000B9irkYAB","false","SC-000022303","3.0","LLC_BI__Treasury_Mass_Actions_Analyzed_Accounts","LLC_BI__Analyzed_Account_Type__c = DDA","","","false","a0vWD00000B9iFDYAZ","LLC_BI__Analyzed_Accounts__r","a0qWD00000GSgKjYAL","","","false","42026176072069606455","LLC_BI__Analyzed_Account__c"
"a0vWD00000B9lVQYAZ","false","SC-000027509","4.0","LLC_BI__Treasury_Mass_Actions_Deposits","LLC_BI__Analyzed_Account_Type__c = DDA","","50.0","true","a0vWD00000B9irkYAB","LLC_BI__Deposit_Reference__r","a0qWD00000GSgKjYAL","Select deposits from the account or connected accounts to add as analyzed accounts.","","false","42026176072069606456","LLC_BI__Deposit__c"
"a0vWD00000B9iFEYAZ","false","SC-000020055","2.0","","","","","false","","","a0qWD00000GSgKkYAL","","","false","42026176072069606458","LLC_BI__Treasury_Service__c"
"a0vWD00000B9irlYAB","false","SC-000022304","3.0","LLC_BI__Treasury_Mass_Actions_Authorized_Users","","","","false","a0vWD00000B9iFEYAZ","LLC_BI__Authorized_Users__r","a0qWD00000GSgKkYAL","","","false","42026176072069606459","LLC_BI__Authorized_User__c"
"a0vWD00000B9iFFYAZ","false","SC-000020056","2.0","","","","","false","","","a0qWD00000GSgKiYAL","","","false","4202617607206960646","LLC_BI__Treasury_Service__c"
"a0vWD00000B9lVRYAZ","false","SC-000027510","4.0","LLC_BI__Treasury_Mass_Actions_Contacts","","","50.0","true","a0vWD00000B9irlYAB","LLC_BI__Contact_Reference__r","a0qWD00000GSgKkYAL","Select contacts from the account or connected accounts to add as authorized users.","","false","42026176072069606460","Contact"
"a0vWD00000B9iFGYAZ","false","SC-000020057","2.0","","","","","false","","","a0qWD00000GSgKlYAL","","","false","42026176072069606462","LLC_BI__Treasury_Service__c"
"a0vWD00000B9irmYAB","false","SC-000022305","3.0","LLC_BI__Treasury_Mass_Actions_Analyzed_Accounts","LLC_BI__Analyzed_Account_Type__c = DDA","","","false","a0vWD00000B9iFGYAZ","LLC_BI__Analyzed_Accounts__r","a0qWD00000GSgKlYAL","","","false","42026176072069606463","LLC_BI__Analyzed_Account__c"
