"Id","OwnerId","IsDeleted","Name","nFORCE__App__c","nFORCE__Body__c","nFORCE__Group__c","nFORCE__Icon_Class__c","nFORCE__Is_Hidden__c","nFORCE__Navigation__c","nFORCE__Order__c","nFORCE__Parent_App__c","nFORCE__Screen__c","nFORCE__Sub_Navigation__c","nFORCE__Toolbar__c","nFORCE__Topbar__c","nFORCE__lookupKey__c","nPortal__Portal_Header_Text__c","nFORCE__Taxonomy_Id__c","nPortal__Portal_Icon_Path__c","nFORCE__Parameters__c","nPortal__Portal_Subheader_Text__c","nPortal__Search_Object_Filter__c","nPortal__Search_Object_Type__c","nPortal__Search_Results_Fieldset__c","nPortal__Search_Select_Active_Text__c","nFORCE__Body_Type__c","nFORCE__Description__c","nPortal__Search_Select_Text__c"
"a2Ebn000000CRQiEAO","005bn000003k2JdAAI","","Editable Fields","booked-editable-fields","nforce__ncdatagrid","","n-icon-loan","false","nforce__navigation","","","a2Gbn000000hcbXEAQ","nforce__sub_navigation","","nforce__topbar","06791620937670673","","booked-editable-fields","","","","","","","","","",""
"a2Ebn000000ECIbEAO","005bn000003k2JdAAI","","Account Options","deposit-account-origination---baseline-account-options","nforce__blank","","","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__topbar","07031701790670179","","account-options-parent_2023R1","","","","","","","","","",""
"a2Ebn000000ECIlEAO","005bn000003k2JdAAI","","Documents","deposit-account-origination---baseline-documents","nforce__blank","","","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__topbar","07681701790670191","","documents-parent_2023R1","","","","","","","","","",""
"a2Ebn000000DJtXEAW","005bn000003k2JdAAI","","JD Power","small-business-loan-ui-vehicle-valuation","LLC_BI__Vehicle_Valuation","","n-icon-collateral","false","nFORCE__navigation","","","","nFORCE__sub_navigation","","nforce__topbar","08311640791244953","","vehicle-valuation","","","","","","","","Visualforce Page","This productized route is the retail template for the NADA route. After an org runs the NADA plug-in, the NADA route’s functionality activates.",""
"a2Ebn000000DJtxEAG","005bn000003k2JdAAI","","Underwriting Summary","small-business-loan-post-approval-ui-underwriting-summary2","nretail__underwriting","","n-icon-loan","false","nFORCE__navigation","","","a2Gbn000000kG3gEAE","nFORCE__sub_navigation","","nforce__topbar","08431663700623971","","next-step-underwriting-summary","","hideCreditButtons=true","","","","","","Visualforce Page","",""
"a2Ebn000000CRPsEAO","005bn000003k2JdAAI","","CRA","booked-cra","llc_bi__Questionnaire_Loan_App","","n-icon-hmda","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__topbar","10821620937670641","","booked-cra","","","","","","","","","",""
"a2Ebn000000CRIfEAO","005bn000003k2JdAAI","","Product Summary","master-treasury-services-product-summary","llc_bi__koproductsummary","","n-icon-treasury_management","false","nforce__navigation","","","a2Gbn000000hcddEAA","nforce__sub_navigation","","nforce__topbar","11121567002571500","","master-treasury-services-product-summary","","","","","","","","","",""
"a2Ebn000000DJudEAG","005bn000003k2JdAAI","","Credit Check","small-business-loan-online-application-credit-check","NPORTAL__PortalForm","","","false","NPORTAL__ApplicationNavigation","","","a2Gbn000000kG3vEAE","","","NPORTAL__LoanTopbar","11431666029074214","Credit Check","","","","","","","","","","",""
"a2Ebn000000CRH9EAO","005bn000003kBWnAAM","","Documents","retail-loan-documents","nforce__blank","","n-icon-loan","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__topbar","1191560278763660","","retail-loan-documents","","","","","","","","","",""
"a2Ebn000000CRPLEA4","005bn000003k2JdAAI","","Collateral","post-approval-collateral2","LLC_BI__Collateral_2_Management","","n-icon-collateral","false","nforce__navigation","","","a2Gbn000000hcgGEAQ","nforce__sub_navigation","","nforce__topbar","11961619447513729","","post-approval-collateral2","","","","","","","","","",""
