"Id","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastViewedDate","LastReferencedDate","LLC_BI__Spread_Statement_Type__c","LLC_BI__Color__c","LLC_BI__Debit__c","LLC_BI__Global_Analysis_Type__c","LLC_BI__Group_Type__c","LLC_BI__Hide_All_Records__c","LLC_BI__Hide_Column_Totals__c","LLC_BI__Hide_Currency_Symbol__c","LLC_BI__Include_In_Total__c","LLC_BI__Is_Balance_Check__c","LLC_BI__Is_Summary_Group__c","LLC_BI__KPI_Type__c","LLC_BI__Publish_On_Init_Event__c","LLC_BI__Publish_On_Update_Event__c","LLC_BI__Row_Number__c","LLC_BI__Show_Math__c","LLC_BI__Source_Group__c","LLC_BI__Title__c","LLC_BI__Total_Type__c","LLC_BI__lookupKey__c","LLC_BI__Is_Grand_Total__c"
"a51WD00000ZIrpBYAT","false","Total Inventory","2026-04-07T19:32:39.000Z","005al00000RVcKvAAL","2026-07-22T10:51:10.000Z","005al00000RVcKvAAL","2026-07-22T10:51:10.000Z","","","a55WD00001ButjPYAR","","false","None","Financial","false","false","false","true","false","false","","","","8.75","false","","Inventory","Standard","comm-bl-42018349189268369","false"
"a51WD00000ZIrpFYAT","false","Net Fixed Assets","2026-04-07T19:32:39.000Z","005al00000RVcKvAAL","2026-07-22T10:51:10.000Z","005al00000RVcKvAAL","2026-07-22T10:51:10.000Z","","","a55WD00001ButjPYAR","","false","None","Financial","false","false","false","true","false","false","","","","15.0","false","","Net Fixed Assets","Standard","comm-bl-42018706686170067","false"
"a51WD00000ZIrq9YAD","false","Key Ratios","2026-04-07T19:32:39.000Z","005al00000RVcKvAAL","2026-07-22T10:51:10.000Z","005al00000RVcKvAAL","2026-07-22T10:51:10.000Z","","","a55WD00001ButjbYAB","","false","None","Financial","false","true","false","true","false","false","","","","125.0","false","","Key Ratios","Standard","comm-bl-42022468938950902","false"
"a51WD00000ZIruAYAT","false","M-3 Part II: Column C Adjustments","2026-04-07T19:32:42.000Z","005al00000RVcKvAAL","2026-07-22T10:51:10.000Z","005al00000RVcKvAAL","2026-07-22T10:51:10.000Z","","","a55WD00001ButjuYAB","","false","None","Financial","false","false","false","true","false","false","","","","49.84375","false","","M-3 PART II: COLUMN C (ENTER +/- AS REPORTED ON RETURN, COGS sign OPP)","Standard","comm-bl-42024312643998894","false"
"a51WD00000ZIrurYAD","false","Total Liabilities","2026-04-07T19:32:43.000Z","005al00000RVcKvAAL","2026-07-22T10:51:10.000Z","005al00000RVcKvAAL","2026-07-22T10:51:10.000Z","","","a55WD00001ButjyYAB","","false","Total Liabilities","Financial","true","false","false","true","false","false","","","","60.0","false","","Total Liabilities","Standard","comm-bl-42025947295616852","false"
"a51WD00000ZIrs3YAD","false","Chg. Investments","2026-04-07T19:32:42.000Z","005al00000RVcKvAAL","2026-07-22T10:51:10.000Z","005al00000RVcKvAAL","2026-07-22T10:51:10.000Z","","","a55WD00001ButjUYAR","","false","None","Financial","false","false","false","true","false","false","","","","140.0","false","","Chg. Investments","Standard","comm-bl-42030196300791826","false"
"a51WD00000ZIrwbYAD","false","International Transactions","2026-04-07T19:32:43.000Z","005al00000RVcKvAAL","2026-07-22T10:51:10.000Z","005al00000RVcKvAAL","2026-07-22T10:51:10.000Z","","","a55WD00001Butk7YAB","","false","None","Financial","false","false","false","false","false","false","","","","45.0","false","","International Transactions","Standard","comm-bl-42030675803978952","false"
"a51WD00000ZIrr1YAD","false","Total Cash Paid to Suppliers","2026-04-07T19:32:39.000Z","005al00000RVcKvAAL","2026-07-22T10:51:10.000Z","005al00000RVcKvAAL","2026-07-22T10:51:10.000Z","","","a55WD00001ButjlYAB","","false","None","Financial","false","false","false","true","false","false","","","","20.0","false","","Cash Paid to Suppliers","Standard","comm-bl-42035872074821690","false"
"a51WD00000ZIrteYAD","false","Net Profit (Loss) after Taxes","2026-04-07T19:32:42.000Z","005al00000RVcKvAAL","2026-07-22T10:51:10.000Z","005al00000RVcKvAAL","2026-07-22T10:51:10.000Z","","","a55WD00001ButjrYAB","","false","None","Financial","true","false","false","true","false","false","","","","110.0","false","","Net Profit (Loss) after Taxes","Standard","comm-bl-42035967472693723","false"
"a51WD00000ZIrplYAD","false","Cash Flow","2026-04-07T19:32:39.000Z","005al00000RVcKvAAL","2026-07-22T10:51:10.000Z","005al00000RVcKvAAL","2026-07-22T10:51:10.000Z","","","a55WD00001ButkAYAR","","false","None","Financial","false","true","false","true","false","false","","","","70.0","false","","Cash Flow","Standard","comm-bl-42036165618102399","false"
"a51WD00000ZIruTYAT","false","Book Net Income","2026-04-07T19:32:42.000Z","005al00000RVcKvAAL","2026-07-22T10:51:10.000Z","005al00000RVcKvAAL","2026-07-22T10:51:10.000Z","","","a55WD00001ButjwYAB","","false","None","Financial","false","false","false","true","false","false","","","","80.0","false","","Book Net Income","Standard","comm-bl-42036243469275137","false"
"a51WD00000ZIrrbYAD","false","Gross Profit","2026-04-07T19:32:42.000Z","005al00000RVcKvAAL","2026-07-22T10:51:10.000Z","005al00000RVcKvAAL","2026-07-22T10:51:10.000Z","","","a55WD00001ButjSYAR","","false","None","Financial","true","false","false","true","false","false","","","","30.0","false","","Gross Profit","Standard","comm-bl-42038339401612160","false"
"a51WD00000ZIrqqYAD","false","Personal Income","2026-04-07T19:32:39.000Z","005al00000RVcKvAAL","2026-07-22T10:51:10.000Z","005al00000RVcKvAAL","2026-07-22T10:51:10.000Z","","","a55WD00001ButjjYAB","","false","None","Financial","false","false","false","true","false","false","","","","10.0","false","","Personal Income","Standard","comm-bl-42042878647748951","false"
"a51WD00000ZIrwcYAD","false","Schedule K:  Income (Loss)","2026-04-07T19:32:43.000Z","005al00000RVcKvAAL","2026-07-22T10:51:10.000Z","005al00000RVcKvAAL","2026-07-22T10:51:10.000Z","","","a55WD00001Butk7YAB","","false","None","Financial","false","false","false","true","false","false","","","","20.0","false","","Schedule K:  Income (Loss)","Standard","comm-bl-42043844081750200","false"
"a51WD00000ZIrtfYAD","false","Total Taxes Paid","2026-04-07T19:32:42.000Z","005al00000RVcKvAAL","2026-07-22T10:51:10.000Z","005al00000RVcKvAAL","2026-07-22T10:51:10.000Z","","","a55WD00001ButjrYAB","","false","None","Financial","false","false","false","true","false","false","","","","85.0","false","","Taxes Paid","Standard","comm-bl-42044064599695115","false"
"a51WD00000ZIruhYAD","false","Total Operating Expenses","2026-04-07T19:32:43.000Z","005al00000RVcKvAAL","2026-07-22T10:51:10.000Z","005al00000RVcKvAAL","2026-07-22T10:51:10.000Z","","","a55WD00001ButjxYAB","","false","None","Financial","false","false","false","true","false","false","","","","40.0","false","","Operating Expenses","Standard","comm-bl-42044713951390596","false"
"a51WD00000ZIroxYAD","false","Gross Profit","2026-04-07T19:32:39.000Z","005al00000RVcKvAAL","2026-07-22T10:51:10.000Z","005al00000RVcKvAAL","2026-07-22T10:51:10.000Z","","","a55WD00001ButjOYAR","","false","None","Financial","true","false","false","true","false","false","","","","30.0","false","","Gross Profit","Standard","comm-bl-42045746145836206","false"
"a51WD00000ZIrsTYAT","false","Working Capital Deficiency","2026-04-07T19:32:42.000Z","005al00000RVcKvAAL","2026-07-22T10:51:10.000Z","005al00000RVcKvAAL","2026-07-22T10:51:10.000Z","","","a55WD00001ButjWYAR","","false","None","Financial","false","true","false","true","false","false","","","","112.5","false","","Working Capital Deficiency","Standard","comm-bl-42046044257461641","false"
"a51WD00000ZIrpfYAD","false","Total Vacancy","2026-04-07T19:32:39.000Z","005al00000RVcKvAAL","2026-07-22T10:51:10.000Z","005al00000RVcKvAAL","2026-07-22T10:51:10.000Z","","","a55WD00001ButkAYAR","","false","None","Percentage","false","true","false","true","false","false","","","","15.0","false","","Vacancy Amount","Standard","comm-bl-42046740887284265","false"
"a51WD00000ZIroeYAD","false","Growth (%)","2026-04-07T19:32:39.000Z","005al00000RVcKvAAL","2026-07-22T10:51:10.000Z","005al00000RVcKvAAL","2026-07-22T10:51:10.000Z","","","a55WD00001ButjLYAR","","false","None","Percentage","false","true","false","true","false","false","","","","71.0","false","","Growth (%)","Standard","comm-bl-42047389249201940","false"
"a51WD00000ZIrrKYAT","false","Schedule M-2 (Right Side)","2026-04-07T19:32:42.000Z","005al00000RVcKvAAL","2026-07-22T10:51:10.000Z","005al00000RVcKvAAL","2026-07-22T10:51:10.000Z","","","a55WD00001ButjmYAB","","false","None","Financial","false","false","false","true","false","false","","","","99.84375","false","","Schedule M-2 (Right Side)","Standard","comm-bl-42047878744729036","false"
