"Id","IsDeleted","Name","LLC_BI__Product_Type__c","LLC_BI__Classification__c","LLC_BI__Credit_Underwriting_Enabled_Online__c","LLC_BI__Default_App__c","LLC_BI__Description__c","LLC_BI__Disable_Id_Document_Save__c","LLC_BI__Enabled_Experiences__c","LLC_BI__Learn_More__c","LLC_BI__Maintenance_App__c","LLC_BI__Maintenance_Screen_Section__c","LLC_BI__Maximum_Funding_Amount__c","LLC_BI__Minimum_Funding_Amount__c","LLC_BI__Order__c","LLC_BI__Other_Disclosures_Description__c","LLC_BI__Other_Disclosures_Received__c","LLC_BI__Product_Display_Name__c","LLC_BI__Product_Feature__c","LLC_BI__RealEstate_Type__c","LLC_BI__Screen_Section__c","LLC_BI__lookupKey__c","LLC_BI__Product_Line_Name__c","LLC_BI__Product_Type_Name__c","LLC_BI__RealEstate__c","nCinoCB__Onboarding_Product_Id__c","AutorabitExtId__c"
"a48WE000000eyDyYAI","false","Revolving Line of Credit","a47WE000001ltbfYAA","","false","","","false","","","","","","","","","false","","a3uWD000002003kYAA","","","PR-Revolvi0293397","Small Business","Small Business Non-Real Estate","false","",""
"a48WE000000eyDwYAI","false","Revolving Line of Credit","a47WE000001ltbgYAA","","false","","","false","","","","","","","","","false","","a3uWD000002003jYAA","","","PR-Revolvi0973827","Small Business","Small Business Real Estate","false","",""
"a48WE000000eyDxYAI","false","Term","a47WE000001ltbfYAA","","false","","","false","","","","","","","","","false","","a3uWD000002003iYAA","","","PR-Term0662893777","Small Business","Small Business Non-Real Estate","false","",""
"a48WE000000eyDsYAI","false","Term","a47WE000001ltbgYAA","","false","","","false","","","","","","","","","false","","a3uWD000002003hYAA","","","PR-TermSB01285529","Small Business","Small Business Real Estate","false","",""
