"Id","IsDeleted","Name","LLC_BI__Category__c","LLC_BI__Collapsed_Offer_Card_Field_Set__c","LLC_BI__Default_App__c","LLC_BI__Default_Collateral_Type__c","LLC_BI__Enable_Offers_Auto_Applied_Fees__c","LLC_BI__Expanded_Offer_Card_Field_Set__c","LLC_BI__Interest_Accrual_Method__c","LLC_BI__Is_Mortgage_Insurance_Estimate_Required__c","LLC_BI__Loan_Information_Field_Set__c","LLC_BI__Maintenance_App__c","LLC_BI__Offer_Fieldset__c","LLC_BI__Recalculate_Offers_Field_Set__c","LLC_BI__Reference_Image__c","LLC_BI__Start_Production_Application__c","LLC_BI__Usage_Type__c","LLC_BI__configKey__c","LLC_BI__lookupKey__c","LLC_BI__Product_Count__c","LLC_BI__Product_State_Booked_Config_Count__c","LLC_BI__Product_State_Closed_Config_Count__c","LLC_BI__Product_State_Excluded_Config_Count__c","LLC_BI__Product_State_Rdy_To_Trans_Confg_Cnt__c","LLC_BI__Is_Deposit__c","LLC_BI__Is_Loan__c"
"a47WD000000QQuzYAG","false","Small Business Non-Real Estate","","SBL_Collapsed_Offer_Card_Summary","","","false","SBL_Expanded_Offer_Card_Summary","","false","","","SB_Collapsed_Offer_Card_Summary_cm","SBL_Recalculate_Offers","","session-redirect","Loan","KY_PT_00000513","PT-NonReal0872933","2.0","5.0","7.0","0.0","0.0","false","true"
"a47WD000000QQv0YAG","false","Small Business Real Estate","","SBL_Collapsed_Offer_Card_Summary","","","false","SBL_Expanded_Offer_Card_Summary","","false","","","","SBL_Recalculate_Offers","","session-redirect","Loan","KY_PT_00000514","PT-RealEst0789302","2.0","5.0","7.0","0.0","0.0","false","true"
