"Id","IsDeleted","Name","LLC_BI__Spread_Statement_Type__c","LLC_BI__Debit__c","LLC_BI__Include_In_Total__c","LLC_BI__Is_Linked__c","LLC_BI__Linked_Spread_Statement_Record__c","LLC_BI__Linked_Spread_Statement_Total_Group__c","LLC_BI__Operation_Add__c","LLC_BI__Operation_Divide__c","LLC_BI__Operation_Multiply__c","LLC_BI__Operation_Subtract__c","LLC_BI__Operation__c","LLC_BI__Period_Over_Period_Change__c","LLC_BI__Row_Number__c","LLC_BI__Spread_Statement_Record_Total__c","LLC_BI__lookupKey__c","LLC_BI__Record_Type__c","LLC_BI__Prior_Fiscal_Year__c","LLC_BI__Display_Type__c","LLC_BI__KPI_Type__c","LLC_BI__Period_Over_Prior_Fiscal_Year__c","LLC_BI__Formula__c","LLC_BI__Source_Row__c","LLC_BI__Cloned_Source_Row__c","LLC_BI__Formula_Long_Text__c","LLC_BI__Associated_Parent_Record__c"
"a18bn000001a1NUAAY","","Inventory Days on Hand","a19bn000001uMV5AAM","false","true","","","","","","","","ADD","false","11.0","a16bn00000108b4AAA","42465583188937222","Simulated","false","Decimal","","false","","","","(<#Inventory_ACCTGRD>/<#Total_Cost_of_SalesRevenue_ACCTGRD>)*<#Days_In_Period_ACCTGRD>",""
"a18bn000001a10BAAQ","","Prepaid Expenses","a19bn000001uMdYAAU","false","true","","","","","","","","ADD","false","210.0","a16bn00000108eaAAA","42465744316440142","Standard","false","Group","","false","","","","",""
"a18bn000001a1TrAAI","","Other Operating Current Assets","a19bn000001uMUUAA2","false","true","","","","","","","","ADD","false","91.0","a16bn00000108IhAAI","42465831537165584","Standard","false","Group","","false","","","","",""
"a18bn000001a11lAAA","","Value Adj. Real Estate Value","a19bn000001uMdGAAU","true","true","","","","","","","","ADD","false","21.0","a16bn00000108c6AAA","42465907509170610","Standard","false","Group","","false","","","","",""
"a18bn000001a1BsAAI","","Overdrafts - Book","a19bn000001uMdYAAU","false","true","","","","","","","","ADD","false","10.0","a16bn00000108edAAA","42467651212528421","Standard","false","Group","","false","","","","",""
"a18bn000001a1lBAAQ","","Total Liabilities","a19bn000001uMV1AAM","false","true","","","","","","","","ADD","false","1.0","a16bn00000108aOAAQ","42467736094214212","Simulated","false","Group","","false","","","","<#Total_Current_Liabilities_ACCTGRD> + <#Total_NonCurrent_Liabilities_ACCTGRD>",""
"a18bn000001a1WUAAY","","Chg Net Intangible Assets","a19bn000001uMUzAAM","true","true","","","","","","","","ADD","false","21.0","a16bn00000108ZnAAI","42467944196164074","Simulated","false","Group","","true","","","","<#Intangibles_Due_From_Related_ACCTGRD> + <#Intangibles_Goodwill_ACCTGRD> + <#Intangibles_Other_ACCTGRD> + <#Accum_Amort_Impairment_ACCTGRD>",""
"a18bn000001a1tuAAA","","Value Adj. CHBE","a19bn000001uMUmAAM","true","true","","","","","","","","ADD","false","1.0","a16bn00000108WRAAY","42468108812809282","Standard","false","Group","","false","","","","",""
"a18bn000001a0zaAAA","","Furniture & Fixtures","a19bn000001uMdMAAU","false","true","","","","","","","","ADD","false","41.0","a16bn00000108caAAA","42468485944158551","Standard","false","Group","","false","","","","",""
"a18bn000001a1TdAAI","","Common Stock","a19bn000001uMUUAA2","false","true","","","","","","","","ADD","false","11.0","a16bn00000108InAAI","42469292334207809","Standard","false","Group","","false","","","","",""
"a18bn000001a112AAA","","Non Operating Non Current Liab 2","a19bn000001uMdfAAE","false","false","","","","","","","","ADD","false","120.0","a16bn00000108g0AAA","42469519320759442","Standard","false","Group","","false","","","","",""
"a18bn000001a19jAAA","","Schedule E Income","a19bn000001uMdHAAU","false","true","","","","","","","","ADD","false","31.0","a16bn00000108cAAAQ","42469580039959863","Simulated","false","Group","","false","","","","<#Sch_E_Total_Cash_Flow_ACCTGRD>",""
"a18bn000001a1NmAAI","","Gain (Loss) on Sale of Assets","a19bn000001uMdBAAU","false","true","","","","","","","","ADD","false","31.0","a16bn00000108bMAAQ","42469882442063169","Simulated","false","Group","","false","","","","<#Book_Capital_Gains_ACCTGRD>",""
"a18bn000001a17OAAQ","","Chg in Reserves","a19bn000001uMdUAAU","false","true","","","","","","","","ADD","false","31.0","a16bn00000108e7AAA","42470123436732188","Simulated","false","Group","","true","","","","<#Other_Reserves_ACCTGRD>",""
"a18bn000001a1cnAAA","","Crop Acres","a19bn000001uMUYAA2","false","true","","","","","","","","ADD","false","11.0","a16bn00000108JOAAY","42470172905630183","Standard","false","Group","","false","","","","",""
"a18bn000001a13KAAQ","","Rent/Lease Expense Add Back","a19bn000001uMdHAAU","false","true","","","","","","","","ADD","false","1.0","a16bn00000108cFAAQ","42470202014039682","Standard","false","Group","","false","","","","",""
"a18bn000001Zt0iAAC","","Debt Service from Schedule","a19bn000001uMdVAAU","false","true","","","","","","","","ADD","false","1.0","a16bn00000108eDAAQ","42470505101098567","Simulated","false","Financial","","false","","","","{{period:debtSchedule.totalMonthlyPayment}} * {{period:numberOfPeriods}}",""
"a18bn000001a1cAAAQ","","Machinery - Appreciation/(Depreciation)","a19bn000001uMUXAA2","false","true","","","","","","","","ADD","false","236.0","a16bn00000108JMAAY","42470786641855792","Simulated","false","Group","","false","","","","<#EndingValue_Reported_Machinery_ACCTGRD>- <#EndingValue_Calculated_Machinery_ACCTGRD>",""
"a18bn000001a1FmAAI","","Financing Costs","a19bn000001uMdfAAE","false","true","","","","","","","","ADD","false","11.0","a16bn00000108fsAAA","42470877415434025","Standard","false","Group","","false","","","","",""
"a18bn000001a1iOAAQ","","Chg. Inventory","a19bn000001uMUtAAM","true","true","","","","","","","","ADD","false","11.0","a16bn00000108WwAAI","42471188749293875","Simulated","false","Group","","true","","","","<#Inventory_ACCTGRD>",""
"a18bn000001a18uAAA","","Beginning Cash & Equiv.","a19bn000001uMdQAAU","false","true","","","","","","","","ADD","false","11.0","a16bn00000108dTAAQ","42471460790502723","Simulated","true","Group","","false","","","","<#Cash_ACCTGRD>",""
"a18bn000001a1WjAAI","","Chg in Common Stock","a19bn000001uMUyAAM","false","true","","","","","","","","ADD","false","51.0","a16bn00000108Y0AAI","42471651359344746","Simulated","false","Group","","true","","","","<#Common_Stock_ACCTGRD>",""
"a18bn000001a1uJAAQ","","Schedule F Income","a19bn000001uMUnAAM","false","true","","","","","","","","ADD","false","41.0","a16bn00000108WaAAI","42472232594292227","Simulated","false","Group","","false","","","","<#Sch_F_Total_Cash_Flow_ACCTGRD>",""
"a18bn000001a182AAA","","AB Chg Income Tax Receivables","a19bn000001uMdSAAU","false","true","","","","","","","","ADD","false","11.0","a16bn00000108dmAAA","42472309406974420","Simulated","false","Group","","true","","","","<#Income_Tax_Receivable_ACCTGRD>",""
"a18bn000001a1WvAAI","","Chg Non Op Non Current Assets","a19bn000001uMUzAAM","true","true","","","","","","","","ADD","false","1.0","a16bn00000108ZpAAI","42472793860435102","Simulated","false","Group","","true","","","","<#Cash_Value_Life_Insurance_ACCTGRD> + <#Investment_in_Subsidiaries_ACCTGRD> + <#Derivative_Assets_LTP_ACCTGRD> + <#Other_NonOp_NonCur_Assets_ACCTGRD>",""
"a18bn000001a17fAAA","","Chg in Subordinated Debt Equity","a19bn000001uMdUAAU","false","true","","","","","","","","ADD","false","1.0","a16bn00000108e7AAA","42473025077971432","Simulated","false","Group","","true","","","","<#Subordinated_DebtEquity_ACCTGRD>",""
"a18bn000001a19BAAQ","","Taxes and Licenses","a19bn000001uMdIAAU","false","true","","","","","","","","ADD","false","161.0","a16bn00000108cKAAQ","42473031104473285","Standard","false","Group","","false","","","","",""
"a18bn000001a1CNAAY","","Management Fees","a19bn000001uMdhAAE","false","true","","","","","","","","ADD","false","800.0","a16bn00000108gQAAQ","42473390361267648","Standard","false","Group","","false","","","","",""
"a18bn000001a1ChAAI","","Tenant Contributions","a19bn000001uMdiAAE","false","true","","","","","","","","ADD","false","300.0","a16bn00000108gYAAQ","42473721677734453","Standard","false","Group","","false","","","","",""
"a18bn000001a1lVAAQ","","COGS Depreciation","a19bn000001uMUzAAM","true","true","","","","","","","","ADD","false","11.0","a16bn00000108ZlAAI","42473763062423329","Simulated","false","Group","","false","","","","<#Cost_of_Sales_Deprec_Impairment_ACCTGRD>",""
"a18bn000001a1SQAAY","","Deferred Income Tax - CP","a19bn000001uMUUAA2","false","true","","","","","","","","ADD","false","56.0","a16bn00000108IkAAI","42473997948468298","Standard","false","Group","","false","","","","",""
