"Id","IsDeleted","LLC_BI__Description__c","LLC_BI__Type__c","LLC_BI__lookupKey__c","Name","OwnerId"
"a1nbn000001OLhKAAW","","","TEAM_ROLES","42146639854510830","Loan Assistant","005bn000003k2JdAAI"
"a1nbn000001OLhCAAW","","","TEAM_ROLES","a1nbn000001OLhLAAW","Credit Analyst / Underwriter","005bn000003k2JdAAI"
"a1nbn000001OLhDAAW","","","TEAM_ROLES","a1nbn000001OLhMAAW","Closer","005bn000003k2JdAAI"
"a1nbn000001OLhEAAW","","","TEAM_ROLES","a1nbn000001OLhNAAW","Portfolio Manager","005bn000003k2JdAAI"
"a1nbn000001OLhFAAW","","","","a1nbn000001OLhOAAW","Loan Approver","005bn000003k2JdAAI"
"a1nbn000001OLhGAAW","","","","a1nbn000001OLhPAAW","Loan Approver Queue","005bn000003k2JdAAI"
"a1nbn000001OLhHAAW","","","TEAM_ROLES","a1nbn000001OLhQAAW","Loan Ops","005bn000003k2JdAAI"
"a1nbn000001OLhIAAW","","","TEAM_ROLES","a1nbn000001OLhRAAW","Loan Officer","005bn000003k2JdAAI"
"a1nbn000001OLhJAAW","","","TEAM_ROLES","a1nbn000001OLhSAAW","Special Assets","005bn000003k2JdAAI"
