"Id","IsDeleted","Name","LLC_BI__Budget__c","LLC_BI__Amount_Budgeted__c","LLC_BI__Category__c","LLC_BI__Description__c","LLC_BI__Notes__c","LLC_BI__Order__c","LLC_BI__Pending_Amount__c","LLC_BI__Percent_Budgeted__c","LLC_BI__Template_Percent_of_Budget__c","LLC_BI__Total_Disbursed_Amount__c","LLC_BI__lookupKey__c","LLC_BI__Percent_Disbursed__c","LLC_BI__Percent_Remaining_Disbursement__c","LLC_BI__Percent_of_Budget__c","LLC_BI__Remaining_Disbursement__c"
"a1UWD0000024FNm2AM","false","CLA-BD-0001043","a1WWD000002Ehn72AC","0.0","","Cabinets / Millwork","","88.0","","","","","a23bn000001w0QTAAY","0.0","0.0","0.0","0.0"
"a1UWD0000024FNn2AM","false","CLA-BD-0001044","a1WWD000002Ehn72AC","0.0","","Flooring (Rubber Floor/Silica/ Res-Tek)","","90.0","","","","","a23bn000001w0QUAAY","0.0","0.0","0.0","0.0"
"a1UWD0000024FNo2AM","false","CLA-BD-0001045","a1WWD000002Ehn72AC","0.0","","Lighting Fixtures","","85.0","","","","","a23bn000001w0QVAAY","0.0","0.0","0.0","0.0"
"a1UWD0000024FNp2AM","false","CLA-BD-0001046","a1WWD000002Ehn72AC","0.0","","Corporate Decor Package Installation","","93.0","","","","","a23bn000001w0QWAAY","0.0","0.0","0.0","0.0"
"a1UWD0000024FNq2AM","false","CLA-BD-0001047","a1WWD000002Ehn72AC","0.0","","100 ft secondary service","","84.0","","","","","a23bn000001w0QXAAY","0.0","0.0","0.0","0.0"
"a1UWD0000024FNr2AM","false","CLA-BD-0001048","a1WWD000002Ehn72AC","0.0","","Fire Extinguishers","","87.0","","","","","a23bn000001w0QYAAY","0.0","0.0","0.0","0.0"
"a1UWD0000024FNs2AM","false","CLA-BD-0001049","a1WWD000002Ehn72AC","0.0","","Caulking","","91.0","","","","","a23bn000001w0QZAAY","0.0","0.0","0.0","0.0"
"a1UWD0000024FNt2AM","false","CLA-BD-0001050","a1WWD000002Ehn72AC","0.0","","Toilet Partitions","","89.0","","","","","a23bn000001w0QaAAI","0.0","0.0","0.0","0.0"
"a1UWD0000024FNu2AM","false","CLA-BD-0001051","a1WWD000002Ehn72AC","0.0","","Roofing","","59.0","","","","","a23bn000001w0QbAAI","0.0","0.0","0.0","0.0"
"a1UWD0000024FNv2AM","false","CLA-BD-0001052","a1WWD000002Ehn72AC","0.0","","Finish Carpentry Labor","","60.0","","","","","a23bn000001w0QcAAI","0.0","0.0","0.0","0.0"
