"Id","IsDeleted","Name","LastViewedDate","LastReferencedDate","nFORCE__Rule_Engine_Context_Rule__c","nFORCE__Description__c","nFORCE__End_Date__c","nFORCE__Rule_Engine_Rule_Name__c","nFORCE__Rule_Engine_Rule_Reference__c","nFORCE__Rule_Engine__c","nFORCE__Start_Date__c","nFORCE__lookupKey__c","nFORCE__Active__c"
"a0pWD000003bQ8LYAU","false","RER00029","","","a0nWD0000018DseYAE","","2042-03-31","Initial_Credit_Request_Preprocessing","3005f000001YRNSAA4","nFORCE.FlowRuleEngine:rule-engine","2022-03-01","42105220371538988","true"
"a0pWD000003bQ8OYAU","false","RER00032","","","a0nWD0000018DsfYAE","Display Offers for Small Business","2042-03-31","Initial_Display_Offers","3005f000001YRNTAA4","nFORCE.FlowRuleEngine:rule-engine","2022-03-01","42511303862797440","true"
"a0pWD000003bQ8PYAU","false","RER00033","","","a0nWD0000018DsbYAE","Retrieve pricing options by product line","2042-04-01","Initial_Retrieve_Pricing_Options","3005f000001YRNmAAO","nFORCE.FlowRuleEngine:rule-engine","2022-04-01","42681346349231765","true"
"a0pWD000003bQ8UYAU","false","RER00038","","","a0nWD0000018DscYAE","CLA Inspection placeholder in Document Manager","2027-12-05","InspectionPlaceholder","3005f0000019sljAAA","nFORCE.FlowRuleEngine:rule-engine","2025-01-06","abc123","true"
"a0pWD000003bQ8VYAU","false","RER00039","","","a0nWD0000018DsdYAE","","2042-01-01","Initial_Loan_Auto_Decision","3005f000001YRNcAAO","nFORCE.FlowRuleEngine:rule-engine","2022-01-01","def456","true"
