"Id","IsDeleted","Name","OwnerId","nFORCE__Disable_Print__c","nFORCE__Disable_Read_Only_View__c","nFORCE__Show_Link_To_Context_Object__c","nFORCE__lookupKey__c"
"a0sal000004PdLVAA0","false","Default Pledged Leased Asset Edit Screen","005al00000RVcKvAAL","false","false","true","42524349854296463"
"a0sal000004PdLcAAK","false","Collateral-Real Estate","005al00000RVcKvAAL","false","false","true","42875581032868363"
